Subject,Painting,Beauty,Meaningful,Complexity,Emotion,Colour
1,1,3,6,4,2,5
1,2,3,5,4,2,4
1,3,8,6,2,1,5
1,4,3,7,1,7,6
1,5,2,5,4,6,4
1,6,4,4,4,2,4
1,7,4,7,2,1,4
1,8,3,8,2,4,5
1,9,3,6,4,1,4
1,10,2,9,7,5,5
1,11,7,7,3,1,4
1,12,5,3,2,3,3
1,13,7,8,5,7,4
1,14,6,9,8,2,6
1,15,7,9,4,3,4
1,16,4,8,6,7,6
1,17,9,9,6,5,6
1,18,4,8,4,5,2
1,19,4,9,4,2,6
1,20,8,6,6,4,5
1,21,3,8,7,2,7
1,22,8,6,6,1,4
1,23,5,6,3,3,5
1,24,7,5,5,2,4
1,25,3,9,6,2,4
1,26,7,8,4,2,4
1,27,8,5,4,2,3
1,28,3,8,4,7,6
1,29,2,5,6,4,5
1,30,4,3,6,3,5
1,31,8,7,6,7,3
1,32,4,5,4,8,5
1,33,6,8,6,6,4
1,34,3,9,6,3,5
1,35,6,9,4,6,6
1,36,2,9,4,7,7
1,37,5,7,5,3,5
1,38,6,7,3,8,5
1,39,8,6,5,3,5
1,40,7,6,7,9,6
1,41,7,3,7,4,5
1,42,4,9,3,4,6
1,43,6,6,5,7,5
1,44,4,8,6,3,4
1,45,6,2,3,3,5
1,46,4,6,3,4,4
1,47,4,2,6,4,4
1,48,2,9,5,3,6
1,49,8,9,7,9,2
1,50,8,8,5,3,4
1,51,7,9,6,3,6
1,52,3,9,3,8,6
1,53,7,9,3,3,4
1,54,3,9,4,4,1
1,55,4,5,2,4,5
1,56,6,1,4,4,3
1,57,7,7,6,7,4
1,58,5,8,3,9,4
1,59,6,9,4,6,6
1,60,3,6,6,3,5
1,61,8,2,1,2,2
1,62,7,5,3,3,6
1,63,3,4,2,1,6
1,64,4,5,4,1,6
1,65,5,6,1,1,5
1,66,2,6,1,6,4
1,67,1,6,1,6,4
1,68,3,9,2,1,6
1,69,6,7,5,3,4
1,70,5,4,3,6,4
1,71,3,1,4,7,5
1,72,7,9,5,3,6
1,73,7,7,5,6,3
1,74,6,9,5,4,4
1,75,3,1,2,2,8
1,76,8,7,3,3,4
1,77,2,2,3,3,5
1,78,4,5,1,5,6
1,79,1,2,1,1,4
1,80,4,1,3,7,4
1,81,7,6,5,8,4
1,82,6,8,6,5,4
1,83,8,7,5,5,5
1,84,6,6,4,8,2
1,85,6,7,7,9,5
1,86,6,7,5,9,5
1,87,7,8,3,4,4
1,88,7,8,7,8,5
1,89,4,6,7,7,4
1,90,3,4,8,9,4
1,91,6,3,6,4,4
1,92,4,7,2,8,4
1,93,4,1,2,9,2
1,94,6,6,3,3,5
1,95,6,4,6,8,6
1,96,2,3,2,6,6
1,97,7,4,6,4,4
1,98,6,3,4,2,4
1,99,3,7,6,8,6
1,100,6,5,8,4,5
1,101,6,1,6,3,4
1,102,1,7,4,6,4
1,103,7,8,4,3,4
1,104,4,9,3,6,6
1,105,8,8,7,7,6
1,106,8,8,4,8,6
1,107,8,8,3,7,5
1,108,9,3,6,5,5
1,109,8,1,3,5,5
1,110,4,4,6,7,6
1,111,4,5,7,5,6
1,112,8,9,5,9,5
1,113,7,8,7,7,5
1,114,8,4,8,8,6
1,115,7,8,6,3,6
1,116,3,4,5,4,6
1,117,7,5,5,4,7
1,118,4,5,6,7,5
1,119,7,8,4,6,4
1,120,7,9,4,3,3
1,121,2,3,3,8,3
1,122,4,4,7,3,4
1,123,7,4,4,7,4
1,124,8,8,7,7,5
1,125,6,6,3,7,6
1,126,7,6,6,5,3
1,127,3,8,5,6,6
1,128,7,7,5,8,4
1,129,5,5,6,6,4
1,130,8,3,8,7,7
1,131,6,8,5,6,4
1,132,7,8,9,2,6
1,133,6,9,9,6,6
1,134,8,9,4,3,4
1,135,6,5,3,8,5
1,136,4,6,4,6,6
1,137,3,5,3,6,4
1,138,7,5,6,7,5
1,139,6,7,7,4,4
1,140,6,3,4,5,4
1,141,7,9,6,8,4
1,142,7,9,8,4,4
1,143,7,3,6,4,6
1,144,7,8,6,5,6
1,145,4,8,6,8,6
1,146,7,7,8,8,3
1,147,6,8,9,8,4
1,148,7,8,8,8,6
1,149,8,8,7,4,4
1,150,8,7,4,5,3
1,151,4,8,7,8,6
1,152,3,8,4,6,5
1,153,7,5,7,6,6
1,154,7,6,6,7,6
1,155,7,9,7,7,7
1,156,8,8,7,7,4
1,157,8,9,4,8,4
1,158,6,7,7,8,6
1,159,8,2,4,9,5
1,160,7,8,6,4,4
1,161,6,7,4,2,4
1,162,7,5,6,3,5
1,163,4,6,3,7,4
1,164,8,8,8,6,4
1,165,7,6,3,8,4
1,166,7,7,7,8,7
1,167,8,8,6,8,5
1,168,4,2,6,2,5
1,169,8,6,4,4,6
1,170,8,3,7,9,4
1,171,8,8,7,8,5
1,172,8,8,4,5,3
1,173,8,8,7,9,4
1,174,2,7,3,7,5
1,175,6,9,6,7,6
1,176,6,7,4,5,7
1,177,6,1,5,6,6
1,178,8,2,1,6,6
1,179,7,5,2,7,6
1,180,6,1,3,3,4
1,181,4,8,6,3,8
1,182,4,5,8,7,3
1,183,9,4,6,9,4
1,184,9,7,7,9,4
1,185,8,8,5,9,6
1,186,8,8,6,9,6
1,187,7,8,7,8,3
1,188,6,6,8,7,6
1,189,5,2,8,7,4
1,190,6,4,4,7,5
1,191,1,5,2,9,3
1,192,9,9,7,7,2
1,193,8,5,4,2,6
1,194,9,3,2,9,7
1,195,6,7,7,8,4
1,196,8,8,6,7,5
1,197,8,2,7,3,6
1,198,8,5,6,9,2
1,199,6,2,6,6,6
1,200,7,8,6,4,6
1,201,6,5,6,3,5
1,202,9,3,7,7,6
1,203,7,8,8,9,6
1,204,7,4,6,7,7
1,205,9,7,7,9,5
1,206,7,9,7,8,5
1,207,8,5,2,9,5
1,208,6,3,7,8,5
1,209,7,7,8,8,5
1,210,8,8,7,8,4
1,211,6,5,8,9,6
1,212,4,7,6,6,4
1,213,7,3,8,7,6
1,214,8,5,7,8,3
1,215,8,7,7,7,6
1,216,6,8,7,4,5
1,217,8,9,3,7,4
