Rater,N,rho,rs
1,1,0.2394841767162253,0.264435216165941
1,2,0.28117966809184597,0.3128213396308488
1,3,0.2981025731408416,0.3347692100512417
1,4,0.3084481773421,0.3429165204175014
1,5,0.313575579406958,0.35124657986717034
1,6,0.31249085897885287,0.34838097837108417
1,7,0.31991942156050424,0.34937267956646745
1,8,0.30959590586727026,0.34588178749584325
1,9,0.31190069142058435,0.3466695420644726
1,10,0.3104561830851074,0.34361788271272375
2,1,0.32309732683951997,0.3571249946101802
2,2,0.3493105028077504,0.4060941787320588
2,3,0.35978780160808765,0.40022760119832174
2,4,0.36549941579915163,0.41140740119434227
2,5,0.3727805712801826,0.4169724778257846
2,6,0.3798723790227206,0.4277812360445198
2,7,0.38687334511083443,0.432550906767257
2,8,0.3812655451280035,0.4309790029296264
2,9,0.388853703159396,0.43698095887298594
2,10,0.4046700965508446,0.4503945365726456
3,1,0.18939738808735856,0.2279516353221711
3,2,0.22426034590206506,0.25886975549791835
3,3,0.22917037604389115,0.25690623535772916
3,4,0.22873102027042097,0.2625268190866731
3,5,0.2254655533364703,0.2613126027091426
3,6,0.23973444509391068,0.268776972049083
3,7,0.227251240204727,0.24794969304847836
3,8,0.2278785660642045,0.2557128139002579
3,9,0.23024782524422877,0.2609833398099686
3,10,0.23611316148048384,0.2601910395086624
4,1,0.13913876453472107,0.16663175011240647
4,2,0.16397784627975595,0.19121230478370613
4,3,0.15970810748592582,0.18914170829751
4,4,0.16997290455771602,0.1989070769079461
4,5,0.17135757230356335,0.19814451367271493
4,6,0.18143869806024285,0.20806926378479135
4,7,0.1827095850127137,0.21196985484871203
4,8,0.17943724954965862,0.20305531107725713
4,9,0.18843710992889726,0.21653518308109604
4,10,0.1835704069434267,0.20421500676560722
5,1,0.23418744830220062,0.2558189957941809
5,2,0.26350718837929815,0.2994924175915922
5,3,0.2581484385821367,0.3032491897869662
5,4,0.2658326050161427,0.30332032342347937
5,5,0.2853338612727733,0.32291254624037735
5,6,0.2830987051702834,0.3215051952002166
5,7,0.2801290318352772,0.31641903973115715
5,8,0.28547660113767703,0.3222447972836654
5,9,0.2827567264433982,0.32436932768256094
5,10,0.28236808630712373,0.32573891005230793
