Rater,N,rho,rs
1,1,0.037394397399690665,0.03422162505327338
1,2,0.010321214250603759,0.012568108502586137
1,3,0.007196926530582784,0.005591408318301009
1,4,-0.006808536302845285,-7.975529221706384e-06
1,5,-0.0068938746627601345,0.0025876193067912675
1,6,0.007686426032920449,0.014395029011964475
1,7,0.013840810977750414,0.01179191226612374
1,8,0.007425564049035602,0.013616162588446229
1,9,0.00761436515235413,0.01129705394597441
1,10,0.0038417495681236586,0.009016528150393189
2,1,0.12328374879996498,0.1397651966714257
2,2,0.1278985215600818,0.13478205986066152
2,3,0.0995473143826473,0.10890686672407393
2,4,0.10756890571509911,0.11799077798144157
2,5,0.11675586947712843,0.1331841666274603
2,6,0.12831701250324115,0.1437242158922109
2,7,0.11088871099210391,0.1318128845445658
2,8,0.11026498339014242,0.12863738692111354
2,9,0.10398456966323974,0.11567985860174645
2,10,0.10511031547747252,0.1212679767371511
3,1,0.2432979287871643,0.26448597041449595
3,2,0.27578839105623637,0.31553231366558177
3,3,0.27043104782324423,0.3046432659179191
3,4,0.2819573561182816,0.3214005091059585
3,5,0.30004243978991146,0.3362710594542063
3,6,0.29261064655772184,0.3346389503331886
3,7,0.29940761237469193,0.33806648878548
3,8,0.31109856449067785,0.3491403031946938
3,9,0.3069271099336829,0.34938868333392126
3,10,0.3092217028069809,0.3492382042216732
4,1,-0.022878003181989126,-0.01739571093401037
4,2,-0.010377904573142268,-0.005713704924185319
4,3,0.0004242420538967867,0.011719154336384702
4,4,-0.0007674392620064293,0.010682360928919367
4,5,-0.005335889001242118,0.002676722423159697
4,6,-0.0008088404937809733,0.009914378276385418
4,7,-0.00644264434696982,0.0019621218154371707
4,8,0.00787210989815333,0.013985902568299579
4,9,-0.008383754749038921,0.0019026637622454033
4,10,-0.0005556590541446807,0.001736397107584079
5,1,0.1566030746641296,0.1726393429908348
5,2,0.15142140516883412,0.17762425446283775
5,3,0.13691556025105361,0.15893905512464496
5,4,0.1438971160307634,0.17020237476475747
5,5,0.1479613643669732,0.17365362931384293
5,6,0.15149468527015889,0.17660930405018171
5,7,0.15847310703082423,0.1762710533930711
5,8,0.15415926806697547,0.17337051644763143
5,9,0.15565429533611874,0.17747912408413172
5,10,0.155339374878747,0.17944406964946244
