Rater,N,rho,rs
1,1,0.23678142636823885,0.2543425381763344
1,2,0.15442850775845124,0.1568789533470147
1,3,0.17053778478536902,0.18998069568011186
1,4,0.1836468859891155,0.2244157633730516
1,5,0.11201382648781959,0.11602569417146698
1,6,0.16198112140653625,0.17865255147728898
1,7,0.10871738398291755,0.1348943881726188
1,8,0.15171424937593334,0.16999927788547153
1,9,0.13214883806052338,0.15896241935608557
1,10,0.16495947361685723,0.18272523857145556
2,1,0.23566091686445073,0.23036030337454233
2,2,0.2338168959052665,0.25922655377176157
2,3,0.22931632559158546,0.25538183556638727
2,4,0.2316215901615312,0.2670463025778252
2,5,0.28210243347672037,0.3142187429319853
2,6,0.20901902330555577,0.2467556598155991
2,7,0.239867615991512,0.27450114318858965
2,8,0.2464873502533012,0.27581942575998375
2,9,0.25967768750815357,0.2838117282586595
2,10,0.27733415398681827,0.3090222466704215
3,1,0.2655473137960145,0.2796771619457753
3,2,0.2289897866118417,0.2591882034216297
3,3,0.275744801915789,0.31472301803915104
3,4,0.29606536783368725,0.32443127799717697
3,5,0.28252287948113397,0.3091034991699953
3,6,0.29287005844802133,0.3247848231221274
3,7,0.23000709377922185,0.28240366543437495
3,8,0.27067456050353916,0.3140542802588178
3,9,0.26416183756002554,0.31148047193947465
3,10,0.27434350922702777,0.32555147840894827
4,1,0.260999257255608,0.27062181186983897
4,2,0.24240896967768394,0.29307386359868726
4,3,0.27293984540894484,0.30908391575754457
4,4,0.33034103356429373,0.35615475440130706
4,5,0.2723764979577131,0.30576352945713464
4,6,0.24514577441820054,0.281502120981788
4,7,0.27290102036185104,0.29741870781978696
4,8,0.2341639219639966,0.26531604092304806
4,9,0.2249909781236655,0.25261955922975043
4,10,0.24492118367701124,0.28713593134365184
5,1,0.38375566053368415,0.43168264927317546
5,2,0.4528656144608866,0.4736618435837746
5,3,0.45410025732051074,0.49032926135048865
5,4,0.46522894964336325,0.5092653664051463
5,5,0.46699346019704197,0.5053745338296632
5,6,0.4647314412018795,0.5049328597865476
5,7,0.4657395380218719,0.5038283690178587
5,8,0.4764275877713285,0.5157938614508005
5,9,0.46453377932417483,0.49242085478486725
5,10,0.4531129869369626,0.5036473005654597
