Painting,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,Average
0,6,8,1,7,3,1,4,1,4,2,5,1,2,4,1,4,3,2,5,4,7,2,1,3,2,4,4,8,4,4,2,8,2,5,5,4,3,8,4,5,1,4,9,3.88372093
1,4,2,6,6,6,6,4,3,2,3,5,7,2,8,5,5,5,5,6,7,7,2,6,1,2,7,5,1,6,5,3,8,5,7,7,5,8,5,5,8,5,8,9,5.162790698
2,4,1,2,3,3,2,4,1,4,1,3,5,2,4,4,3,7,4,4,6,2,1,1,2,1,1,3,1,1,5,2,6,5,7,3,3,8,6,1,3,1,1,9,3.255813953
3,5,6,2,7,3,2,4,3,4,2,5,1,1,9,1,7,3,3,6,7,1,1,1,2,2,3,3,1,3,7,3,7,4,6,9,4,6,2,6,2,1,5,9,3.930232558
4,6,2,6,3,3,3,1,1,3,1,6,4,1,4,1,8,5,5,5,5,3,1,7,3,2,3,2,5,7,3,1,4,6,5,5,4,9,4,1,9,8,8,9,4.23255814
5,5,2,1,3,4,2,4,1,3,2,4,1,1,9,1,6,4,1,4,6,1,3,1,3,1,1,4,1,3,4,4,8,3,5,8,4,1,8,4,2,5,2,9,3.465116279
6,4,9,5,3,6,2,3,1,2,2,1,1,1,4,1,6,7,3,5,6,3,2,1,3,3,5,4,2,6,5,2,8,4,5,9,3,2,8,7,6,5,4,9,4.139534884
7,1,7,6,2,2,2,3,2,2,2,9,6,5,5,1,7,3,6,5,4,2,8,6,3,1,4,3,3,4,5,7,8,5,5,9,3,1,8,3,8,5,7,9,4.581395349
8,2,7,1,7,7,2,1,1,7,4,5,6,1,4,1,6,4,6,5,6,3,3,1,2,2,2,3,2,3,5,3,8,6,7,9,5,2,5,3,2,2,2,9,4
9,3,8,5,6,2,1,3,2,2,2,6,5,2,4,1,7,4,3,5,6,2,5,3,3,2,3,3,2,3,5,1,7,5,5,4,4,3,6,5,7,2,1,9,3.88372093
10,8,2,2,8,2,1,5,1,6,2,6,1,6,3,2,6,4,2,5,4,5,3,1,3,1,2,2,3,6,6,1,6,6,6,6,6,1,7,5,7,1,2,9,3.976744186
11,3,4,2,7,6,2,2,2,2,4,8,6,2,9,2,4,3,3,4,7,8,3,5,5,4,4,7,8,3,6,7,8,2,5,6,6,9,2,2,6,8,2,9,4.813953488
12,5,6,2,5,2,3,1,2,2,4,8,3,1,8,3,4,4,3,6,4,2,1,1,1,1,2,3,3,5,5,6,6,3,5,6,4,4,7,3,5,2,7,9,3.88372093
13,3,3,3,9,4,3,4,1,1,5,8,3,1,7,2,6,3,3,5,6,4,4,1,2,1,3,1,5,4,4,4,8,1,7,9,4,7,5,6,6,4,8,9,4.348837209
14,3,7,1,2,6,2,2,6,5,2,5,1,1,3,1,7,3,1,6,4,2,9,1,3,1,1,5,2,6,5,2,7,2,5,9,4,7,1,1,7,4,4,5,3.744186047
15,7,7,2,8,6,1,4,2,2,2,6,1,2,3,1,7,4,3,5,6,1,7,1,4,2,5,3,2,3,5,4,8,6,5,8,5,9,6,4,7,1,2,7,4.279069767
16,7,7,8,2,7,2,7,3,8,1,8,7,1,5,2,8,4,4,6,3,2,3,6,7,4,5,5,7,6,6,8,6,6,6,6,4,8,6,4,7,6,4,9,5.372093023
17,8,2,3,2,4,3,3,2,6,2,8,5,2,6,1,4,6,6,1,4,3,2,4,5,1,6,2,8,4,4,4,7,4,5,5,5,3,6,7,2,4,5,9,4.255813953
18,7,5,1,5,2,2,7,2,3,2,7,1,4,3,2,3,2,6,4,6,4,4,1,2,2,2,2,1,6,5,4,5,5,7,6,6,2,1,5,4,1,8,9,3.860465116
19,3,7,1,5,3,1,3,3,1,1,3,1,1,3,1,6,3,6,5,3,1,5,1,3,1,2,4,1,3,3,2,7,4,5,9,7,3,7,4,6,1,5,9,3.558139535
20,2,7,1,6,6,1,4,2,4,1,6,1,2,6,2,6,3,5,5,4,7,8,1,2,1,3,1,1,3,3,3,7,2,6,6,2,3,7,4,8,1,4,9,3.860465116
21,3,2,6,7,4,2,4,2,5,1,6,2,1,3,2,7,4,6,6,6,2,3,5,3,1,2,3,8,4,3,1,4,5,5,6,3,7,7,2,9,6,4,9,4.209302326
22,1,8,3,4,6,3,1,2,6,7,1,1,1,7,6,4,1,5,1,3,5,8,2,4,1,5,1,5,7,2,5,8,3,5,8,6,4,1,6,9,1,6,9,4.23255814
23,3,5,1,6,6,3,2,3,1,9,5,2,3,7,5,4,6,3,4,4,6,5,1,3,3,6,4,1,6,2,6,8,3,6,3,6,8,6,7,1,1,6,9,4.395348837
