Painting,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,Average
0,3,2,5,2,1,5,2,1,7,6,2,4,2,6,2,1,2,4,4,1,1,1,3,4,3,4,6,1,3,5,5,1,4,6,2,3,4,3,6,5,3,4,3,9,6,3,5,5,4,3.5510204081632653
1,3,6,5,2,5,7,7,3,8,7,3,6,1,7,1,1,5,1,3,2,3,1,3,5,8,3,5,3,4,8,3,1,7,6,1,5,4,1,6,4,2,7,3,8,5,5,5,6,5,4.285714285714286
2,8,7,4,1,3,4,3,2,6,5,2,5,1,5,3,1,5,1,1,2,1,1,6,4,6,1,2,2,3,4,4,1,7,3,3,4,4,1,5,4,4,6,4,5,6,3,5,2,3,3.5306122448979593
3,3,5,4,2,2,5,6,1,6,6,1,3,2,5,8,2,3,4,1,3,1,1,2,3,5,2,5,1,3,6,2,1,5,5,2,6,4,4,6,7,2,7,3,5,5,4,5,3,4,3.693877551020408
4,2,2,4,1,2,3,4,1,6,5,1,5,3,4,1,1,2,1,4,2,1,3,6,4,3,3,5,2,3,6,3,1,5,6,1,4,5,3,5,3,4,5,3,5,5,3,4,4,2,3.2857142857142856
5,4,2,4,2,2,5,3,1,6,6,1,4,2,5,3,1,3,1,1,2,1,1,4,4,4,4,4,4,2,7,3,1,2,1,1,4,3,2,4,3,2,9,3,6,5,2,4,4,3,3.163265306122449
6,4,3,4,4,3,3,9,1,6,6,2,4,1,5,2,2,4,2,2,6,1,2,6,3,4,1,7,2,3,4,1,1,3,7,1,5,4,1,4,5,4,4,3,7,5,5,5,4,1,3.5918367346938775
7,3,4,9,8,1,5,2,1,5,7,2,4,3,5,6,5,6,1,1,2,1,6,4,1,3,2,3,1,3,4,4,1,3,5,1,3,3,1,5,9,2,3,6,5,3,3,4,8,6,3.7346938775510203
8,3,4,5,2,4,4,4,3,7,6,2,4,1,6,5,2,5,3,4,2,1,1,2,4,5,4,6,7,2,6,2,1,6,2,8,7,4,3,5,6,3,5,5,5,4,3,6,4,4,4.020408163265306
9,2,3,4,1,3,5,2,1,8,5,1,4,8,5,4,2,6,4,3,1,1,1,3,4,3,3,4,1,3,3,3,1,1,5,2,6,3,2,4,9,1,1,4,8,2,4,2,5,4,3.36734693877551
10,7,4,4,5,2,5,4,2,7,6,2,2,2,5,4,4,5,4,4,2,2,4,3,3,6,6,4,2,4,4,3,1,4,9,9,6,5,1,4,3,2,3,4,5,4,4,4,4,6,4.061224489795919
11,5,3,8,2,5,5,2,1,6,5,4,5,3,5,7,3,6,2,1,2,2,1,4,4,6,2,4,6,2,7,2,1,6,4,1,4,4,1,4,4,2,7,3,9,5,6,4,3,4,3.9183673469387754
12,7,4,5,2,3,3,2,1,8,7,2,5,4,5,4,2,5,4,6,3,2,1,6,4,3,4,4,4,4,4,4,1,3,4,4,4,6,5,6,3,5,8,3,8,7,4,5,4,2,4.163265306122449
13,6,2,7,2,3,7,5,9,9,6,3,6,2,7,3,1,5,2,6,4,2,1,5,5,3,7,5,2,4,8,2,1,6,6,7,9,5,3,7,1,2,6,3,9,4,7,8,6,6,4.795918367346939
14,7,3,8,2,1,5,4,1,6,7,3,5,1,6,2,2,2,3,5,1,1,1,6,6,1,3,8,2,2,6,5,9,1,9,1,6,6,1,5,9,1,3,5,8,5,3,4,8,2,4.1020408163265305
15,4,6,5,1,4,5,6,1,7,6,4,6,8,6,6,1,5,1,6,2,1,1,5,4,7,3,4,2,1,5,4,1,7,3,7,5,7,5,6,6,2,4,3,9,5,6,5,4,7,4.469387755102041
16,9,7,9,1,3,6,4,2,8,5,4,6,2,5,4,1,4,3,6,1,1,1,5,5,3,7,5,1,3,4,7,1,3,5,2,7,7,1,6,3,2,1,3,9,3,2,4,6,4,4.1020408163265305
17,4,3,6,2,2,5,2,3,7,6,5,5,2,5,6,2,2,1,5,2,1,3,4,4,3,3,4,1,4,7,5,1,7,8,2,9,6,2,5,6,2,3,4,8,4,4,5,4,3,4.020408163265306
18,4,8,6,3,2,5,2,2,8,4,4,4,1,5,3,1,2,1,4,4,3,1,9,4,2,6,5,1,2,3,5,1,1,6,1,4,6,3,6,8,2,6,3,7,5,3,5,4,2,3.816326530612245
19,8,2,5,6,3,6,6,2,8,6,2,6,2,6,3,2,5,1,5,3,2,2,6,4,3,7,4,2,4,6,6,1,5,4,4,5,7,2,6,8,5,4,4,8,5,6,5,5,5,4.530612244897959
20,3,3,6,1,2,6,3,3,8,5,3,4,8,6,5,2,4,1,1,2,5,2,9,5,6,7,5,1,2,3,4,1,7,6,1,7,7,1,4,4,1,5,4,4,3,4,5,5,6,4.081632653061225
21,8,5,5,3,4,5,9,5,9,6,5,5,7,8,7,2,4,3,4,4,2,3,5,4,4,6,4,2,6,9,6,1,4,5,5,6,5,4,6,5,2,7,3,9,5,5,6,7,4,5.061224489795919
22,5,3,8,2,3,3,7,3,8,6,2,4,4,6,6,2,5,2,5,4,2,1,6,4,3,3,6,2,3,9,7,1,5,6,1,5,4,4,4,6,4,5,3,8,5,4,5,3,7,4.36734693877551
23,7,3,9,6,1,5,6,2,6,6,7,5,3,5,3,6,6,4,3,1,7,2,7,4,5,9,6,1,1,4,6,2,4,7,2,8,7,4,5,5,3,4,3,8,4,7,4,6,5,4.775510204081633
24,3,2,4,1,5,5,5,2,7,4,3,4,2,4,6,2,5,3,7,6,3,1,5,4,2,5,4,2,4,5,3,4,3,7,1,8,7,2,4,6,2,5,1,6,5,6,4,4,6,4.061224489795919
25,7,3,6,2,4,6,3,2,7,5,8,6,3,6,4,5,7,4,6,6,7,2,8,6,7,9,5,5,3,4,5,6,1,9,1,7,7,2,6,1,1,3,3,5,5,4,4,3,8,4.836734693877551
26,8,2,9,4,3,7,6,2,7,6,4,4,8,6,5,1,7,7,5,7,1,1,6,6,2,4,4,2,5,7,3,2,6,9,3,3,6,2,6,7,2,8,4,9,5,4,7,5,6,4.959183673469388
27,3,5,7,5,2,3,3,1,6,8,4,4,7,6,3,1,4,9,1,2,1,1,8,5,6,2,7,1,3,5,2,1,4,3,1,4,6,2,6,6,3,9,3,9,5,4,5,6,6,4.244897959183674
28,2,2,6,4,2,4,6,2,9,7,4,4,7,5,4,2,5,8,1,4,5,3,4,4,6,6,5,1,3,8,4,1,6,6,4,5,6,1,5,8,2,6,4,6,6,4,6,5,4,4.530612244897959
29,4,7,7,4,4,7,7,8,8,5,1,5,3,6,1,2,5,3,5,4,1,1,5,4,3,5,5,2,4,9,3,1,6,5,5,4,4,4,6,5,6,7,3,9,6,4,5,6,4,4.653061224489796
30,8,4,8,6,5,2,5,5,9,7,5,5,8,7,5,1,7,3,6,4,4,1,9,5,8,4,6,6,3,9,3,1,6,7,5,5,7,4,6,5,6,9,4,9,8,2,6,8,6,5.551020408163265
31,4,4,5,2,3,5,7,2,6,6,2,4,1,6,5,2,4,3,2,3,1,4,2,3,6,8,4,5,4,6,3,1,5,5,5,5,4,3,5,7,5,7,3,9,5,4,5,5,4,4.26530612244898
32,6,5,7,2,5,5,7,7,7,6,2,4,2,7,5,2,6,3,3,2,1,3,5,5,5,5,4,6,4,9,5,1,7,4,5,3,4,4,6,4,2,7,4,9,5,5,5,5,7,4.73469387755102
33,3,3,7,6,1,5,4,1,8,7,2,3,8,6,4,1,3,4,1,1,4,1,5,4,5,2,4,2,3,6,3,1,6,2,2,3,3,1,4,5,2,7,3,9,5,3,4,7,7,3.8979591836734695
34,6,3,8,5,3,6,7,4,7,6,2,4,5,7,8,2,5,2,1,3,1,1,3,4,4,3,4,2,3,6,6,1,5,6,1,4,4,2,7,3,3,8,4,9,5,4,5,7,4,4.346938775510204
35,2,4,5,3,3,5,4,3,9,5,2,6,7,6,8,2,5,4,4,2,1,1,6,4,2,7,4,2,5,7,8,1,2,4,5,4,4,3,5,1,4,8,3,9,4,6,5,8,7,4.469387755102041
36,5,4,6,1,3,5,6,3,8,7,2,5,8,5,6,5,6,3,8,1,2,2,5,4,3,3,4,1,3,8,4,1,6,6,6,2,4,4,6,3,3,8,3,9,5,5,5,5,6,4.551020408163265
37,6,6,6,3,4,5,6,4,7,7,3,6,1,6,4,1,5,3,4,5,2,2,5,4,3,5,5,3,3,9,4,1,3,4,1,5,4,1,6,6,7,6,3,9,6,6,6,6,5,4.530612244897959
38,8,3,6,1,4,5,7,4,8,6,2,6,5,6,3,4,5,3,2,5,5,1,4,3,3,1,5,2,3,8,5,1,5,4,1,6,4,2,5,6,3,7,3,7,5,7,6,5,4,4.36734693877551
