Rater,mae,r2,rho,rs
1,2.2957961320877076,0.077657151222229,0.29509451105653256,0.2744617373392241
2,1.770750348014061,0.17592450380325317,0.4340393839525647,0.3640914396597815
3,1.7497356768810388,-0.19999183416366578,0.24569454177793912,0.21527834251883413
4,1.7724771162476203,0.00974212884902954,0.22379857236195982,0.16241975387292779
5,1.7183989197316794,0.020174050331115724,0.3453847346934302,0.2854969123420709
6,1.3193156940768465,0.2184416890144348,0.4979928023811791,0.475891852540088
7,4.947992272810502,-29.623583221435545,,
8,1.8931306846214064,-0.9477993607521057,0.3898473179882219,0.3566754547251851
9,1.2822802574947627,0.14760577082633972,0.5379624445120713,0.4991013518680779
10,1.6966048091348978,0.05267003774642944,0.2606847677237175,0.2150685229435842
