N,Rater,mae,r2,rho,rs
1,1,4.763309022784233,-3.4816844940185545,0.2694183809664307,0.23587344815782188
1,2,4.961848059371867,-6.12205753326416,0.3537146446728566,0.31188031968994945
1,3,5.51020808934488,-9.797214221954345,0.1586615681681764,0.12771255458854486
1,4,4.819933344705989,-6.845837926864624,0.15718163735445415,0.12841613074331437
1,5,4.508321342474282,-6.33353443145752,0.25499509940665777,0.2373316689430755
2,1,4.735429578808823,-3.1778038501739503,0.2632071993686964,0.25399940577939095
2,2,4.644139580921542,-4.164701795578003,0.4377402695316729,0.3891476131762769
2,3,5.1458572638606785,-8.310910558700561,0.17019322056234631,0.16453783638770886
2,4,4.454186944870484,-5.337115049362183,0.17104484030577846,0.1307168478579922
2,5,4.052340677414428,-4.779960083961487,0.22629592344131066,0.20247883070975686
3,1,4.468464610844173,-2.85904176235199,0.24961903597878193,0.24040815212591632
3,2,4.3366947338173185,-3.1405431509017943,0.4530392239025501,0.4153441188131297
3,3,5.4644216782441655,-8.387379598617553,0.17198280728053578,0.14519156455297658
3,4,4.466846021001388,-5.38453631401062,0.16090603174696783,0.11652292043235013
3,5,3.8131591000867004,-3.637367677688599,0.2717809359698661,0.24750300083323928
4,1,4.536274322197594,-2.8095642805099486,0.29750353897460313,0.2751117011498967
4,2,4.411256519790664,-3.6743345260620117,0.4054062409260732,0.36861347132030114
4,3,5.124133616746074,-7.305572032928467,0.2750969691740375,0.24844260128683046
4,4,4.208193395380872,-4.522500324249267,0.15622406406034267,0.10151438091354423
4,5,3.7167696466650626,-3.3481897830963137,0.3373612372229452,0.30145317246420184
5,1,4.53296604785278,-2.6878265142440796,0.2981267770055516,0.2977274814491492
5,2,4.483906714042479,-3.6143519639968873,0.4543630073515444,0.4097563273500562
5,3,4.980886883288623,-7.025200080871582,0.2133043035073176,0.2026423063632563
5,4,4.141371351235895,-4.111460208892822,0.17521742465216888,0.140483266619368
5,5,3.871293796312929,-3.605490303039551,0.29695283910195186,0.2569348412288437
6,1,4.577880552597344,-2.725583815574646,0.30382157227376994,0.2830157243402183
6,2,4.512683002466355,-3.538193774223328,0.45891861461486255,0.413884489374885
6,3,5.048602066877665,-7.646677494049072,0.14509676013928965,0.1341808472910216
6,4,4.270042000620654,-4.483709144592285,0.18182250645045853,0.13684707991912837
6,5,3.7730185836214907,-3.51557776927948,0.2957452311400804,0.27180234669568815
7,1,4.510863283174959,-2.8705283403396606,0.2670588601276405,0.25147546808240434
7,2,4.4197983226165025,-3.744808721542358,0.3990425075261042,0.3536918406038133
7,3,4.9655873885848605,-6.577524995803833,0.3193588349615197,0.2886016878757107
7,4,4.216376977985856,-4.776848888397216,0.16216421507817141,0.11642907613891626
7,5,3.658365557090652,-3.37516450881958,0.29480347716058763,0.25351242198894236
8,1,4.372376760622166,-2.5485427379608154,0.2748763690094863,0.25911845543949275
8,2,4.313301372110392,-3.318781590461731,0.48221253646204004,0.43468067775113184
8,3,4.979998648623852,-6.669333553314209,0.26793869469315856,0.23308503459300037
8,4,4.19502955891493,-4.439259004592896,0.18568204465657207,0.1516428402693815
8,5,3.800838085884849,-3.5289261817932127,0.2903460606425175,0.2674413890468193
9,1,4.467043826399804,-2.780880069732666,0.2831167373471136,0.2589452364663655
9,2,4.341906334708134,-3.126534414291382,0.42516213141585785,0.37897106993049834
9,3,4.937593945738568,-6.680311679840088,0.26046417665619115,0.25287651738601763
9,4,4.249132458146924,-4.693233394622803,0.13418676139345315,0.09961299355233981
9,5,3.802905270829797,-3.474002480506897,0.2708004627037425,0.23594532047631245
10,1,4.500187999243388,-2.716883325576782,0.2845916074484185,0.2773480657546775
10,2,4.310915653394403,-3.381258177757263,0.4627514023541329,0.4261649479985544
10,3,4.954188759592973,-7.325583744049072,0.22932303482220698,0.2181192825814276
10,4,4.354967117354726,-4.85236701965332,0.13082191310361874,0.09822496144778577
10,5,3.7039087032391267,-3.272449326515198,0.326341880968647,0.2899410949188653
