N,Rater,mae,r2,rho,rs
1,1,5.5765592403107815,-11.377334117889404,-0.042881578596172074,-0.03768527106130783
1,2,4.5350269858509,-4.4053302526474,0.10954053923095952,0.10200843262461907
1,3,4.460154126776439,-5.618170928955078,0.22422764258826514,0.19909812096782703
1,4,6.645150471207771,-12.450330543518067,0.04709701462366423,0.030041133233574924
1,5,4.579211378812489,-7.097057580947876,0.18221420436148422,0.18211121471341968
2,1,4.923197299701096,-8.388899612426759,-0.03692643756154483,-0.031563656345949695
2,2,4.405101818719295,-3.609087014198303,0.11851620844530597,0.09590742687839407
2,3,3.912531386035485,-3.981236958503723,0.2004238306325976,0.18191650162630602
2,4,6.180615766806472,-9.646114063262939,-0.02131420000161984,-0.05304551803493113
2,5,3.894964648881043,-4.882047128677368,0.20948405700172912,0.20453385854804282
3,1,5.114549046871487,-7.882730150222779,-0.017289342138122728,-0.02848719854222616
3,2,4.140432780881346,-2.9536394119262694,0.19491402989035359,0.1888169947023272
3,3,3.879837636425715,-3.558876705169678,0.25467241627127835,0.20410272485756126
3,4,6.216716629338235,-9.929857444763183,0.017478642587109516,-0.004657165502819357
3,5,3.865163580173946,-4.7002177238464355,0.2420815387194511,0.2378801948935759
4,1,4.914419715719843,-7.5299156665802,-0.02683674941869395,-0.02695803627478806
4,2,4.01014960230601,-2.7479124546051024,0.20186523388865588,0.17276922580989104
4,3,3.9530230590377493,-4.132485294342041,0.21866439993423875,0.177988666040216
4,4,6.069902465748365,-9.199924087524414,0.008436934665923709,-0.020541563579639526
4,5,3.8669847440181506,-4.535359477996826,0.25865116529321164,0.24475116542585446
5,1,4.972924591909454,-7.813397359848023,-0.026484447696026918,-0.029163904021746657
5,2,3.9214987506186874,-2.9017000436782836,0.17176812366731914,0.17027789162939938
5,3,4.031634421748193,-3.9202159881591796,0.24536535480939675,0.21877874803319536
5,4,6.038806540865187,-8.830906391143799,-0.008521472147298032,-0.030301099752021804
5,5,3.8429820513032906,-4.514474630355835,0.17770119594878958,0.1771866555880069
6,1,4.859276204891127,-7.161407947540283,-0.0022508017377246754,0.004547031863928628
6,2,3.9722137262555544,-2.7838456869125365,0.10306848863354404,0.09317505449646765
6,3,3.880993158705156,-3.9175012588500975,0.201700111520185,0.15770245956309004
6,4,5.913409448689734,-8.815732765197755,0.004587226789425342,-0.012063398826503207
6,5,3.7801758716992957,-4.338886642456055,0.24871426301289082,0.25038117013292954
7,1,4.935464534490849,-7.370201587677002,-0.034419854197779806,-0.03825674045106818
7,2,4.361968829958803,-3.2308189392089846,0.1525221653535475,0.13431412061257048
7,3,4.111100636178045,-4.170115900039673,0.26988515052603623,0.23629061994315714
7,4,5.894018598593244,-8.792302370071411,0.0033368874947662603,-0.013335862331828282
7,5,3.7286313853706377,-4.451779699325561,0.25364561619313564,0.2540503000266446
8,1,4.913879945490396,-7.44574384689331,-0.04531082450002268,-0.04990954211646813
8,2,4.0121833979218,-2.8490509033203124,0.16102932908307468,0.14585561026710286
8,3,3.9350741145699617,-3.776566982269287,0.23191437187382724,0.18102564568898194
8,4,6.125719617327882,-9.145412349700928,-0.0079004072639871,-0.02372889080732534
8,5,4.0928922194987525,-5.1909137725830075,0.23330728395443803,0.20983776078361505
9,1,5.1527034848138245,-7.912804317474365,-0.024871255601146083,-0.029932131870344603
9,2,4.087600718145119,-2.978668212890625,0.13411950241252352,0.1149278828091594
9,3,3.990323823998974,-3.7977725982666017,0.25262123874826753,0.21580884172694664
9,4,6.072075107387936,-9.125182723999023,-0.005490023529123254,-0.0234998560129856
9,5,3.8953081377998293,-4.781519174575806,0.260814046525001,0.2523645586220712
10,1,4.982897283656127,-7.408356952667236,-0.06111279001943757,-0.05721280014004924
10,2,4.114773808914529,-2.9966123580932615,0.1274715691427932,0.12251934651365737
10,3,3.9898626200629,-3.846876358985901,0.258016178099325,0.21749755122121686
10,4,6.094438925917929,-9.729290199279784,-0.04973203696352603,-0.04898580956932368
10,5,3.824418700283224,-4.820520257949829,0.2134664262670231,0.20219044273339049
