N,mae,r2,rho,rs
1,5.033329510529901,-42.82334689334606,0.5275543517006807,0.5232901101585713
2,4.99604328264378,-37.75410437848899,0.5880852511876112,0.5865101191944074
3,4.834753992153283,-32.293202632754536,0.6361497206595209,0.6382146771207966
4,4.839059628161568,-31.6283374548001,0.6178404181102288,0.6152839809575655
5,4.767501204178301,-30.91988522223125,0.6176027517143936,0.6098971728799465
6,4.842609374450192,-32.980238914056216,0.6210278101497786,0.6222669495301476
7,4.883483513317822,-32.85307202762107,0.6324143382186905,0.6339478082850432
8,4.97088258745252,-31.53703205451884,0.6575828470588314,0.6573475455055837
9,5.1247415764773985,-34.82372536493979,0.6338433099733101,0.622493868326118
10,4.981661536135339,-32.21551043907337,0.6727053269122275,0.6789787302889057
