N,Rater,mae,r2,rho,rs
1,1,4.899676271294705,-3.7623854875564575,0.29584343660335166,0.31157024780664766
1,2,4.936189192781844,-5.33848295211792,0.3736038999737055,0.35954749061840596
1,3,5.200694911866778,-8.358024740219117,0.37563418314711394,0.37766962332933557
1,4,4.777343477353905,-6.748618841171265,-0.001734216713798305,-0.018031945871694155
1,5,4.211336978453427,-4.896452689170838,0.3620545561075225,0.328082917467555
2,1,4.743625304968369,-3.082863473892212,0.33582218410929976,0.33994489490824875
2,2,4.596307922764258,-4.34096200466156,0.4298841365744738,0.39755206694615813
2,3,5.0590073187242846,-7.135274505615234,0.41008641619284214,0.38152022955126375
2,4,4.044036403874104,-4.856253385543823,0.009604738473628515,-0.021249197765781415
2,5,3.9098546343168827,-4.018690967559815,0.3866968006401565,0.37546121812321887
3,1,4.474398123664838,-2.8064722061157226,0.35592787909599677,0.36452318964750197
3,2,4.300515994286597,-3.4477102994918822,0.4656028797208857,0.45186321856308587
3,3,5.015507665438333,-6.761507272720337,0.4383853214735042,0.407681608559857
3,4,4.248074569391331,-4.843717479705811,0.0556024847409291,0.011988981750029779
3,5,3.5728226084638424,-3.0851532459259032,0.36852396330777526,0.35203953574329977
4,1,4.297380098147374,-2.489071273803711,0.33704651068313224,0.34272821065236025
4,2,4.322260605660502,-3.1438928604125977,0.4809446357183885,0.4742659695905333
4,3,4.937735050220532,-6.488051652908325,0.41931959850376144,0.39997600588886656
4,4,4.301221105200474,-4.869048023223877,0.03527308471541478,-0.005313036814150381
4,5,3.8387208170473883,-3.8194432735443113,0.3870158167151954,0.369667772764388
5,1,4.475926693893894,-2.7401809215545656,0.3407691673963234,0.3467599958651428
5,2,4.323308057560012,-3.255714511871338,0.46481106509873793,0.4555942536150829
5,3,5.037697054400588,-6.879530715942383,0.4387909257848589,0.3940233479186692
5,4,4.430351544991888,-5.095632648468017,0.07236386430091224,0.03201873881794136
5,5,3.7855930501312924,-3.5825517416000365,0.3741974248709917,0.37315671218785046
6,1,4.174442757797813,-2.373387575149536,0.33299961858695065,0.33675411832565494
6,2,4.279624106388802,-3.343403935432434,0.48400239702284525,0.46568605771909144
6,3,5.030199609553874,-6.922016286849976,0.4453005901118751,0.43626967707836306
6,4,4.167666545860244,-4.503726530075073,0.04186090964171553,0.0025758259194296673
6,5,3.6354251692842956,-3.2943297386169434,0.3481901589629614,0.32863740834063343
7,1,4.231026355862015,-2.5027218103408813,0.3144252745980554,0.3194566777784398
7,2,4.299261447847491,-3.4164180755615234,0.4351192971413481,0.38825892107712556
7,3,5.122251482078372,-7.32165117263794,0.3811460627207953,0.34811437916568055
7,4,4.383298767753171,-5.203545331954956,0.07942665766906884,0.04313206763933251
7,5,3.631420257131597,-3.072475862503052,0.39181761140806926,0.38265211334793253
8,1,4.2839042453565686,-2.4192768335342407,0.377694018505932,0.3837846917922856
8,2,4.302476167769143,-3.4023326873779296,0.45167182165200437,0.44545959938869445
8,3,5.096443274696218,-6.793072509765625,0.4372309873192914,0.4081768436454457
8,4,4.446700387914674,-5.271795654296875,0.07219270569782588,0.05061133157407719
8,5,3.7062819713425603,-3.473639225959778,0.3543424772347535,0.34433127222563437
9,1,4.318970731570564,-2.475662422180176,0.3184587376350504,0.3196164185187881
9,2,4.212093056813635,-3.174641728401184,0.4512110574159993,0.4449088321112623
9,3,5.143073787011508,-7.160036849975586,0.4040105723750848,0.38992495508213804
9,4,4.0077406381727245,-4.212500286102295,0.03836997352987952,0.008069725079118337
9,5,3.7535638083891962,-3.315082311630249,0.36770233978474615,0.3576210994439596
10,1,4.530659440498461,-2.687965440750122,0.35613319857073567,0.35215088991509824
10,2,4.390803664000799,-3.4780415534973144,0.4735244108474327,0.45828204874057077
10,3,5.0616747161542825,-7.251573514938355,0.41042399257483664,0.3849504611412018
10,4,4.179461263138989,-4.813512897491455,0.02397158708495402,0.00287746654217695
10,5,3.7277133184550992,-3.4724831342697144,0.35206644110030116,0.3158123861330814
