N,Rater,mae,r2,rho,rs
1,1,5.533023063678827,-4.0406416893005375,0.4881052182193132,0.485525657635692
1,2,5.281440502967762,-20.723907470703125,0.03573511557689222,0.04631772733929797
1,3,5.808642034407478,-38.5720329284668,-0.035656714049604965,-0.018605565132361567
1,4,4.7510091959137695,-5.294118499755859,0.2597242465457026,0.2660208416076983
1,5,6.585470811558926,-17.67454061508179,0.06191141809281313,0.05068183778714821
2,1,5.567900855588365,-3.735189700126648,0.48873335553090824,0.4946336463810507
2,2,5.075517075216132,-18.11334810256958,0.0015969469360849065,-0.016015845290118284
2,3,5.331724900854942,-28.47864933013916,-0.0015709653493454101,0.01449570984427476
2,4,4.682861049724172,-4.654884147644043,0.2748955796285661,0.2732362091225823
2,5,6.275112200444755,-13.150230598449706,0.07160192812757227,0.0937460262294602
3,1,5.364856195520153,-3.5134493827819826,0.47821128922154915,0.48788434627213545
3,2,4.741182638446288,-14.674101448059082,0.01903565891300637,-0.007315875442200366
3,3,5.356593280015704,-26.58941078186035,-0.013687746740768808,0.008469811969523
3,4,4.533401435253458,-4.035613393783569,0.25231752048732986,0.2531410807130057
3,5,6.319098986590243,-13.165460872650147,0.08399533409753943,0.0882920222581236
4,1,5.389791210067972,-3.559499216079712,0.506876414948999,0.5103932923733093
4,2,4.867377927587652,-16.032863044738768,-0.008368434366391172,-0.01641821448944146
4,3,5.278201836704904,-24.669778060913085,-0.02929311904499301,-0.026636086083926213
4,4,4.396633625775577,-3.9963459014892577,0.26021564168682476,0.26173697138600915
4,5,6.344937593543103,-13.453299045562744,0.0813893569413578,0.09293068457341466
5,1,5.358131317855144,-3.237167167663574,0.5058548184266944,0.5097867426830084
5,2,5.0353718552871465,-17.507179164886473,0.02699931750963951,-0.003320024972070401
5,3,5.363452780854945,-27.675186157226562,0.01192482227036916,0.023167596780019173
5,4,4.424693781893928,-4.06321017742157,0.2674750740893873,0.2609358933043961
5,5,6.343563761972651,-12.960162258148193,0.045686148011297875,0.03861309885391564
6,1,5.525915518893423,-3.6816548347473144,0.5267014745940579,0.5343369577470096
6,2,4.82506117910831,-15.502944183349609,0.05991391207362291,0.03590534991289743
6,3,5.486298875223693,-25.604287910461426,0.030243958200007547,0.04652245564717415
6,4,4.486211088421394,-4.284624481201172,0.24352254279961735,0.2343947847116552
6,5,6.233259511239142,-13.525007629394532,0.10189248774415231,0.0904887265547477
7,1,5.370037773088077,-3.2815409660339356,0.5136652146700946,0.5099185891698593
7,2,4.79064799274451,-16.394319152832033,-0.012053086723575659,-0.03206562106977699
7,3,5.426873374027105,-26.570226669311523,-0.015360245424483105,0.004806550947563331
7,4,4.283060182830585,-3.585231137275696,0.33418502591920063,0.34022725061289527
7,5,6.245136253991904,-13.237921333312988,-0.00852463142573302,0.001037816794963026
8,1,5.322063795583588,-3.4082966566085817,0.452670317961977,0.4506309626596991
8,2,4.932347723077602,-15.660449504852295,0.03360731846828722,0.007813749372324406
8,3,5.220373669179271,-23.793076515197754,0.024872488655418922,0.030136627820243733
8,4,4.369542602742357,-3.8924574136734007,0.29526170901112997,0.29194508269176345
8,5,6.267609803101085,-12.559916496276855,0.038881552915096776,0.04294913583144229
9,1,5.407676808577867,-3.4384610176086428,0.5177203077069252,0.5266235403011151
9,2,4.8436365256143015,-15.520509624481202,-0.01953483224661187,-0.03444530084073765
9,3,5.498833837044634,-28.142516708374025,0.00472806159236992,0.02491075714827414
9,4,4.52845253797476,-4.134753847122193,0.33960748909287225,0.3341253651373154
9,5,6.310819903038899,-12.651154804229737,0.03423405197302791,0.0387410746837597
10,1,5.3985642627470805,-3.3911190271377563,0.5229807451128479,0.5231481679243628
10,2,4.856245978089164,-15.157459449768066,-0.004800031740868799,-0.017546129149533404
10,3,5.393584788947994,-25.950529479980467,-0.023509359543958573,-0.01863296564896421
10,4,4.5058505285379225,-4.014501523971558,0.28486511746876664,0.29439469418633124
10,5,6.245169097496842,-13.304842567443847,0.07807012530432839,0.08389071109560353
