dataset,representation,category,target,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
apddv2,clip-vit-b32,all,Color,regression,,0,4340,930,930,0,0,9300,60,0.776989247311828,0.6400736570358276,0.7062010765075684,0.6211750645538667,0.8129107957352062,0.7423049120857748,0.5609171941894471
apddv2,clip-vit-b32,all,Color,hinge,1,0,4340,930,930,4340,930,9300,18,0.7675268817204302,0.6999159455299377,0.7768180966377258,0.5832942459511763,0.7661690660814173,0.724370754418387,0.5365317316111743
apddv2,clip-vit-b32,all,Color,hinge,2,0,4340,930,930,8680,1860,9300,16,0.7618279569892473,0.7231321334838867,0.8328508734703064,0.5532367669352174,0.7444696326933524,0.716247595469169,0.5292999867027993
apddv2,clip-vit-b32,all,Color,hinge,3,0,4340,930,930,13020,2790,9300,16,0.7770967741935484,0.683093786239624,0.745029091835022,0.6003467000811902,0.7766220760520355,0.7428462032654026,0.5558507546262887
apddv2,clip-vit-b32,all,Color,hinge,4,0,4340,930,930,17360,3720,9300,16,0.7809677419354839,0.7095191478729248,0.7866931557655334,0.5779970184527683,0.7610507039707741,0.7299181214241993,0.5454601010541129
apddv2,clip-vit-b32,all,Color,hinge,5,0,4340,930,930,21700,4650,9300,19,0.7739784946236559,0.6593130230903625,0.6975391507148743,0.6258216048919524,0.7918049714731481,0.7400548546048054,0.5550586840562853
apddv2,clip-vit-b32,all,Color,hinge,6,0,4340,930,930,26040,4650,9300,18,0.7894623655913978,0.6319954991340637,0.662990391254425,0.6443544320537776,0.8035093589226392,0.7673626285519827,0.5804143159126097
apddv2,clip-vit-b32,all,Color,hinge,7,0,4340,930,930,30380,4650,9300,17,0.7767741935483871,0.6419662237167358,0.6703906059265137,0.640384799774514,0.8006624016711967,0.7475599942433339,0.5632231037778596
apddv2,clip-vit-b32,all,Color,hinge,8,0,4340,930,930,34720,4650,9300,17,0.7730107526881721,0.6697788834571838,0.7245070338249207,0.611355258073838,0.7831097641757765,0.7444820849321806,0.5565865834990139
apddv2,clip-vit-b32,all,Color,hinge,9,0,4340,930,930,39060,4650,9300,16,0.7874193548387097,0.6472607851028442,0.6924875378608704,0.6285314064766632,0.795031537900627,0.7546667386778627,0.5690769271029149
apddv2,clip-vit-b32,all,Color,hinge,10,0,4340,930,930,43400,4650,9300,16,0.7838709677419354,0.647916853427887,0.6944593191146851,0.627473656290316,0.7935792491723817,0.7544878062063595,0.5678472972440357
apddv2,clip-vit-b32,all,Color,bradley_terry,1,0,4340,930,930,4340,930,9300,18,0.7774193548387097,0.6953417062759399,0.7612391710281372,0.5916511622407801,0.7717204687151451,0.7349258764478828,0.5451039036380166
apddv2,clip-vit-b32,all,Color,bradley_terry,2,0,4340,930,930,8680,1860,9300,17,0.7750537634408602,0.6805107593536377,0.7384456992149353,0.6038782231053959,0.7784064027267164,0.7379255202293754,0.5521247421815978
apddv2,clip-vit-b32,all,Color,bradley_terry,3,0,4340,930,930,13020,2790,9300,16,0.78,0.6705564260482788,0.7216728329658508,0.6128756654618659,0.7846946045987799,0.7461973441305187,0.559253377311629
apddv2,clip-vit-b32,all,Color,bradley_terry,4,0,4340,930,930,17360,3720,9300,16,0.7834408602150538,0.6724093556404114,0.7192036509513855,0.6142001816476246,0.7847195386775638,0.7395212354919736,0.5562631937396633
apddv2,clip-vit-b32,all,Color,bradley_terry,5,0,4340,930,930,21700,4650,9300,16,0.7779569892473118,0.6612176299095154,0.7182586193084717,0.614707099727935,0.785429613582096,0.7426470131265027,0.5560101061019107
apddv2,clip-vit-b32,all,Color,bradley_terry,6,0,4340,930,930,26040,4650,9300,16,0.7886021505376344,0.6523982882499695,0.6825917363166809,0.6338398040700932,0.79731468330057,0.75725881510546,0.5699205525620903
apddv2,clip-vit-b32,all,Color,bradley_terry,7,0,4340,930,930,30380,4650,9300,16,0.7833333333333333,0.6339602470397949,0.6685993075370789,0.6413456564798155,0.8014558919702353,0.7551447278433224,0.5686129331003684
apddv2,clip-vit-b32,all,Color,bradley_terry,8,0,4340,930,930,34720,4650,9300,16,0.7729032258064517,0.6600291728973389,0.703439474105835,0.6226564881844412,0.7903790648135782,0.7393727123389483,0.5537229437459243
apddv2,clip-vit-b32,all,Color,bradley_terry,9,0,4340,930,930,39060,4650,9300,16,0.7895698924731183,0.6429892182350159,0.6682481169700623,0.6415340361679505,0.8029427659509025,0.7619555976784999,0.5738621581796814
apddv2,clip-vit-b32,all,Color,bradley_terry,10,0,4340,930,930,43400,4650,9300,16,0.7893548387096774,0.6376640200614929,0.664606511592865,0.6434875247051675,0.8035456389260607,0.7581419237280161,0.5718655779262999
apddv2,clip-vit-b32,all,Color,regression,,1,4340,930,930,0,0,9300,49,0.7890322580645162,0.6517025232315063,0.7023416757583618,0.6427240327433785,0.80398382915733,0.7521740320533821,0.565695975309671
apddv2,clip-vit-b32,all,Color,hinge,1,1,4340,930,930,4340,930,9300,18,0.789247311827957,0.684741199016571,0.7481170892715454,0.6194384548633551,0.7882488332106963,0.7592874608025179,0.57356119179315
apddv2,clip-vit-b32,all,Color,hinge,2,1,4340,930,930,8680,1860,9300,17,0.7889247311827957,0.6798558235168457,0.7421544790267944,0.6224715834054624,0.7897266390741038,0.7530472824009815,0.5666469216742608
apddv2,clip-vit-b32,all,Color,hinge,3,1,4340,930,930,13020,2790,9300,16,0.787741935483871,0.6751744151115417,0.731218159198761,0.6280347895449618,0.7931179078981216,0.7663751879390645,0.5782925012918481
apddv2,clip-vit-b32,all,Color,hinge,4,1,4340,930,930,17360,3720,9300,17,0.798494623655914,0.6506945490837097,0.6870145201683044,0.6505208230169737,0.8076706621316561,0.7794753237565211,0.5944070603765224
apddv2,clip-vit-b32,all,Color,hinge,5,1,4340,930,930,21700,4650,9300,16,0.7851612903225806,0.687110185623169,0.7468812465667725,0.6200671067201311,0.7889550077333105,0.7604404064864221,0.5753553418307752
apddv2,clip-vit-b32,all,Color,hinge,6,1,4340,930,930,26040,4650,9300,16,0.7909677419354839,0.6762955188751221,0.7451288104057312,0.6209585331554579,0.7886686405326486,0.765267137987256,0.5791591272891343
apddv2,clip-vit-b32,all,Color,hinge,7,1,4340,930,930,30380,4650,9300,16,0.7864516129032258,0.6501998901367188,0.6938701868057251,0.6470334357971605,0.8063633572609064,0.7671141316891701,0.5817262140270417
apddv2,clip-vit-b32,all,Color,hinge,8,1,4340,930,930,34720,4650,9300,17,0.7886021505376344,0.6647282242774963,0.711583137512207,0.6380229714526986,0.7996760053297294,0.7600014044358483,0.5747416769353995
apddv2,clip-vit-b32,all,Color,hinge,9,1,4340,930,930,39060,4650,9300,16,0.7941935483870968,0.658433198928833,0.7115840911865234,0.6380224832633257,0.799900390176461,0.7604301900207906,0.5762688124765634
apddv2,clip-vit-b32,all,Color,hinge,10,1,4340,930,930,43400,4650,9300,16,0.7979569892473118,0.6474997997283936,0.663567841053009,0.6624479709260201,0.8153665349954622,0.7745449649059734,0.5882657269579153
