dataset,representation,category,target,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
apddv2,resnet50,all,Light and shadow,regression,,0,4343,931,930,0,0,9300,71,0.7653763440860215,0.7109394669532776,0.8362386226654053,0.5991281141700728,0.7780039454361543,0.7129281725665291,0.5334840392738192
apddv2,resnet50,all,Light and shadow,hinge,1,0,4343,931,930,4343,931,9300,16,0.7383870967741936,0.8418880105018616,1.0873008966445923,0.4787751914184446,0.6930859447143689,0.6680757622909983,0.485532155612988
apddv2,resnet50,all,Light and shadow,hinge,2,0,4343,931,930,8686,1862,9300,18,0.7696774193548387,0.7462666034698486,0.8898078799247742,0.5734483680798393,0.7574595168485132,0.7254842349228923,0.5410674766468252
apddv2,resnet50,all,Light and shadow,hinge,3,0,4343,931,930,13029,2793,9300,17,0.7621505376344087,0.7572153210639954,0.9184187054634094,0.5597330417250483,0.7482214753313485,0.7210144049918722,0.5351385222111932
apddv2,resnet50,all,Light and shadow,hinge,4,0,4343,931,930,17372,3724,9300,17,0.7766666666666666,0.7474097609519958,0.8917392492294312,0.5725224878872319,0.7572572225788434,0.7276178408278314,0.5448123261283035
apddv2,resnet50,all,Light and shadow,hinge,5,0,4343,931,930,21715,4655,9300,16,0.7606451612903226,0.7718778252601624,0.9305718541145325,0.5539071472375506,0.7442719924565608,0.7136617425525371,0.5280284638089372
apddv2,resnet50,all,Light and shadow,hinge,6,0,4343,931,930,26058,4655,9300,16,0.7681720430107527,0.7506793737411499,0.8654107451438904,0.5851437691556733,0.7651298587298925,0.729810020989072,0.5424173097515383
apddv2,resnet50,all,Light and shadow,hinge,7,0,4343,931,930,30401,4655,9300,16,0.7727956989247312,0.7345744967460632,0.8613030910491943,0.5871128117574274,0.7662600254510608,0.7263326474659423,0.5394645498349785
apddv2,resnet50,all,Light and shadow,hinge,8,0,4343,931,930,34744,4655,9300,17,0.775483870967742,0.7444592118263245,0.8742178678512573,0.5809218340364108,0.7625763369803664,0.7323626167806268,0.546480869827185
apddv2,resnet50,all,Light and shadow,hinge,9,0,4343,931,930,39087,4655,9300,16,0.7617204301075269,0.7623857855796814,0.9375198483467102,0.5505764644259602,0.7424223383254009,0.7022258522139946,0.5216308173230576
apddv2,resnet50,all,Light and shadow,hinge,10,0,4343,931,930,43430,4655,9300,17,0.7682795698924731,0.7295180559158325,0.8429079651832581,0.5959309988925032,0.7725344230649114,0.733511960255688,0.5482853342206382
apddv2,resnet50,all,Light and shadow,bradley_terry,1,0,4343,931,930,4343,931,9300,17,0.7576344086021506,0.7935890555381775,0.969977855682373,0.5350168866388167,0.7322464033516667,0.702470529770544,0.5177406733060026
apddv2,resnet50,all,Light and shadow,bradley_terry,2,0,4343,931,930,8686,1862,9300,16,0.7630107526881721,0.7906309962272644,0.9882969856262207,0.5262351280347626,0.7255057497915303,0.6980787963603794,0.5141551791216086
apddv2,resnet50,all,Light and shadow,bradley_terry,3,0,4343,931,930,13029,2793,9300,16,0.7589247311827957,0.7731959819793701,0.92796790599823,0.5551554177247011,0.7453571395441827,0.7118737090882339,0.5248179232647412
apddv2,resnet50,all,Light and shadow,bradley_terry,4,0,4343,931,930,17372,3724,9300,16,0.7698924731182796,0.7701660394668579,0.9339760541915894,0.5522752497337242,0.7431898610009995,0.7205715645098764,0.5355275366128988
apddv2,resnet50,all,Light and shadow,bradley_terry,5,0,4343,931,930,21715,4655,9300,16,0.7683870967741936,0.7447829842567444,0.8648054003715515,0.585433927162163,0.7658732210689294,0.7336267132610578,0.5454356865551329
apddv2,resnet50,all,Light and shadow,bradley_terry,6,0,4343,931,930,26058,4655,9300,16,0.7750537634408602,0.7308836579322815,0.8343859314918518,0.6000162507230589,0.7746202243140772,0.7376851726602442,0.5509053227815222
apddv2,resnet50,all,Light and shadow,bradley_terry,7,0,4343,931,930,30401,4655,9300,16,0.7826881720430108,0.7327817678451538,0.8496920466423035,0.59267888751521,0.7698806706303998,0.7342064110861943,0.5470854825720043
apddv2,resnet50,all,Light and shadow,bradley_terry,8,0,4343,931,930,34744,4655,9300,16,0.7778494623655914,0.7339501976966858,0.846673309803009,0.5941259915662974,0.7709470278495303,0.7355440294895561,0.5488852600449551
apddv2,resnet50,all,Light and shadow,bradley_terry,9,0,4343,931,930,39087,4655,9300,16,0.7749462365591397,0.7263308167457581,0.8364286422729492,0.5990370290876997,0.7741929529001936,0.7319941191118906,0.5480744227980268
apddv2,resnet50,all,Light and shadow,bradley_terry,10,0,4343,931,930,43430,4655,9300,16,0.7702150537634409,0.7238008379936218,0.8299304842948914,0.6021521328705158,0.7767496899318758,0.7303811815547858,0.5456887802622665
