dataset,representation,category,target,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
apddv2,clip-vit-b32,all,Mood,regression,,0,4715,1010,1011,0,0,10110,44,0.7670623145400594,0.7093671560287476,0.7991123795509338,0.5218393446544654,0.741376768326262,0.7187507927427033,0.5284687061963869
apddv2,clip-vit-b32,all,Mood,hinge,1,0,4715,1010,1011,4715,1010,10110,17,0.7416419386745796,0.7946689128875732,0.9549217820167542,0.42860854713569074,0.661753502568331,0.6567768910923731,0.4718753532339263
apddv2,clip-vit-b32,all,Mood,hinge,2,0,4715,1010,1011,9430,2020,10110,20,0.7506429277942631,0.7518669366836548,0.8661234378814697,0.48174229931650303,0.6996206802853635,0.6877488849864513,0.5000432914236133
apddv2,clip-vit-b32,all,Mood,hinge,3,0,4715,1010,1011,14145,3030,10110,19,0.7557863501483679,0.7303918600082397,0.8249385356903076,0.5063858668718477,0.71387586402534,0.6967598870615206,0.509098544791863
apddv2,clip-vit-b32,all,Mood,hinge,4,0,4715,1010,1011,18860,4040,10110,17,0.7600395647873393,0.7149938344955444,0.813645601272583,0.5131431506563541,0.7201721436043442,0.710469427521418,0.5206057674667387
apddv2,clip-vit-b32,all,Mood,hinge,5,0,4715,1010,1011,23575,5050,10110,16,0.7679525222551928,0.7086646556854248,0.7696294784545898,0.539480877799521,0.7352720837220659,0.7201127679832273,0.5294391948557138
apddv2,clip-vit-b32,all,Mood,hinge,6,0,4715,1010,1011,28290,5050,10110,16,0.7640949554896143,0.7264629006385803,0.8054479360580444,0.5180483869207395,0.7228512627911243,0.7130436286275712,0.5235964570087459
apddv2,clip-vit-b32,all,Mood,hinge,7,0,4715,1010,1011,33005,5050,10110,16,0.7594460929772503,0.7121682167053223,0.8045907616615295,0.5185612637228927,0.7218795767035857,0.7093786228936305,0.521960490411595
apddv2,clip-vit-b32,all,Mood,hinge,8,0,4715,1010,1011,37720,5050,10110,16,0.7484668644906034,0.7462666630744934,0.8436106443405151,0.4952131645297321,0.707181692524955,0.6900885091365079,0.5007800705690614
apddv2,clip-vit-b32,all,Mood,hinge,9,0,4715,1010,1011,42435,5050,10110,16,0.775568743818002,0.7000062465667725,0.7605007290840149,0.5449431946752745,0.7401295609762002,0.7205144966309318,0.5301561681101552
apddv2,clip-vit-b32,all,Mood,hinge,10,0,4715,1010,1011,47150,5050,10110,16,0.7606330365974283,0.7285803556442261,0.8165372610092163,0.5114129409295036,0.7163464721754735,0.7070940692925587,0.5174090966582621
apddv2,clip-vit-b32,all,Mood,bradley_terry,1,0,4715,1010,1011,4715,1010,10110,17,0.7459940652818992,0.7606327533721924,0.8992646932601929,0.4619117383336151,0.6828455351650149,0.6764649986208162,0.49080978503630346
apddv2,clip-vit-b32,all,Mood,bradley_terry,2,0,4715,1010,1011,9430,2020,10110,17,0.7584569732937686,0.7288106083869934,0.8198103904724121,0.5094544031912711,0.7173238187335755,0.7065023150135875,0.5164544527117405
apddv2,clip-vit-b32,all,Mood,bradley_terry,3,0,4715,1010,1011,14145,3030,10110,16,0.7522255192878339,0.7264429926872253,0.8246378898620605,0.5065658000618563,0.7134739024343233,0.6928945978554204,0.5059771363692117
apddv2,clip-vit-b32,all,Mood,bradley_terry,4,0,4715,1010,1011,18860,4040,10110,16,0.747675568743818,0.7227112054824829,0.8197292685508728,0.5095029528640285,0.7170223928065482,0.6995950532161698,0.5112890763372008
apddv2,clip-vit-b32,all,Mood,bradley_terry,5,0,4715,1010,1011,23575,5050,10110,16,0.7719090009891196,0.7012825608253479,0.7566370964050293,0.5472550961188388,0.740390986068661,0.7295430927037732,0.5364900920540884
apddv2,clip-vit-b32,all,Mood,bradley_terry,6,0,4715,1010,1011,28290,5050,10110,16,0.7667655786350148,0.7129039764404297,0.783149778842926,0.5313908395621656,0.7310529336588445,0.7149422295129122,0.5262781746510491
apddv2,clip-vit-b32,all,Mood,bradley_terry,7,0,4715,1010,1011,33005,5050,10110,16,0.7578635014836795,0.7084425091743469,0.7938002347946167,0.5250179392950196,0.7269453610903227,0.7119903295935813,0.523941079512262
apddv2,clip-vit-b32,all,Mood,bradley_terry,8,0,4715,1010,1011,37720,5050,10110,16,0.7593471810089021,0.7223260402679443,0.8077981472015381,0.5166421037639182,0.7214808255165082,0.7066296899812796,0.5172744165994166
apddv2,clip-vit-b32,all,Mood,bradley_terry,9,0,4715,1010,1011,42435,5050,10110,16,0.7834817012858556,0.6792616248130798,0.724025547504425,0.5667686910500682,0.7536664496206527,0.7354316103344,0.5446461579706353
apddv2,clip-vit-b32,all,Mood,bradley_terry,10,0,4715,1010,1011,47150,5050,10110,16,0.7731948565776459,0.7020771503448486,0.7699697613716125,0.5392772380724518,0.7367533282484917,0.7235629050590047,0.5327626233666329
apddv2,clip-vit-b32,all,Mood,regression,,1,4715,1010,1011,0,0,10110,37,0.7876360039564787,0.6448870301246643,0.6670607924461365,0.6279593518728526,0.7980547969626777,0.7616542254903886,0.574996751051435
apddv2,clip-vit-b32,all,Mood,hinge,1,1,4715,1010,1011,4715,1010,10110,20,0.7717111770524233,0.7224820256233215,0.8287284970283508,0.5377922285470664,0.7337090875062415,0.7002131974760294,0.5189836001367608
