dataset,representation,category,target,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
apddv2,resnet50,all,Mood,regression,,0,4715,1010,1011,0,0,10110,68,0.7329376854599406,0.7819818258285522,0.9508042335510254,0.4310723360387071,0.6680359565614822,0.6382650895608827,0.4610019190712642
apddv2,resnet50,all,Mood,hinge,1,0,4715,1010,1011,4715,1010,10110,16,0.6838773491592482,0.8799670934677124,1.190093755722046,0.2878898828366474,0.5422662509979403,0.5386573130166371,0.38002355310139097
apddv2,resnet50,all,Mood,hinge,2,0,4715,1010,1011,9430,2020,10110,17,0.7073194856577646,0.8330928087234497,1.0925036668777466,0.34628436949398644,0.5950560277244961,0.5735380322063955,0.4076290039864884
apddv2,resnet50,all,Mood,hinge,3,0,4715,1010,1011,14145,3030,10110,16,0.7099901088031652,0.8162605166435242,1.0431175231933594,0.37583528707027525,0.6167606856969456,0.588430360968136,0.4181063203290171
apddv2,resnet50,all,Mood,hinge,4,0,4715,1010,1011,18860,4040,10110,17,0.728486646884273,0.7913053035736084,1.0019464492797852,0.40047057731497004,0.6422261738462964,0.6303115105668211,0.4529924167481666
apddv2,resnet50,all,Mood,hinge,5,0,4715,1010,1011,23575,5050,10110,16,0.7177052423343224,0.8010501265525818,0.9840356111526489,0.4111878610714831,0.6461176292446638,0.6200137361198815,0.44406392108235954
apddv2,resnet50,all,Mood,hinge,6,0,4715,1010,1011,28290,5050,10110,16,0.718595450049456,0.7969829440116882,1.0137856006622314,0.3933864844152539,0.6329493128438699,0.6094916832173569,0.43528595018820315
apddv2,resnet50,all,Mood,hinge,7,0,4715,1010,1011,33005,5050,10110,16,0.7216617210682492,0.813603937625885,1.015447974205017,0.39239176708852164,0.6339957618028507,0.6117531189210593,0.4368466543995288
apddv2,resnet50,all,Mood,hinge,8,0,4715,1010,1011,37720,5050,10110,17,0.7342235410484669,0.7846426367759705,0.9538851380348206,0.4292287948332514,0.6613434885135803,0.6343565675632948,0.4573338680568288
apddv2,resnet50,all,Mood,hinge,9,0,4715,1010,1011,42435,5050,10110,16,0.7265084075173096,0.8002256751060486,1.0091866254806519,0.3961383632455939,0.6369050076590099,0.6202723951871574,0.44446400008069425
