dataset,representation,category,target,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
apddv2,clip-vit-b32,all,The sense of order,regression,,0,5574,1194,1195,0,0,11950,36,0.7888702928870293,0.6285190582275391,0.652731716632843,0.5965886582471434,0.7832378834427374,0.7685891647499624,0.5821048555055243
apddv2,clip-vit-b32,all,The sense of order,hinge,1,0,5574,1194,1195,5574,1194,11950,17,0.7771548117154812,0.6831547021865845,0.7587799429893494,0.5310470941481833,0.7292797127378208,0.7318885104642437,0.5452669042083389
apddv2,clip-vit-b32,all,The sense of order,hinge,2,0,5574,1194,1195,11148,2388,11950,16,0.7692887029288703,0.7073502540588379,0.8008825778961182,0.5050261788502677,0.7111614115770521,0.7167893304572546,0.5304920215094677
apddv2,clip-vit-b32,all,The sense of order,hinge,3,0,5574,1194,1195,16722,3582,11950,16,0.7778242677824267,0.662670373916626,0.7262623906135559,0.5511440680742208,0.7428651406925297,0.7367197006236333,0.550056688637973
apddv2,clip-vit-b32,all,The sense of order,hinge,4,0,5574,1194,1195,22296,4776,11950,18,0.7882845188284519,0.6346697807312012,0.6576351523399353,0.5935581331326143,0.7704504001784755,0.7718362422933498,0.5786053919257916
apddv2,clip-vit-b32,all,The sense of order,hinge,5,0,5574,1194,1195,27870,5970,11950,16,0.7881171548117155,0.6500410437583923,0.6921048760414124,0.5722546619697763,0.7565530824431548,0.75946349579445,0.5690655252465205
apddv2,clip-vit-b32,all,The sense of order,hinge,6,0,5574,1194,1195,33444,5970,11950,16,0.7805857740585774,0.6395955681800842,0.6615388989448547,0.5911454921081608,0.7689304411022846,0.7593232162029343,0.5697716568764666
apddv2,clip-vit-b32,all,The sense of order,hinge,7,0,5574,1194,1195,39018,5970,11950,16,0.7904602510460251,0.6347370147705078,0.6606066226959229,0.5917216877109688,0.7693369023611161,0.7650321615346618,0.5766174470559435
apddv2,clip-vit-b32,all,The sense of order,hinge,8,0,5574,1194,1195,44592,5970,11950,16,0.7866945606694561,0.6415521502494812,0.6712793111801147,0.585125591704692,0.7650061687741969,0.7623178664566994,0.5730470867262164
apddv2,clip-vit-b32,all,The sense of order,hinge,9,0,5574,1194,1195,50166,5970,11950,16,0.7867782426778243,0.6438553929328918,0.6812377572059631,0.5789708994959786,0.7609670451959403,0.7530609505056044,0.5637170744269292
apddv2,clip-vit-b32,all,The sense of order,hinge,10,0,5574,1194,1195,55740,5970,11950,16,0.7984100418410042,0.6271963119506836,0.6459938287734985,0.600752890946827,0.7752612517919175,0.769695675338624,0.5817049978355548
apddv2,clip-vit-b32,all,The sense of order,bradley_terry,1,0,5574,1194,1195,5574,1194,11950,18,0.7885355648535565,0.6530135273933411,0.6979076266288757,0.5686683340488694,0.7542927026332364,0.7509258534935946,0.5631027139113879
apddv2,clip-vit-b32,all,The sense of order,bradley_terry,2,0,5574,1194,1195,11148,2388,11950,17,0.78,0.6757371425628662,0.721771240234375,0.5539197723641909,0.7444917428213458,0.7413570597492689,0.5515777463097479
apddv2,clip-vit-b32,all,The sense of order,bradley_terry,3,0,5574,1194,1195,16722,3582,11950,16,0.7882008368200837,0.6471867561340332,0.6899707317352295,0.5735736051605396,0.7577177229906908,0.7556240696224275,0.5693558028783212
