dataset,representation,category,target,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
apddv2,resnet50,all,The overall,regression,,0,7015,1503,1504,0,0,15040,55,0.7429521276595744,0.7484216690063477,0.9218912124633789,0.4972625168588396,0.7262876442315829,0.6659101971614633,0.4855068236358458
apddv2,resnet50,all,The overall,hinge,1,0,7015,1503,1504,7015,1503,15040,17,0.7121010638297872,0.8485538363456726,1.1406116485595703,0.3779870654226707,0.6152746552826933,0.5862224132085329,0.41751250356626796
apddv2,resnet50,all,The overall,hinge,2,0,7015,1503,1504,14030,3006,15040,18,0.7327792553191489,0.7897413372993469,1.0029537677764893,0.45305649565377226,0.6739235462271367,0.6424821253403956,0.4637743711186141
apddv2,resnet50,all,The overall,hinge,3,0,7015,1503,1504,21045,4509,15040,17,0.7441489361702127,0.795035183429718,1.0149353742599487,0.44652247263383704,0.6697384533558051,0.6487327488429161,0.4687859689165114
apddv2,resnet50,all,The overall,hinge,4,0,7015,1503,1504,28060,6012,15040,17,0.7480718085106383,0.7627642750740051,0.9456295371055603,0.4843172548441681,0.6959705085315688,0.6703946261818793,0.4877877546321716
apddv2,resnet50,all,The overall,hinge,5,0,7015,1503,1504,35075,7515,15040,18,0.7376329787234043,0.7685157060623169,0.9514697194099426,0.48113242303069326,0.6943208630062809,0.6558012039096849,0.47639564208335805
apddv2,resnet50,all,The overall,hinge,6,0,7015,1503,1504,42090,7515,15040,16,0.7476063829787234,0.7698018550872803,0.9490416646003723,0.48245650768803483,0.6949829606501803,0.6739731117101074,0.4898411300616998
apddv2,resnet50,all,The overall,hinge,7,0,7015,1503,1504,49105,7515,15040,16,0.7414893617021276,0.7763120532035828,0.9598471522331238,0.47656388029267194,0.691027068027986,0.655438938732579,0.47546571027888584
apddv2,resnet50,all,The overall,hinge,8,0,7015,1503,1504,56120,7515,15040,17,0.7496010638297872,0.7596213221549988,0.9161302447319031,0.5004042145129003,0.7076066818732158,0.6691379359190895,0.48711404681236126
apddv2,resnet50,all,The overall,hinge,9,0,7015,1503,1504,63135,7515,15040,16,0.7436835106382979,0.7687734961509705,0.9536759257316589,0.47992930070077056,0.6939460506629889,0.663552784470521,0.4808105784344554
