dataset,representation,category,target,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
apddv2,clip-vit-b32,all,Space and perspective,regression,,0,4343,931,930,0,0,9300,47,0.8119354838709677,0.6079155206680298,0.6068616509437561,0.6816996140424498,0.8345804945893178,0.7884635813215992,0.6042704784932019
apddv2,clip-vit-b32,all,Space and perspective,hinge,1,0,4343,931,930,4343,931,9300,18,0.7874193548387097,0.6941885948181152,0.7560491561889648,0.6034504111892025,0.7769074467935089,0.7528402185389,0.5635279246296852
apddv2,clip-vit-b32,all,Space and perspective,hinge,2,0,4343,931,930,8686,1862,9300,18,0.7951612903225806,0.6563170552253723,0.6803076863288879,0.6431770211421065,0.8022875037295334,0.7706191630340483,0.5818702833638648
apddv2,clip-vit-b32,all,Space and perspective,hinge,3,0,4343,931,930,13029,2793,9300,16,0.7949462365591398,0.6733286380767822,0.69707190990448,0.6343841027503951,0.7965271849478714,0.7623572704829209,0.5751619526759167
apddv2,clip-vit-b32,all,Space and perspective,hinge,4,0,4343,931,930,17372,3724,9300,16,0.7823655913978494,0.6549891829490662,0.6652342677116394,0.6510830520556481,0.8073855517065027,0.7609847538136645,0.5744207525020036
apddv2,clip-vit-b32,all,Space and perspective,hinge,5,0,4343,931,930,21715,4655,9300,16,0.7904301075268817,0.6597281098365784,0.6870265603065491,0.6396529459980635,0.8002331679459473,0.7725541960779497,0.5853604917777343
apddv2,clip-vit-b32,all,Space and perspective,hinge,6,0,4343,931,930,26058,4655,9300,16,0.8017204301075269,0.6154465079307556,0.6035531759262085,0.6834349113110894,0.8269345478083814,0.7878133958896929,0.5999827762213247
apddv2,clip-vit-b32,all,Space and perspective,hinge,7,0,4343,931,930,30401,4655,9300,17,0.7980645161290323,0.6225826144218445,0.6241031885147095,0.6726563939511134,0.8203308701699399,0.7812450080177654,0.5957185296511535
apddv2,clip-vit-b32,all,Space and perspective,hinge,8,0,4343,931,930,34744,4655,9300,17,0.8010752688172043,0.635007917881012,0.6279743909835815,0.6706259655651454,0.8192191888317453,0.7832835766734305,0.5968866235961179
apddv2,clip-vit-b32,all,Space and perspective,hinge,9,0,4343,931,930,39087,4655,9300,16,0.7960215053763441,0.6322805285453796,0.6360803246498108,0.6663743376693216,0.8164303165804476,0.7845027788416806,0.5985425961365693
apddv2,clip-vit-b32,all,Space and perspective,hinge,10,0,4343,931,930,43430,4655,9300,17,0.7944086021505377,0.6433407068252563,0.6502048969268799,0.6589659604639472,0.8119208708084358,0.7796539568005627,0.5918811768520335
apddv2,clip-vit-b32,all,Space and perspective,bradley_terry,1,0,4343,931,930,4343,931,9300,18,0.7905376344086021,0.6824167370796204,0.7289153337478638,0.6176821962690215,0.7859557906460424,0.7585030858758238,0.5699735514585248
apddv2,clip-vit-b32,all,Space and perspective,bradley_terry,2,0,4343,931,930,8686,1862,9300,17,0.7850537634408602,0.6567049026489258,0.6902755498886108,0.6379488299482582,0.7989060646098025,0.7588866669208617,0.5708883238250632
apddv2,clip-vit-b32,all,Space and perspective,bradley_terry,3,0,4343,931,930,13029,2793,9300,16,0.7953763440860215,0.6540567874908447,0.6671513915061951,0.6500775091516946,0.8064968818978819,0.770013972643108,0.5823675442400345
apddv2,clip-vit-b32,all,Space and perspective,bradley_terry,4,0,4343,931,930,17372,3724,9300,16,0.7910752688172042,0.6379331946372986,0.6375611424446106,0.6655976590905723,0.8159102627546417,0.7791760421483245,0.5920312933429526
apddv2,clip-vit-b32,all,Space and perspective,bradley_terry,5,0,4343,931,930,21715,4655,9300,16,0.7945161290322581,0.6303569078445435,0.6322001218795776,0.6684095288604222,0.8176227859841525,0.7831299337959435,0.5970695780694254
