dataset,representation,category,target,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
apddv2,resnet50,all,Space and perspective,regression,,0,4343,931,930,0,0,9300,49,0.7767741935483871,0.713315486907959,0.8258413672447205,0.5668442469486401,0.780335119432662,0.7181988880112213,0.5364178245977607
apddv2,resnet50,all,Space and perspective,hinge,1,0,4343,931,930,4343,931,9300,18,0.7470967741935484,0.7804843783378601,0.9482452273368835,0.5026431166116554,0.70912977098574,0.6701046372828356,0.49084339618278483
apddv2,resnet50,all,Space and perspective,hinge,2,0,4343,931,930,8686,1862,9300,18,0.7587096774193548,0.7586593627929688,0.8992095589637756,0.5283624367605468,0.7279476613785274,0.693969614452081,0.5100301601783847
apddv2,resnet50,all,Space and perspective,hinge,3,0,4343,931,930,13029,2793,9300,17,0.7553763440860215,0.752021849155426,0.8733546137809753,0.5419234059570315,0.7362281841146299,0.6897622012351111,0.5088198459703492
apddv2,resnet50,all,Space and perspective,hinge,4,0,4343,931,930,17372,3724,9300,17,0.7523655913978494,0.7421754002571106,0.8642205595970154,0.5467142780964237,0.7400992777016455,0.699343711989685,0.5153123842026011
apddv2,resnet50,all,Space and perspective,hinge,5,0,4343,931,930,21715,4655,9300,17,0.7629032258064516,0.7122257351875305,0.8060739040374756,0.5772122947318918,0.7603356855013343,0.7125869041026118,0.5310417777667199
apddv2,resnet50,all,Space and perspective,hinge,6,0,4343,931,930,26058,4655,9300,16,0.7595698924731182,0.7198460102081299,0.814002513885498,0.5730537250793639,0.7572084030930029,0.7025637866862292,0.5203037575256617
apddv2,resnet50,all,Space and perspective,hinge,7,0,4343,931,930,30401,4655,9300,16,0.7627956989247312,0.7365711331367493,0.8596460223197937,0.5491135668236611,0.7419894930964475,0.7021209112971085,0.5172638985845496
apddv2,resnet50,all,Space and perspective,hinge,8,0,4343,931,930,34744,4655,9300,17,0.7719354838709678,0.7190988063812256,0.7942171096801758,0.5834312377207826,0.7639584208386019,0.7113634628925188,0.5279174782994657
apddv2,resnet50,all,Space and perspective,hinge,9,0,4343,931,930,39087,4655,9300,16,0.7479569892473118,0.7466655373573303,0.8700479865074158,0.543657758306479,0.7374468179993059,0.6754813767584894,0.4969512609070565
apddv2,resnet50,all,Space and perspective,hinge,10,0,4343,931,930,43430,4655,9300,16,0.7498924731182796,0.74467933177948,0.8549389243125916,0.5515824973932316,0.7431073401490131,0.6969506385337333,0.5114187377193864
apddv2,resnet50,all,Space and perspective,bradley_terry,1,0,4343,931,930,4343,931,9300,17,0.7555913978494624,0.7771235108375549,0.9596726894378662,0.49664937098851203,0.7048135303157288,0.6751454849341801,0.49466198442053994
apddv2,resnet50,all,Space and perspective,bradley_terry,2,0,4343,931,930,8686,1862,9300,16,0.7549462365591398,0.7612354755401611,0.9116274118423462,0.5218492915541829,0.7226952508908724,0.6904981675595145,0.5072389316753573
apddv2,resnet50,all,Space and perspective,bradley_terry,3,0,4343,931,930,13029,2793,9300,16,0.7669892473118279,0.7410155534744263,0.8515796661376953,0.5533443798970787,0.7440186407100953,0.7057581957755612,0.5235687912031525
apddv2,resnet50,all,Space and perspective,bradley_terry,4,0,4343,931,930,17372,3724,9300,16,0.7595698924731182,0.7463864684104919,0.8599615693092346,0.5489480796700338,0.7410868279498501,0.7045959072219085,0.521490616031991
apddv2,resnet50,all,Space and perspective,bradley_terry,5,0,4343,931,930,21715,4655,9300,16,0.7635483870967742,0.715941309928894,0.7945711612701416,0.5832455416678237,0.7638921488921682,0.7181432505870379,0.5342458266197747
apddv2,resnet50,all,Space and perspective,bradley_terry,6,0,4343,931,930,26058,4655,9300,16,0.7717204301075269,0.7014003992080688,0.7771782279014587,0.592368143194407,0.7699096013848958,0.7226977353548666,0.5391339948553285
apddv2,resnet50,all,Space and perspective,bradley_terry,7,0,4343,931,930,30401,4655,9300,16,0.7683870967741936,0.7243604063987732,0.8117750883102417,0.5742220330133039,0.7580450815484472,0.7181881262183746,0.5301739168035936
apddv2,resnet50,all,Space and perspective,bradley_terry,8,0,4343,931,930,34744,4655,9300,16,0.7672043010752688,0.7236972451210022,0.8075998425483704,0.5764119566092385,0.7592281573746433,0.7116218205518594,0.5267962957579135
apddv2,resnet50,all,Space and perspective,bradley_terry,9,0,4343,931,930,39087,4655,9300,16,0.7608602150537634,0.7150202989578247,0.7986321449279785,0.581115537675222,0.7625325920120787,0.7007993228347775,0.518558653318727
