dataset,representation,category,target,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
apddv2,resnet50,all,Total aesthetic score,regression,,0,7015,1503,1504,0,0,15040,81,0.7705452127659574,7.638165473937988,99.98551940917969,0.5649599494106042,0.7548237191827738,0.7098400516724984,0.5252138715776842
apddv2,resnet50,all,Total aesthetic score,hinge,1,0,7015,1503,1504,7015,1503,15040,17,0.734375,9.128849029541016,135.21495056152344,0.41167558543585403,0.6418537223099037,0.6347949798644222,0.4556624145568607
apddv2,resnet50,all,Total aesthetic score,hinge,2,0,7015,1503,1504,14030,3006,15040,18,0.7468085106382979,8.678516387939453,120.09366607666016,0.47746876125540383,0.6910052472711428,0.6682337513861983,0.48481807497270824
apddv2,resnet50,all,Total aesthetic score,hinge,3,0,7015,1503,1504,21045,4509,15040,18,0.7567154255319148,8.230899810791016,113.83428192138672,0.5047035059236922,0.710762311698371,0.6864488593169009,0.5009753258373532
apddv2,resnet50,all,Total aesthetic score,hinge,4,0,7015,1503,1504,28060,6012,15040,17,0.7580452127659575,8.272157669067383,112.6889419555664,0.5096869647663933,0.7141233322866469,0.7013248890832602,0.5127066396053607
apddv2,resnet50,all,Total aesthetic score,hinge,5,0,7015,1503,1504,35075,7515,15040,18,0.7553856382978723,8.020011901855469,109.515625,0.52349417447593,0.7238677733378633,0.6964843581141886,0.5127315544100864
apddv2,resnet50,all,Total aesthetic score,hinge,6,0,7015,1503,1504,42090,7515,15040,16,0.7517952127659574,8.221636772155762,112.51290130615234,0.5104529001563822,0.7145862983933213,0.6871258785364059,0.5015892978109519
apddv2,resnet50,all,Total aesthetic score,hinge,7,0,7015,1503,1504,49105,7515,15040,16,0.7470744680851064,8.386463165283203,114.51338195800781,0.501748796483283,0.7085003729928196,0.6792867315559417,0.4937518120957964
apddv2,resnet50,all,Total aesthetic score,hinge,8,0,7015,1503,1504,56120,7515,15040,16,0.7626994680851064,7.945904731750488,105.07698059082031,0.5428068366954855,0.7367692896539495,0.7084491353896022,0.520460482761794
apddv2,resnet50,all,Total aesthetic score,hinge,9,0,7015,1503,1504,63135,7515,15040,17,0.7590425531914894,8.006755828857422,107.24693298339844,0.5333653048363033,0.7306068966476147,0.7022675176750184,0.5154276922071938
apddv2,resnet50,all,Total aesthetic score,hinge,10,0,7015,1503,1504,70150,7515,15040,16,0.7554521276595745,8.26479434967041,111.58900451660156,0.5144728602046671,0.717544161477754,0.6899951769239144,0.5046609373078543
apddv2,resnet50,all,Total aesthetic score,bradley_terry,1,0,7015,1503,1504,7015,1503,15040,17,0.730718085106383,9.087413787841797,135.13450622558594,0.41202560339939664,0.6423950585676454,0.6351641110662782,0.4581236413379824
apddv2,resnet50,all,Total aesthetic score,bradley_terry,2,0,7015,1503,1504,14030,3006,15040,16,0.7362367021276596,8.886589050292969,129.6385498046875,0.4359386720306161,0.6602597689229199,0.6488731814309212,0.4691484424291241
apddv2,resnet50,all,Total aesthetic score,bradley_terry,3,0,7015,1503,1504,21045,4509,15040,16,0.7498670212765958,8.651079177856445,122.25740051269531,0.46805429902902174,0.6843702242595384,0.6700362486064009,0.4862435577288025
apddv2,resnet50,all,Total aesthetic score,bradley_terry,4,0,7015,1503,1504,28060,6012,15040,16,0.7519946808510638,8.411770820617676,115.41027069091797,0.49784635556958023,0.7057052341076258,0.6803557833511794,0.49573965758712896
apddv2,resnet50,all,Total aesthetic score,bradley_terry,5,0,7015,1503,1504,35075,7515,15040,16,0.7503989361702128,8.154897689819336,110.92241668701172,0.517373151181853,0.7196182107260256,0.6833540025041986,0.49926154319800375
apddv2,resnet50,all,Total aesthetic score,bradley_terry,6,0,7015,1503,1504,42090,7515,15040,16,0.7492021276595745,8.238524436950684,114.08113098144531,0.5036295229527189,0.7097149510173466,0.6882591896394898,0.5029257991215971
apddv2,resnet50,all,Total aesthetic score,bradley_terry,7,0,7015,1503,1504,49105,7515,15040,16,0.754720744680851,8.206748008728027,111.10228729248047,0.5165905199896381,0.7191307557012365,0.6879933104035428,0.5022513197650931
apddv2,resnet50,all,Total aesthetic score,bradley_terry,8,0,7015,1503,1504,56120,7515,15040,16,0.7623005319148937,8.014148712158203,105.26451110839844,0.5419908770737355,0.7363132785443582,0.7092543627933606,0.5202042161989007
apddv2,resnet50,all,Total aesthetic score,bradley_terry,9,0,7015,1503,1504,63135,7515,15040,16,0.7623670212765957,8.052985191345215,106.1081314086914,0.5383202296916049,0.7339681335748125,0.705154306052003,0.5150949016012142
apddv2,resnet50,all,Total aesthetic score,bradley_terry,10,0,7015,1503,1504,70150,7515,15040,16,0.7563164893617021,8.088541030883789,108.61463928222656,0.5274143558674386,0.7267079311410924,0.6920626397238973,0.508773659716511
apddv2,resnet50,all,Total aesthetic score,regression,,1,7015,1503,1504,0,0,15040,78,0.7750664893617021,7.497146129608154,99.40928649902344,0.5880931543171863,0.7746874282151737,0.7344310969032677,0.5487154507437172
apddv2,resnet50,all,Total aesthetic score,hinge,1,1,7015,1503,1504,7015,1503,15040,17,0.7332446808510639,9.024293899536133,132.33383178710938,0.4516688176977731,0.6746010771981403,0.6522911820933763,0.4677376728123387
apddv2,resnet50,all,Total aesthetic score,hinge,2,1,7015,1503,1504,14030,3006,15040,18,0.7517287234042553,8.516704559326172,119.57951354980469,0.5045168835193954,0.7133814988657718,0.692163791962602,0.5052001698928656
apddv2,resnet50,all,Total aesthetic score,hinge,3,1,7015,1503,1504,21045,4509,15040,16,0.7490691489361702,8.715808868408203,124.76600646972656,0.48302641438856875,0.6970960104877264,0.6818051711130012,0.49656223185496867
apddv2,resnet50,all,Total aesthetic score,hinge,4,1,7015,1503,1504,28060,6012,15040,17,0.7698803191489362,8.475994110107422,115.70030212402344,0.5205905653783411,0.7236386292136381,0.7181292777402821,0.526879526224848
apddv2,resnet50,all,Total aesthetic score,hinge,5,1,7015,1503,1504,35075,7515,15040,17,0.767686170212766,8.164484977722168,110.88574981689453,0.5405398932529599,0.737848972804386,0.7198767522547921,0.5302226128516675
apddv2,resnet50,all,Total aesthetic score,hinge,6,1,7015,1503,1504,42090,7515,15040,16,0.7632313829787234,8.099191665649414,109.3662338256836,0.5468360770544914,0.7412926571559453,0.7177013961058056,0.5277442096206088
apddv2,resnet50,all,Total aesthetic score,hinge,7,1,7015,1503,1504,49105,7515,15040,16,0.7702127659574468,8.229863166809082,111.6252670288086,0.5374756874373878,0.7357437909262323,0.7136027253177065,0.5253885700815406
apddv2,resnet50,all,Total aesthetic score,hinge,8,1,7015,1503,1504,56120,7515,15040,17,0.779188829787234,7.945824146270752,106.82113647460938,0.5573818113329745,0.749868047116701,0.738018287300839,0.5486638544094022
apddv2,resnet50,all,Total aesthetic score,hinge,9,1,7015,1503,1504,63135,7515,15040,16,0.7722074468085106,7.896728992462158,106.33464813232422,0.5593975673706701,0.7501892944877282,0.7255592717371987,0.5387591374048766
apddv2,resnet50,all,Total aesthetic score,hinge,10,1,7015,1503,1504,70150,7515,15040,17,0.7746675531914894,7.963947772979736,107.89188385009766,0.5529451350141119,0.7453776610882841,0.7196358191476783,0.5339820285208902
apddv2,resnet50,all,Total aesthetic score,bradley_terry,1,1,7015,1503,1504,7015,1503,15040,16,0.7272606382978724,9.174983978271484,137.57797241210938,0.4299394195844356,0.658361325575008,0.643693405350683,0.46213680176325533
apddv2,resnet50,all,Total aesthetic score,bradley_terry,2,1,7015,1503,1504,14030,3006,15040,17,0.7579122340425531,8.44126033782959,117.38318634033203,0.5136174850022566,0.721068886515404,0.7037011469826758,0.5164552875092892
apddv2,resnet50,all,Total aesthetic score,bradley_terry,3,1,7015,1503,1504,21045,4509,15040,16,0.7564494680851064,8.6089448928833,121.48392486572266,0.49662588106048644,0.7086488108086755,0.6901416005450963,0.5036985386459069
apddv2,resnet50,all,Total aesthetic score,bradley_terry,4,1,7015,1503,1504,28060,6012,15040,16,0.7693484042553191,8.250804901123047,112.22691345214844,0.5349827512206222,0.7341612041348426,0.7115578637984745,0.5245683662843273
apddv2,resnet50,all,Total aesthetic score,bradley_terry,5,1,7015,1503,1504,35075,7515,15040,16,0.7626329787234043,8.282893180847168,113.21903991699219,0.5308718096965678,0.7307809207652198,0.7139146283838314,0.5238068755571965
apddv2,resnet50,all,Total aesthetic score,bradley_terry,6,1,7015,1503,1504,42090,7515,15040,16,0.7652260638297872,8.020529747009277,107.7693862915039,0.5534526808276554,0.7460898807985927,0.7210218155124856,0.5324003339965461
apddv2,resnet50,all,Total aesthetic score,bradley_terry,7,1,7015,1503,1504,49105,7515,15040,16,0.7745345744680852,8.071731567382812,106.63384246826172,0.5581578901829334,0.7507627623358388,0.7281621673437586,0.5383499250982408
apddv2,resnet50,all,Total aesthetic score,bradley_terry,8,1,7015,1503,1504,56120,7515,15040,16,0.7686835106382979,8.010208129882812,107.04120635986328,0.5564699776924549,0.7491664999733487,0.7249423250171962,0.536730867711117
apddv2,resnet50,all,Total aesthetic score,bradley_terry,9,1,7015,1503,1504,63135,7515,15040,16,0.777127659574468,7.866300582885742,104.74183654785156,0.5659974841405084,0.7550409263441793,0.7336946687111536,0.5464932500002911
apddv2,resnet50,all,Total aesthetic score,bradley_terry,10,1,7015,1503,1504,70150,7515,15040,16,0.7746010638297872,7.888789176940918,104.92561340332031,0.565236017539271,0.7544934043090734,0.7301849602165422,0.5405258670591776
apddv2,resnet50,all,Total aesthetic score,regression,,2,7015,1503,1504,0,0,15040,55,0.7696808510638298,7.571715831756592,100.33448028564453,0.5641934400428719,0.7630256544172669,0.7207497948212788,0.5348246370699129
apddv2,resnet50,all,Total aesthetic score,hinge,1,2,7015,1503,1504,7015,1503,15040,17,0.7361037234042553,8.771682739257812,127.65145874023438,0.44554110975806527,0.667494567183887,0.6639855605007382,0.4809689791978585
