representation,objective,N,pair_accuracy_mean,pair_accuracy_std,mae_mean,mae_std,r2_mean,r2_std,pearson_mean,pearson_std,spearman_mean,spearman_std,kendall_mean,kendall_std
clip-vit-b32,bradley_terry,1,0.7809731324048382,0.018889491909341846,1.2800423399968581,1.8733616870637548,0.5856704302969,0.05769912327685911,0.7652801946148517,0.03807810051087634,0.7438303525233586,0.03818825392565079,0.5560305689402953,0.03592990653775881
clip-vit-b32,bradley_terry,2,0.7862438628283966,0.018556856504886445,1.246238486333327,1.8211027396648387,0.604050968411444,0.05458603289204626,0.777297682682087,0.03537994033734062,0.753389992394709,0.03694439386081443,0.5656535710492643,0.03510048953557785
clip-vit-b32,bradley_terry,3,0.7858901120731651,0.01986039968669471,1.2416755259037018,1.8186501051287205,0.6080298124559114,0.06024353602994754,0.7795728161985648,0.039425390959276954,0.7545146662628214,0.04159946602239521,0.5669842286933272,0.039447757655041715
clip-vit-b32,bradley_terry,4,0.7889615629191316,0.01868661746082276,1.2231893886219372,1.7885244823818773,0.6183816370497791,0.0554928064888037,0.7863105959702986,0.035679962278679846,0.7607059023123215,0.03825360487935646,0.5734278690174921,0.03653377110453168
clip-vit-b32,bradley_terry,5,0.7914036683146933,0.0187340565958434,1.2138409235260703,1.7747515730565975,0.6246339473262997,0.053868818170709876,0.7904001190446414,0.03447139147223153,0.7649764701203002,0.03725290090478359,0.5775198233296702,0.03582811645876583
clip-vit-b32,bradley_terry,6,0.7929995972236906,0.01919832249339834,1.203225921500813,1.754231475013666,0.6280687464250395,0.0545810625558864,0.7925083173506577,0.034774202800089,0.7667262299824644,0.038062321768473066,0.5794400317421805,0.03646622746284777
clip-vit-b32,bradley_terry,7,0.7934197017297032,0.02051473341545077,1.1990394966168838,1.7534053972225514,0.6322408652970989,0.055680188988285466,0.7950449925411615,0.03561787518409381,0.7682265250453368,0.039779081934133736,0.581206864007335,0.038147431076026556
clip-vit-b32,bradley_terry,8,0.7935975939288267,0.017616594674862134,1.1988897583701394,1.7599438669651397,0.6344506619671284,0.05201800853350189,0.7966084331407646,0.032940580183368505,0.7695188643909774,0.03510982812487199,0.582671832266953,0.0342862407837927
clip-vit-b32,bradley_terry,9,0.7938449618920527,0.017183108403161278,1.193854967030612,1.7463762876498479,0.6355635179730539,0.05172378092613345,0.7972865729256519,0.03280823603685136,0.7704547473078285,0.036440676968246356,0.5835951595153608,0.03537737846597112
clip-vit-b32,bradley_terry,10,0.7949907976391726,0.01799410816587631,1.1984507403590463,1.7566622147852418,0.6347101270228547,0.05140957696006195,0.7968769168178682,0.03249374149975006,0.7694913597963635,0.0357354400388675,0.5825491476647262,0.03479000555265993
clip-vit-b32,hinge,1,0.7764507838041794,0.02011390765150464,1.3146599379452792,1.9333767814204272,0.5665990700664327,0.06257473561220166,0.752588289264293,0.04209290624732882,0.7351405498882013,0.04152826131909565,0.5475447707377655,0.03828116477693674
clip-vit-b32,hinge,2,0.7832214950256099,0.019958708037809452,1.2693745358423754,1.8566078899388945,0.5904967791092246,0.0589414767906944,0.7683655765367242,0.038770534930582294,0.7469747455724658,0.04039955968947953,0.5595140604950016,0.03795512603657482
clip-vit-b32,hinge,3,0.7850583759547118,0.019554277403697445,1.2544959257949482,1.831260986252812,0.5992319789032028,0.05914401260265637,0.7740041233038897,0.03869696465764081,0.7522975477420715,0.04118985906178929,0.5647265230642641,0.03906947955694918
clip-vit-b32,hinge,4,0.7881716272755185,0.018668940844060455,1.236614731766961,1.80587203783036,0.6102703625709748,0.054777372576367785,0.7811503408292703,0.03545231978672258,0.7587994356907705,0.03822218270693068,0.571522553706165,0.036302957815505965
clip-vit-b32,hinge,5,0.789669225451717,0.020461856740637156,1.226846873218363,1.7885531898339657,0.6160122629662123,0.05822448727134241,0.7847976784295514,0.03771468001013089,0.7615378561788397,0.04028524725611087,0.5743810010674837,0.03878746475519364
clip-vit-b32,hinge,6,0.7913336950403053,0.019080814625171586,1.2185704892331903,1.776385429157985,0.6200776865066474,0.053729162242895825,0.7874715713186554,0.03448803094313497,0.763526914785863,0.03827891503748009,0.5763395895183396,0.03636665574837784
clip-vit-b32,hinge,7,0.7913226915969926,0.020293537972784676,1.221581847559322,1.7920807414262925,0.6211061300421926,0.056649730619320604,0.7879760280410061,0.03661553979369529,0.7640131560188637,0.04052115603985172,0.5770113680389818,0.03899539609424932
clip-vit-b32,hinge,8,0.7918681473040343,0.01897389456205147,1.2151220619678498,1.7796815761995926,0.6247753592617279,0.055162895524360434,0.7904013463672832,0.03534707376575321,0.7666873495069381,0.03718231420972149,0.5797808481865663,0.036517109223823827
clip-vit-b32,hinge,9,0.7918868249191768,0.018481857342102427,1.2124172351577065,1.7728464563910775,0.6250575771301817,0.05502310035153425,0.7905162833950626,0.03524292086123194,0.76651151331401,0.03903689642602505,0.5795619114229659,0.03775178939711785
clip-vit-b32,hinge,10,0.7931595578606305,0.018840034439721223,1.2124524447050962,1.773996897343496,0.6255878388678592,0.05454736146403375,0.7909557236540676,0.034870966674529644,0.766626037461073,0.03792546634022994,0.5797481913582806,0.03676559889733677
resnet50,bradley_terry,1,0.7262121376817718,0.024692956836868545,1.5463521870699797,2.3072787118220455,0.415738865855573,0.07849989488259101,0.6430854709283607,0.06453169594397899,0.6231835035686196,0.05811284778031518,0.44904472700510617,0.047746537127232674
resnet50,bradley_terry,2,0.7400465325446334,0.02413710313380989,1.4804121402176944,2.2025507053416478,0.45735847868945134,0.07776868560174863,0.6751815096217616,0.0598699995031286,0.6517318406726745,0.05560191847147709,0.47358275746712636,0.0468275210029382
resnet50,bradley_terry,3,0.7428916406886567,0.020711821583608687,1.4558364147489722,2.159259290136441,0.4719960485713556,0.06856199218984697,0.6866121342899089,0.050622791835980466,0.6608955508808223,0.04810929064929163,0.4815181227214134,0.04117693347151159
resnet50,bradley_terry,4,0.7486277451785466,0.020364373983724444,1.4289712147279219,2.1205738649594674,0.4915774929367194,0.06367304714669496,0.7009078030960296,0.046202124977900445,0.6737282759631275,0.04426930978072321,0.4925743275877009,0.03880872253958956
resnet50,bradley_terry,5,0.7506464652749103,0.01912082831511518,1.4161387497728521,2.1067916326646903,0.5023334594638913,0.06294981974634963,0.7085738440321985,0.045075169470990786,0.6795576226061631,0.04364487592213567,0.4977434783053106,0.03794489414423386
resnet50,bradley_terry,6,0.7526299529181347,0.018669417197002477,1.4032139496369795,2.080971302723657,0.5070747177136852,0.06069980294328022,0.7119263289535152,0.04306931078487435,0.681924837751579,0.041471294476230824,0.49999358308582875,0.036202729657597396
resnet50,bradley_terry,7,0.754533551356357,0.018881013538024096,1.3977959470315413,2.0793285215236765,0.5131663681969695,0.058974280617582246,0.7164630933478263,0.041291134036993075,0.6857796658455376,0.04002632801000937,0.5034037711382724,0.035212903432973015
resnet50,bradley_terry,8,0.7553045277227178,0.017803523140265114,1.3868646491657604,2.0586299087613824,0.5190136299673028,0.059436667668438005,0.7206866649096519,0.04130572494105924,0.6883212179450526,0.039116999911392315,0.5060212708120012,0.03448620493627633
resnet50,bradley_terry,9,0.7560263952636385,0.01808681454594915,1.386994188482111,2.0620732374168402,0.5195093602181642,0.05878208926288711,0.7208752829277771,0.040777028073175944,0.6899531273353716,0.03983118962921954,0.5074515999275857,0.03527003057824086
resnet50,bradley_terry,10,0.7565094344170107,0.0188252939795531,1.3815160778435793,2.050731815688051,0.5212806877671151,0.05948611083566284,0.7220756839209815,0.04151763148494026,0.6902389209850784,0.04008594419936438,0.5076120563073,0.035293167046249414
resnet50,hinge,1,0.7267194811587226,0.02371472030534776,1.5421630745584314,2.29390850365278,0.41741528430922625,0.07480063799126745,0.6450434762849858,0.05953312523502351,0.6249982733498914,0.05453736996128668,0.4504786218363924,0.04515876498047845
resnet50,hinge,2,0.7417111463753517,0.022903331666522864,1.4682498395442962,2.178952448538013,0.4643407398444806,0.0742764890777249,0.6805603561044844,0.05668757719781077,0.6560257250643864,0.05268174474822182,0.4769781215772462,0.044707314946780694
