target,representation,objective,pair_accuracy_mean,pair_accuracy_std,mae_mean,mae_std,r2_mean,r2_std,pearson_mean,pearson_std,spearman_mean,spearman_std,kendall_mean,kendall_std
Color,clip-vit-b32,bradley_terry,0.7888967741935484,0.008046380825332813,0.6533466303348541,0.022024937889303462,0.6431863398303845,0.024198808956521784,0.8027638359957331,0.014895486254323999,0.7560160150643914,0.01575659267522587,0.5720524869461009,0.014462724348370303
Color,clip-vit-b32,hinge,0.7864010752688172,0.00963481510443997,0.6663573032617569,0.02529066999153732,0.6298815327487436,0.028259771709256237,0.7943684508085254,0.017800593468831453,0.751910048821436,0.0182089236741777,0.5678896511057513,0.016750289696490374
Color,clip-vit-b32,regression,0.7882903225806451,0.006742629999726778,0.6322121143341064,0.021961444870235523,0.6581344965973501,0.022213993519694837,0.820148833082475,0.009634523890002992,0.7498121676947667,0.013448487263170343,0.5682278013165245,0.011977060911797536
Color,resnet50,bradley_terry,0.7559494623655914,0.012495018797262695,0.7354048347473144,0.03243414408311415,0.5427977052433106,0.03946540554479555,0.737318455305396,0.027159247227730915,0.6870301743234374,0.026830296945430016,0.5068754414485582,0.02325974253487999
Color,resnet50,hinge,0.7551892473118279,0.011049108794774736,0.738677596449852,0.028250142092754713,0.5393712750503354,0.0351630443627296,0.7351551217215742,0.024252344712317526,0.6865950852344647,0.02495784968755351,0.5062835371891911,0.02147382365376292
Color,resnet50,regression,0.7626666666666667,0.010325417770208681,0.6988556325435639,0.01627919040080305,0.5816368441332663,0.027302856300140437,0.7735216993396122,0.010055080873295055,0.6963530689783706,0.020057846215949013,0.5168741392715653,0.016491082446923315
Creativity,clip-vit-b32,bradley_terry,0.7523164335664336,0.010773462820273463,0.7204673874378205,0.024294471422446975,0.5186996490084286,0.02891876868116234,0.7213666759633519,0.020196997506464594,0.6834369699315931,0.021166581511002463,0.5008999950417238,0.018621196524021666
Creativity,clip-vit-b32,hinge,0.7488129370629371,0.011345005537842819,0.7323495799303055,0.02715002216284055,0.503292038598984,0.03367148062680625,0.7104084872096553,0.023684101161263668,0.6762730470559228,0.023655855417821177,0.4944053413332663,0.020576827539609235
Creativity,clip-vit-b32,regression,0.7649125874125875,0.00938827285756323,0.6776819169521332,0.019528449577248967,0.5593318633777292,0.02911462720952072,0.7581873184002643,0.012526349120996363,0.7076146946932736,0.01079085455882114,0.5249086283140622,0.009445068385204236
Creativity,resnet50,bradley_terry,0.7081818181818181,0.01952740201145267,0.8299412924051285,0.04600460831725124,0.3643984218934007,0.06180947897626529,0.6047362871574674,0.05424266598835549,0.577949052765536,0.04614940242996808,0.41231449026415623,0.03719354043336229
Creativity,resnet50,hinge,0.7089667832167832,0.016422822708146875,0.8290779548883438,0.0407392296238246,0.36656688707899154,0.05111084717808658,0.6073602814640601,0.04367303886214539,0.5801944511018933,0.03904516113769894,0.4138556039522255,0.03142974965789451
Creativity,resnet50,regression,0.7234090909090909,0.008273601270332664,0.7711377501487732,0.020578709680724123,0.43489422834069824,0.028280177064555188,0.6698622128193911,0.019291983803052665,0.6160435681709218,0.022369137016141693,0.4457350435191897,0.017876394855796635
Details and texture,clip-vit-b32,bradley_terry,0.8127353723404255,0.007447116845071986,0.6787543195486069,0.021301444695931655,0.6687707846954208,0.019673525393977973,0.8181158578415111,0.012104321083697741,0.8092413360329743,0.013343752592590257,0.6189471035885081,0.013888494443801734
Details and texture,clip-vit-b32,hinge,0.8111130319148936,0.008106619532606923,0.6862171131372452,0.023787357803311707,0.6628499243316314,0.021523341232248836,0.8144369780683498,0.013276337593936448,0.8068193778113941,0.013371091978116109,0.6165733441018585,0.0143556392631432
Details and texture,clip-vit-b32,regression,0.8159840425531915,0.006063807105635511,0.6556154251098633,0.013619803001976806,0.6840772273128009,0.014263441954895909,0.8334371579055804,0.004972139438107115,0.8146264064055352,0.009391259980580166,0.626774052781333,0.009037949104556922
Details and texture,resnet50,bradley_terry,0.766844414893617,0.013106811065685507,0.809208265542984,0.03529378029990793,0.5312305468325585,0.03877601349174929,0.7293466130961925,0.027179761832376782,0.717455917991788,0.026934148393687553,0.5284434496836815,0.024343246085412443
Details and texture,resnet50,hinge,0.7662160904255318,0.012182977208558293,0.8137791210412979,0.03151688123897963,0.5265241600634072,0.034752588256726696,0.7262290090254493,0.024385606950504353,0.7152793735733154,0.024680844897070404,0.526751189995428,0.02244925969557093
Details and texture,resnet50,regression,0.7732845744680852,0.01181037738423504,0.7801008760929108,0.022052098861426134,0.5513851600284481,0.02931957878353435,0.7524532926664024,0.016319077808465997,0.7279287898307676,0.02091961493196796,0.5399509903269942,0.0189947407830574
Layout and composition,clip-vit-b32,bradley_terry,0.7927353723404255,0.0071888910791238145,0.6465171486139297,0.01649305551634849,0.6198300823982603,0.018507075901419503,0.7877700690715794,0.011829204232247984,0.766123715236575,0.013706857756707299,0.5787651242715289,0.012803971333581021
Layout and composition,clip-vit-b32,hinge,0.7911057180851064,0.0080131466873993,0.6546447056531907,0.01905605504503815,0.6116785022655065,0.021801305836582453,0.7825317744810757,0.014012461547141334,0.7632910390011989,0.015537596109933017,0.5759390843981076,0.014650628661217097
Layout and composition,clip-vit-b32,regression,0.7939827127659574,0.004695888805870939,0.6301915407180786,0.011345110144122839,0.6298508453352935,0.02142765589808056,0.8010679661691116,0.009646194947154001,0.7690562638863303,0.009610541780636903,0.5823741790880798,0.008908585544332277
Layout and composition,resnet50,bradley_terry,0.7525492021276595,0.011198609029682779,0.7457670897245408,0.028502602126268678,0.49491791154060705,0.03495730463815105,0.7042472852841334,0.025390034118217168,0.6817675696843191,0.023914682924114174,0.4994424586076601,0.020879034918492547
Layout and composition,resnet50,hinge,0.7516968085106384,0.010679156037932104,0.7510179883241653,0.025802423277071534,0.48883752106793366,0.03210378132283644,0.699904722571026,0.023490854582292907,0.6795414115130279,0.022342434340747012,0.4972236195872726,0.01937498382578166
Layout and composition,resnet50,regression,0.7569348404255318,0.007132052941236953,0.723082321882248,0.012631841136882763,0.5138629044881722,0.01722762583363062,0.7299392331103991,0.007144146955907355,0.6853458044215682,0.013898090842646859,0.5043650255589834,0.011395205394315783
Light and shadow,clip-vit-b32,bradley_terry,0.809194623655914,0.009343083578372529,0.6389438897371292,0.025461266720519803,0.6875458762279594,0.021935837239726905,0.8300574837069058,0.013466542132202032,0.797442431076413,0.015498776406885729,0.6115805598753883,0.016024424492276604
Light and shadow,clip-vit-b32,hinge,0.8072193548387097,0.009747918151871284,0.6505922675132751,0.02706915113320222,0.6773226406241355,0.024317993926325335,0.823832962048638,0.014925938593079727,0.7942880836539419,0.016736034753116136,0.6082672296547007,0.017418496372894318
Light and shadow,clip-vit-b32,regression,0.8136451612903226,0.006702882706693769,0.6155506610870362,0.017171895331661597,0.699316686510255,0.016527821155792165,0.843500447655533,0.009848570055985719,0.7992385776311892,0.014532064978748194,0.616990168343565,0.014121302841462343
Light and shadow,resnet50,bradley_terry,0.7706064516129032,0.013517824783700146,0.7470694071054459,0.03793358384932,0.5727037496448578,0.040822728550793046,0.7575757862192871,0.02756986736296311,0.719091105862106,0.02766935358071556,0.5355926068613495,0.02504974139516347
Light and shadow,resnet50,hinge,0.7707107526881721,0.013420568107824701,0.7477860313653946,0.036533810132507755,0.5707908836571898,0.03930558095419176,0.7563712099131612,0.0266633384018125,0.719419762643977,0.02704212270409082,0.5362429779786537,0.02436154785734548
Light and shadow,resnet50,regression,0.7745591397849462,0.011828195935459772,0.7114839196205139,0.03034347298713819,0.59787737425123,0.029078252071673732,0.7815739473404655,0.017182355864680744,0.7238715873232037,0.022516837908099635,0.5413146039945513,0.021287920361366428
Mood,clip-vit-b32,bradley_terry,0.7754688427299703,0.01151867339604644,0.6913977402448654,0.022458554666028297,0.572410548155136,0.03167482354457295,0.7575794938921535,0.020933794641828495,0.7336247918123026,0.02108759443519668,0.5458993420381907,0.019976255352757502
Mood,clip-vit-b32,hinge,0.772835806132542,0.011792376540938667,0.7026731044054031,0.02622235276496391,0.5592603346843769,0.03563624996023784,0.7488518500603197,0.02367899478269652,0.728349583424365,0.023209797174825256,0.5409379616301225,0.021995469413764686
Mood,clip-vit-b32,regression,0.7767062314540059,0.00867826877113807,0.6789148151874542,0.019743537817593564,0.5817893142558693,0.030608826095933447,0.7726349485118202,0.019082333614907375,0.7403417082870445,0.01939248709450296,0.5536102619316938,0.01830988492111844
Mood,resnet50,bradley_terry,0.7352571711177052,0.012899503225327347,0.7866761797666549,0.028174946626263492,0.44804900455872754,0.03871861063619194,0.6706327666780304,0.029214161107421394,0.644080347244569,0.026428156766540273,0.4655208355825345,0.02244948957141885
Mood,resnet50,hinge,0.7345766567754698,0.014184401503896452,0.789544380903244,0.029403207895764442,0.44346390699144966,0.04285761721692468,0.6673146488716439,0.032618691357687156,0.6425814746141826,0.02946035100148363,0.46431929880724837,0.024888891905692243
Mood,resnet50,regression,0.7434025717111771,0.01007983652617238,0.7715195715427399,0.025328306934179538,0.46198909002675237,0.043141533930476796,0.6991585160840997,0.02108447670488402,0.6643865798030151,0.02023658245928235,0.4834511301881338,0.01798393315238211
Space and perspective,clip-vit-b32,bradley_terry,0.798441935483871,0.008497688945715797,0.6305524557828903,0.023957122491853108,0.66448445921515,0.02266804905747188,0.816163156103474,0.014016681843625114,0.7768980927053027,0.015273470604034032,0.5911232178154132,0.01560063000185832
