phase,method_id,dataset,representation,category,target,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,best_epoch,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Color,regression,,0,4340,930,930,0,0,9300,33,13,0.7913978494623656,0.6263665556907654,0.6545343995094299,0.6488904707479726,0.815689457327295,0.7600252846253298,0.573438665786995
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Color,regression,,1,4340,930,930,0,0,9300,32,12,0.8024731182795699,0.6164277791976929,0.6139336228370667,0.687696558665378,0.8353017720315279,0.778254601636631,0.5932968422070258
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Color,regression,,2,4340,930,930,0,0,9300,31,11,0.8063440860215054,0.613991379737854,0.6132221817970276,0.6888224502710427,0.8358616803337178,0.7823664417103605,0.5969626183973139
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Color,regression,,3,4340,930,930,0,0,9300,34,14,0.7968817204301075,0.6370270848274231,0.6713806986808777,0.6549616935123098,0.8222980271147406,0.7677220788628083,0.5846013693010628
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Color,regression,,4,4340,930,930,0,0,9300,28,8,0.7804301075268817,0.626878559589386,0.641326904296875,0.6436461686598747,0.815621452259844,0.740438716147962,0.5598903367511723
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Color,regression,,5,4340,930,930,0,0,9300,27,7,0.8036559139784947,0.6160006523132324,0.6190573573112488,0.6924693329067668,0.8322922620442341,0.7870836855867724,0.6014650457229737
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Color,regression,,6,4340,930,930,0,0,9300,28,8,0.7975268817204301,0.6353045701980591,0.6782071590423584,0.6694046306938866,0.8269055730363561,0.7694090525037689,0.5865469207448587
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Color,regression,,7,4340,930,930,0,0,9300,28,8,0.7894623655913978,0.6015053987503052,0.5773245096206665,0.7015157145091283,0.8376185590483374,0.7495381156590554,0.572906181233064
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Color,regression,,8,4340,930,930,0,0,9300,32,12,0.7994623655913978,0.5999452471733093,0.5924273133277893,0.6682582062214153,0.8235007045217344,0.7592467376650656,0.5790750964124295
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Color,regression,,9,4340,930,930,0,0,9300,40,20,0.7972043010752689,0.6098178029060364,0.6231096982955933,0.6826843334623218,0.8289773121559563,0.7654456322249047,0.5843455560910126
