phase,method_id,dataset,representation,category,target,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,best_epoch,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Color,regression,,0,4340,930,930,0,0,9300,27,7,0.7566666666666667,0.7042418718338013,0.8206378817558289,0.5597881838575477,0.7727220220910205,0.7017078571837756,0.5202919415220496
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Color,regression,,1,4340,930,930,0,0,9300,43,23,0.7670967741935484,0.6801067590713501,0.7715532779693604,0.6075166196427155,0.78099550489992,0.7239557883059761,0.5397393555747348
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Color,regression,,2,4340,930,930,0,0,9300,46,26,0.7841935483870968,0.6722202897071838,0.7679963707923889,0.6102828020872048,0.7918788434024009,0.7485508188023778,0.559609275922913
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Color,regression,,3,4340,930,930,0,0,9300,29,9,0.7696774193548387,0.6780248284339905,0.7554807662963867,0.6117406840995994,0.7903273618999833,0.7199495717094866,0.5350613817310738
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Color,regression,,4,4340,930,930,0,0,9300,56,36,0.7532258064516129,0.7023511528968811,0.8270211219787598,0.5404649841797666,0.7548874952256099,0.6770731377137815,0.5006482638870459
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Color,regression,,5,4340,930,930,0,0,9300,27,7,0.7870967741935484,0.6994615793228149,0.783624529838562,0.610716894423116,0.8033122589499726,0.7418381022946142,0.558462286125767
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Color,regression,,6,4340,930,930,0,0,9300,68,48,0.7594623655913979,0.7324185371398926,0.9029834866523743,0.5598363156577699,0.7733319433043064,0.7000514967577167,0.520248228018129
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Color,regression,,7,4340,930,930,0,0,9300,38,18,0.7697849462365591,0.6656769514083862,0.7503314018249512,0.6120689006448573,0.7953082659313111,0.7079126347772385,0.5313031982873614
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Color,regression,,8,4340,930,930,0,0,9300,39,19,0.7729032258064517,0.6666285395622253,0.7598046064376831,0.5745318628616065,0.7881244424254703,0.6994842194429779,0.5230084177116346
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Color,regression,,9,4340,930,930,0,0,9300,37,17,0.7713978494623656,0.6880714893341064,0.8171415328979492,0.5838745097405663,0.7817651613110428,0.7191043603231647,0.5413703514948103
