phase,method_id,dataset,representation,category,target,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,best_epoch,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Creativity,regression,,0,2673,573,572,0,0,5720,25,5,0.7655594405594406,0.6988490223884583,0.7450854182243347,0.5760601461089125,0.767613841096022,0.71981505339225,0.5320583701055496
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Creativity,regression,,1,2673,573,572,0,0,5720,30,10,0.7868881118881119,0.6854514479637146,0.7757459282875061,0.6055269889535123,0.7813063427685165,0.7408720348130781,0.5556060585616622
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Creativity,regression,,2,2673,573,572,0,0,5720,31,11,0.7694055944055944,0.6668243408203125,0.7316458225250244,0.5406898273238933,0.7427581496637004,0.7131287139964915,0.5286545529772122
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Creativity,regression,,3,2673,573,572,0,0,5720,37,17,0.7666083916083916,0.7089282274246216,0.8371727466583252,0.5108874249840247,0.7331807279435703,0.6928216241945132,0.5131967369394153
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Creativity,regression,,4,2673,573,572,0,0,5720,29,9,0.7550699300699301,0.6731183528900146,0.7309578657150269,0.5592692869199307,0.758356527264624,0.6932343542115739,0.5135290358456399
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Creativity,regression,,5,2673,573,572,0,0,5720,31,11,0.7604895104895105,0.676209568977356,0.762014627456665,0.5441779526265891,0.7510740507689047,0.684665649081351,0.5073437945793341
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Creativity,regression,,6,2673,573,572,0,0,5720,31,11,0.754020979020979,0.6949261426925659,0.7890694737434387,0.5604829420714806,0.7497760384455887,0.7038085359402743,0.519694976630486
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Creativity,regression,,7,2673,573,572,0,0,5720,36,16,0.7646853146853146,0.6747995615005493,0.7610092759132385,0.534967542363099,0.742939632354009,0.7095054316197226,0.5258229947032406
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Creativity,regression,,8,2673,573,572,0,0,5720,30,10,0.7818181818181819,0.6718751788139343,0.7353665828704834,0.5682545962235774,0.7667174480880021,0.7179688113319768,0.5342866112000513
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Creativity,regression,,9,2673,573,572,0,0,5720,28,8,0.7583916083916084,0.6768434047698975,0.745654284954071,0.5846351717219777,0.7669068514104538,0.7151848074982952,0.5348858905286126
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Creativity,hinge,1,0,2673,573,572,2673,573,5720,25,3,0.7638111888111888,0.7311509251594543,0.8624238967895508,0.5092967055069437,0.7149507668692081,0.7051631233293365,0.5175551058339887
