phase,method_id,dataset,representation,category,target,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,best_epoch,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Creativity,regression,,0,2673,573,572,0,0,5720,56,36,0.7386363636363636,0.7537775039672852,0.9516805410385132,0.4585113449270253,0.7033290230922375,0.6584488998296586,0.48140204127299624
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Creativity,regression,,1,2673,573,572,0,0,5720,41,21,0.7346153846153847,0.85152667760849,1.1774815320968628,0.4012412413628639,0.6901459629585247,0.6252619105112808,0.45682642367907894
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Creativity,regression,,2,2673,573,572,0,0,5720,28,8,0.7326923076923076,0.7355543375015259,0.8993874788284302,0.4353854819675672,0.6755991826050263,0.6392873067867033,0.4646175858020548
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Creativity,regression,,3,2673,573,572,0,0,5720,41,21,0.7284965034965035,0.7924749255180359,1.017913579940796,0.4052907249371417,0.6789002498474623,0.6336892480296974,0.45800497771610754
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Creativity,regression,,4,2673,573,572,0,0,5720,37,17,0.7108391608391609,0.8980945348739624,1.2105170488357544,0.27011925474842025,0.6589042220084451,0.5925855556340157,0.423953608939653
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Creativity,regression,,5,2673,573,572,0,0,5720,54,34,0.7106643356643356,0.7688242793083191,0.9847819805145264,0.4109229826188645,0.6704920462207857,0.5974716041902846,0.43102831171948186
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Creativity,regression,,6,2673,573,572,0,0,5720,42,22,0.7125874125874125,0.810233473777771,1.0695154666900635,0.40427262531886266,0.6406674873187441,0.5955171676864431,0.42776031482002475
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Creativity,regression,,7,2673,573,572,0,0,5720,64,44,0.7293706293706294,0.749565839767456,0.9317379593849182,0.43063977773223194,0.6851707293025129,0.6431207755443985,0.4668055820946326
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Creativity,regression,,8,2673,573,572,0,0,5720,39,19,0.7263986013986014,0.7700138688087463,0.9516484141349792,0.44127208625221637,0.6673793212225227,0.5923990981379481,0.42889424043903895
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Creativity,regression,,9,2673,573,572,0,0,5720,28,8,0.7316433566433567,0.7858134508132935,0.9996545910835266,0.44314497690449806,0.699154149521064,0.655669375665282,0.4759027157959948
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Creativity,hinge,1,0,2673,573,572,2673,573,5720,25,3,0.7061188811188811,0.8404656052589417,1.1150096654891968,0.36558009629711474,0.6060163946190187,0.5770178883166645,0.4083787856993911
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Creativity,hinge,1,1,2673,573,572,2673,573,5720,25,2,0.6986013986013986,0.9029316902160645,1.3289159536361694,0.32423556305971235,0.5705217119684676,0.5586551790416759,0.39400490215848843
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Creativity,hinge,1,2,2673,573,572,2673,573,5720,25,2,0.6935314685314685,0.822096049785614,1.060530185699463,0.3342237806801571,0.5808189010397911,0.5737771756513163,0.4056788274145621
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Creativity,hinge,1,3,2673,573,572,2673,573,5720,64,44,0.6952797202797203,0.8396213054656982,1.116337537765503,0.34778730194199914,0.5926220054458113,0.5714470131782875,0.4072310341974459
