phase,method_id,dataset,representation,category,target,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,best_epoch,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,regression,,0,7015,1503,1504,0,0,15040,26,6,0.8172872340425532,0.6485604643821716,0.698480486869812,0.6908472233820641,0.8322229066619471,0.8150024187775345,0.6261892247646021
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,regression,,1,7015,1503,1504,0,0,15040,27,7,0.8193484042553192,0.6606158018112183,0.7224931120872498,0.6893567174968285,0.8334921776656614,0.8216934499254112,0.6321440149842141
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,regression,,2,7015,1503,1504,0,0,15040,27,7,0.816622340425532,0.6500028371810913,0.6824029088020325,0.6881709990527751,0.8369257501905008,0.8150590862876151,0.6246764816500755
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,regression,,3,7015,1503,1504,0,0,15040,31,11,0.8277260638297872,0.660398542881012,0.7249863147735596,0.682292322404772,0.8359408565720283,0.8263165830616296,0.6397138130680854
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,regression,,4,7015,1503,1504,0,0,15040,25,5,0.8200797872340425,0.6523100137710571,0.7153860926628113,0.6937409551751386,0.8350095102557091,0.8183667971371608,0.6326919217221278
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,regression,,5,7015,1503,1504,0,0,15040,28,8,0.8262632978723404,0.6384345293045044,0.6590296030044556,0.7084422142496728,0.8434181088613428,0.8343081214718059,0.6467187086307652
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,regression,,6,7015,1503,1504,0,0,15040,25,5,0.816622340425532,0.6470917463302612,0.7016199827194214,0.6807392225529179,0.8271319158000097,0.808461892103479,0.6216351492359566
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,regression,,7,7015,1503,1504,0,0,15040,29,9,0.8210771276595744,0.6591659188270569,0.7152584195137024,0.6901811487537937,0.8334805016036029,0.8150439773073754,0.6278506235894391
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,regression,,8,7015,1503,1504,0,0,15040,28,8,0.8167553191489362,0.6477507948875427,0.6650983095169067,0.6984768827055801,0.8373001510743734,0.8201939171071772,0.6304257271598362
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,regression,,9,7015,1503,1504,0,0,15040,27,7,0.8128989361702128,0.6643972992897034,0.7102717757225037,0.671183342407903,0.8249263902396606,0.8119842068935216,0.6205612207576358
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,1,0,7015,1503,1504,7015,1503,15040,25,2,0.7994015957446808,0.7218004465103149,0.8464101552963257,0.6253724300395553,0.7910677296560635,0.7876704644128582,0.5938506084286406
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,1,1,7015,1503,1504,7015,1503,15040,25,3,0.8132978723404255,0.7017133831977844,0.7966717481613159,0.6574628300915706,0.8111270825015247,0.8063620612545495,0.614059198629056
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,1,2,7015,1503,1504,7015,1503,15040,25,2,0.7978058510638298,0.7190670967102051,0.8339192867279053,0.6189344738340181,0.7870176819179981,0.7914487193100705,0.6001061011237832
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,1,3,7015,1503,1504,7015,1503,15040,25,2,0.8090425531914893,0.7175939083099365,0.8382169008255005,0.6326717698081641,0.7957448415881885,0.802686717962261,0.6064534919674279
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,1,4,7015,1503,1504,7015,1503,15040,25,3,0.8073138297872341,0.708082377910614,0.8160699605941772,0.6506378696871997,0.8071809661292946,0.8026693382719337,0.6119246453495872
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,1,5,7015,1503,1504,7015,1503,15040,25,3,0.8042553191489362,0.6910337805747986,0.781687319278717,0.6541778881388735,0.80945747598693,0.8113889025354178,0.6186247186402742
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,1,6,7015,1503,1504,7015,1503,15040,25,3,0.8054521276595744,0.7096384167671204,0.8139098882675171,0.6296435259787623,0.7935487481165637,0.7918307186397765,0.6022879432964187
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,1,7,7015,1503,1504,7015,1503,15040,25,2,0.7865691489361702,0.7732639908790588,0.9434305429458618,0.5913469007134131,0.7693104970115883,0.7675873442948316,0.574415615451877
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,1,8,7015,1503,1504,7015,1503,15040,25,3,0.8095079787234043,0.682092547416687,0.7325605154037476,0.6678927983051554,0.8176181680399566,0.8042991806643536,0.613321704005938
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,1,9,7015,1503,1504,7015,1503,15040,25,5,0.8007978723404255,0.7245644330978394,0.8226318359375,0.6191668316548824,0.7873216709509716,0.7794129985177047,0.5841788429181302
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,2,0,7015,1503,1504,14030,3006,15040,25,4,0.8077127659574468,0.6850194931030273,0.7638043165206909,0.661934369931487,0.8137619638566029,0.797346487026786,0.6080477008596665
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,2,1,7015,1503,1504,14030,3006,15040,25,3,0.8220079787234043,0.6851218938827515,0.7577934265136719,0.6741789970694153,0.8213154572245571,0.8183348342620267,0.6269838235902243
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,2,2,7015,1503,1504,14030,3006,15040,25,3,0.8075797872340426,0.6838293075561523,0.7536523938179016,0.6556130370108221,0.810704618651588,0.8004530234807267,0.6085054974222085
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,2,3,7015,1503,1504,14030,3006,15040,25,2,0.815093085106383,0.6976420879364014,0.7757823467254639,0.660032182369553,0.8126744967208808,0.8125112224472026,0.6197261634969826
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,2,4,7015,1503,1504,14030,3006,15040,25,2,0.8129654255319149,0.6857326030731201,0.7931496500968933,0.6604501263449967,0.8130245438284902,0.8079164929501826,0.6191230855321118
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,2,5,7015,1503,1504,14030,3006,15040,25,2,0.8111037234042553,0.6964963674545288,0.7742776870727539,0.6574559206310119,0.8119805670814166,0.8081105791972244,0.6165589097476593
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,2,6,7015,1503,1504,14030,3006,15040,25,3,0.8115026595744681,0.6708423495292664,0.7365816831588745,0.6648304789817656,0.816123743250472,0.8045605139184524,0.6162427480610517
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,2,7,7015,1503,1504,14030,3006,15040,25,3,0.8048537234042553,0.6934650540351868,0.7838906049728394,0.6604526852067913,0.8129539055895023,0.8097272212044995,0.6198108904073478
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,2,8,7015,1503,1504,14030,3006,15040,25,5,0.8198803191489362,0.6801352500915527,0.7307698726654053,0.6687046305653872,0.8184511161969539,0.8182961361057274,0.625674212366456
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,2,9,7015,1503,1504,14030,3006,15040,25,1,0.7957446808510639,0.695725679397583,0.7835797071456909,0.6372458204786726,0.7985627719228887,0.7932290210045955,0.5979228594851929
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,3,0,7015,1503,1504,21045,4509,15040,25,2,0.8046542553191489,0.7007416486740112,0.7982951998710632,0.6466684497367015,0.804234836858619,0.7937833310499481,0.6040138670404732
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,3,1,7015,1503,1504,21045,4509,15040,25,2,0.8190824468085106,0.6931018233299255,0.7788373827934265,0.6651309278274169,0.8158004799867251,0.8185633297843813,0.6266994317594983
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,3,2,7015,1503,1504,21045,4509,15040,25,1,0.8055851063829788,0.6908636689186096,0.7740219831466675,0.6463049894170514,0.8042375766372487,0.7914148197145827,0.5993262593890911
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,3,3,7015,1503,1504,21045,4509,15040,25,5,0.8125664893617022,0.6811410784721375,0.785885751247406,0.6556045615943334,0.8101193480110922,0.8065265297816988,0.6173525965980803
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,3,4,7015,1503,1504,21045,4509,15040,25,2,0.8098404255319149,0.687191903591156,0.7906505465507507,0.6615199988805296,0.8137358074991425,0.8062942788865551,0.6178765481887032
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,3,5,7015,1503,1504,21045,4509,15040,25,5,0.8081781914893617,0.6955212354660034,0.7678967714309692,0.6602788522920499,0.8134593737646441,0.8102845626563916,0.6171728291569937
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,3,6,7015,1503,1504,21045,4509,15040,25,3,0.8113031914893617,0.6688940525054932,0.7254452109336853,0.6698979873092139,0.8185437727877343,0.8026008133945779,0.6160407118101352
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,3,7,7015,1503,1504,21045,4509,15040,25,3,0.807779255319149,0.7023780345916748,0.7894231677055359,0.6580561939910843,0.811699987060484,0.806698567476444,0.6167372426915895
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,3,8,7015,1503,1504,21045,4509,15040,25,1,0.8115026595744681,0.68817138671875,0.7337538003921509,0.6673518331309345,0.8177883855774297,0.805181790730369,0.6131840566624127
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,3,9,7015,1503,1504,21045,4509,15040,25,1,0.8046542553191489,0.6930168867111206,0.771990180015564,0.6426111584073297,0.8024684490877121,0.7934722450025131,0.599570424142002
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,4,0,7015,1503,1504,28060,6012,15040,25,2,0.8031914893617021,0.6865947246551514,0.7756102681159973,0.6567089985124411,0.810629557803388,0.7975524158520672,0.6075595640544184
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,4,1,7015,1503,1504,28060,6012,15040,25,3,0.8137632978723405,0.697380781173706,0.791243851184845,0.6597966483455537,0.8126874506121062,0.8056147667862978,0.6160553073277363
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,4,2,7015,1503,1504,28060,6012,15040,25,3,0.8059840425531914,0.6865705847740173,0.7519117593765259,0.6564084195502943,0.8106018247661808,0.7994521006546838,0.6088864751503952
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,4,3,7015,1503,1504,28060,6012,15040,25,3,0.817154255319149,0.6678686738014221,0.7200101613998413,0.6844729615339222,0.8282682710487848,0.8275289537298971,0.6381927999423581
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,4,4,7015,1503,1504,28060,6012,15040,25,2,0.8129654255319149,0.6725592017173767,0.7556917071342468,0.6764860030413361,0.8227315336048164,0.8130643603361958,0.624710148173157
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,4,5,7015,1503,1504,28060,6012,15040,25,3,0.8180186170212767,0.6910272240638733,0.7387980818748474,0.6731522707107327,0.8214765411354259,0.8247946797170632,0.6318311912061728
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,4,6,7015,1503,1504,28060,6012,15040,25,2,0.8072473404255319,0.6817541122436523,0.7656054496765137,0.6516236995253575,0.8072464296678064,0.7983241764850384,0.6092126017017261
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,4,7,7015,1503,1504,28060,6012,15040,25,1,0.8085106382978723,0.7050971388816833,0.8043861389160156,0.6515748833330068,0.8073280543054211,0.8016877389506262,0.6118140453329184
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,4,8,7015,1503,1504,28060,6012,15040,25,2,0.8157579787234043,0.6643691658973694,0.7033810615539551,0.6811213351745741,0.8258513289567873,0.8166731003448351,0.6276066380593243
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,4,9,7015,1503,1504,28060,6012,15040,25,2,0.8075132978723404,0.688143789768219,0.7517303824424744,0.6519902543535908,0.8078935617250664,0.80215195652096,0.609987111434727
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,5,0,7015,1503,1504,35075,7515,15040,25,2,0.8079787234042554,0.6921168565750122,0.781389057636261,0.6541512666942904,0.8089247240477846,0.798709612815405,0.6085644464154053
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,5,1,7015,1503,1504,35075,7515,15040,25,2,0.8185505319148936,0.6872798800468445,0.768652081489563,0.6695102169135153,0.8185728815839823,0.819935303234773,0.6295415614388916
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,5,2,7015,1503,1504,35075,7515,15040,25,2,0.8087101063829787,0.6733816266059875,0.7326704859733582,0.6652008779830174,0.8159790867976078,0.8072971427489706,0.6157154562124454
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,5,3,7015,1503,1504,35075,7515,15040,25,2,0.8157579787234043,0.6825217604637146,0.7504261136054993,0.671143922872115,0.8200975092886225,0.8192374712296691,0.6269773388801503
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,5,4,7015,1503,1504,35075,7515,15040,25,1,0.8173537234042553,0.6733202934265137,0.7513760328292847,0.6783335318194748,0.8238642692790457,0.8117967881026029,0.6242719822490034
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,5,5,7015,1503,1504,35075,7515,15040,25,4,0.8135638297872341,0.6806963086128235,0.7234288454055786,0.6799516760913897,0.825994807109808,0.8245477944179357,0.6318329792474084
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,5,6,7015,1503,1504,35075,7515,15040,25,3,0.8068484042553191,0.6710914969444275,0.735503077507019,0.6653212892068832,0.8162808235283379,0.8051035743863755,0.6179895570623389
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,5,7,7015,1503,1504,35075,7515,15040,25,2,0.8120345744680851,0.6893510222434998,0.7741907238960266,0.6646542467410748,0.8154570660198601,0.8138409710140689,0.622680819611713
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,5,8,7015,1503,1504,35075,7515,15040,25,3,0.8121010638297872,0.6880024075508118,0.749342143535614,0.6602848151340786,0.8129167541885671,0.8058385334180873,0.6147142660917331
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,5,9,7015,1503,1504,35075,7515,15040,25,1,0.7968085106382978,0.701272189617157,0.7948591113090515,0.6320240760826701,0.7954300927164866,0.7890670491691089,0.5935794425614875
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,6,0,7015,1503,1504,42090,7515,15040,25,3,0.7992686170212766,0.6930931806564331,0.7779523730278015,0.6556723486375082,0.8099351344728305,0.7928627951343966,0.6033218928879787
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,6,1,7015,1503,1504,42090,7515,15040,25,1,0.8189494680851064,0.6826429963111877,0.7552196979522705,0.6752855967809166,0.8219459202888579,0.8203924124826387,0.6296381473436665
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,6,2,7015,1503,1504,42090,7515,15040,25,4,0.8110372340425532,0.6909605264663696,0.7802748084068298,0.6434477336141835,0.8024622372839758,0.7961621691706983,0.6066113405482664
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,6,3,7015,1503,1504,42090,7515,15040,25,2,0.8202127659574469,0.6898602247238159,0.7633084058761597,0.6654985913257923,0.8164314342903012,0.8198411144143247,0.6269916374759268
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,6,4,7015,1503,1504,42090,7515,15040,25,3,0.815093085106383,0.6680058836936951,0.7379135489463806,0.6840968711019377,0.8272032441324448,0.8125692417542459,0.6255310386188164
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,6,5,7015,1503,1504,42090,7515,15040,25,2,0.8191489361702128,0.6679244637489319,0.7107721567153931,0.6855510875567469,0.8287737499485273,0.8284773532279293,0.6375469470554936
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,6,6,7015,1503,1504,42090,7515,15040,25,1,0.8059175531914894,0.6772851347923279,0.7546629309654236,0.6566028902944283,0.8104686119472149,0.8019963294721327,0.614696187379257
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,6,7,7015,1503,1504,42090,7515,15040,25,2,0.8181515957446809,0.6662071943283081,0.7316192388534546,0.6830943207312014,0.8265545207838443,0.8158665967225013,0.628479649168478
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,6,8,7015,1503,1504,42090,7515,15040,25,2,0.8109042553191489,0.6750205755233765,0.7372913956642151,0.6657480876181437,0.8162872085496957,0.8096489708318938,0.6168183040570484
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Details and texture,hinge,6,9,7015,1503,1504,42090,7515,15040,25,1,0.8113696808510639,0.6740644574165344,0.7384353280067444,0.6581452170098185,0.8114625197530501,0.8048917390822539,0.6134342961184092
