phase,method_id,dataset,representation,category,target,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,best_epoch,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Layout and composition,regression,,0,7015,1503,1504,0,0,15040,27,7,0.7960106382978723,0.6082871556282043,0.6136436462402344,0.6474621768141435,0.8057491306271203,0.7716808093883821,0.5869026703780482
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Layout and composition,regression,,1,7015,1503,1504,0,0,15040,30,10,0.8011968085106383,0.6364774703979492,0.6659247279167175,0.6404581818243995,0.807108225894666,0.7810864854216463,0.5926780325228763
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Layout and composition,regression,,2,7015,1503,1504,0,0,15040,29,9,0.7957446808510639,0.6070191264152527,0.6097757816314697,0.655858614206434,0.815464747845887,0.7785798545751557,0.5918990856055035
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Layout and composition,regression,,3,7015,1503,1504,0,0,15040,27,7,0.8031914893617021,0.6108245253562927,0.6276816129684448,0.6464991124060548,0.8054612919763606,0.7869440948079924,0.5992432424475557
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Layout and composition,regression,,4,7015,1503,1504,0,0,15040,25,5,0.7976063829787234,0.616721510887146,0.6242161393165588,0.6615295028375492,0.8134400928763341,0.7706822149781891,0.587370923482957
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Layout and composition,regression,,5,7015,1503,1504,0,0,15040,26,6,0.8054521276595744,0.6115438342094421,0.6132170557975769,0.651598860259625,0.8109806912597897,0.7888725782547789,0.6018408787405107
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Layout and composition,regression,,6,7015,1503,1504,0,0,15040,25,5,0.7957446808510639,0.6235299706459045,0.630130410194397,0.6484099155265695,0.807040049957493,0.7654960529399643,0.581071871940957
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Layout and composition,regression,,7,7015,1503,1504,0,0,15040,29,9,0.7912234042553191,0.6335761547088623,0.6428616046905518,0.6337155000999801,0.8000050546343971,0.7657806183552466,0.5781139506715346
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Layout and composition,regression,,8,7015,1503,1504,0,0,15040,28,8,0.8004654255319149,0.607161283493042,0.6020129323005676,0.6582193223529704,0.8116464632049318,0.786349387917565,0.5974247415069481
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Layout and composition,regression,,9,7015,1503,1504,0,0,15040,31,11,0.7954122340425532,0.6401811838150024,0.6611846089363098,0.6058818266488217,0.7921895631944409,0.766182934282694,0.5791695602425964
