phase,method_id,dataset,representation,category,target,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,best_epoch,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Layout and composition,regression,,0,7015,1503,1504,0,0,15040,34,14,0.7555186170212767,0.6988469958305359,0.7921584248542786,0.5449055862216977,0.742143216770387,0.6867815943821102,0.5072334599285977
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Layout and composition,regression,,1,7015,1503,1504,0,0,15040,26,6,0.761968085106383,0.7404057383537292,0.9191730618476868,0.5037259692679918,0.7366035064885068,0.6953228652160152,0.5126397085785217
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Layout and composition,regression,,2,7015,1503,1504,0,0,15040,28,8,0.7699468085106383,0.691899836063385,0.7833541035652161,0.557895609715968,0.7582856654445038,0.7103929782396785,0.5276419797596998
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Layout and composition,regression,,3,7015,1503,1504,0,0,15040,38,18,0.7755319148936171,0.6794554591178894,0.7707566022872925,0.5659214341389953,0.7557568913976525,0.7269679334481733,0.5420714484215742
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Layout and composition,regression,,4,7015,1503,1504,0,0,15040,31,11,0.7651595744680851,0.7409041523933411,0.9007839560508728,0.5115653831395146,0.7465025413029025,0.7067315591050382,0.5227456709429533
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Layout and composition,regression,,5,7015,1503,1504,0,0,15040,35,15,0.7760638297872341,0.6975104808807373,0.7959510087966919,0.5477779920082225,0.753031498535508,0.714064771332148,0.5307827940534141
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Layout and composition,regression,,6,7015,1503,1504,0,0,15040,43,23,0.7566489361702128,0.7595515847206116,0.9356715679168701,0.4779289357157104,0.7224502859010471,0.681175304371958,0.5010337874579862
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Layout and composition,regression,,7,7015,1503,1504,0,0,15040,25,5,0.7513297872340425,0.7433628439903259,0.8745435476303101,0.5017097304781231,0.7282986446672624,0.6865551632794279,0.5023521060231478
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Layout and composition,regression,,8,7015,1503,1504,0,0,15040,43,23,0.7778590425531915,0.7078738808631897,0.8747549653053284,0.5033755764518784,0.7542851115081106,0.7288454234972294,0.5424029022576984
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Layout and composition,regression,,9,7015,1503,1504,0,0,15040,27,7,0.756781914893617,0.7003778219223022,0.8029696941375732,0.5213667297811049,0.7413890943220167,0.7035947222773055,0.5193800815136472
