phase,method_id,dataset,representation,category,target,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,best_epoch,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Light and shadow,regression,,0,4343,931,930,0,0,9300,28,8,0.818494623655914,0.5974569916725159,0.5920499563217163,0.7161860398601501,0.8471462109891874,0.8134770439167653,0.6299924193403009
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Light and shadow,regression,,1,4343,931,930,0,0,9300,31,11,0.8167741935483871,0.6014266610145569,0.5708578824996948,0.7223137690927279,0.8510204289071819,0.8129373818548675,0.6275405722634502
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Light and shadow,regression,,2,4343,931,930,0,0,9300,32,12,0.8146236559139785,0.6084192991256714,0.6017345786094666,0.7164792954498326,0.8495667781721181,0.8006877164802568,0.6193146681092235
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Light and shadow,regression,,3,4343,931,930,0,0,9300,30,10,0.8263440860215053,0.612440288066864,0.6148518919944763,0.7227037488615067,0.851863418107726,0.8264177119461456,0.640756978912916
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Light and shadow,regression,,4,4343,931,930,0,0,9300,28,8,0.8193548387096774,0.5829187631607056,0.553199291229248,0.7218105346811653,0.8520144632524591,0.8096159713324799,0.6300677479443042
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Light and shadow,regression,,5,4343,931,930,0,0,9300,32,12,0.812258064516129,0.6191524863243103,0.6185650825500488,0.7175081413858431,0.8474868100328159,0.8039162604570744,0.616604239856503
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Light and shadow,regression,,6,4343,931,930,0,0,9300,28,8,0.8209677419354838,0.6130267381668091,0.5956473350524902,0.7190295752211489,0.8576038865365376,0.81593582389246,0.633158403389211
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Light and shadow,regression,,7,4343,931,930,0,0,9300,32,12,0.8182795698924731,0.6120798587799072,0.5966082215309143,0.7134395691378155,0.8512000514299416,0.7958937015954871,0.6139986383831663
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Light and shadow,regression,,8,4343,931,930,0,0,9300,30,10,0.8278494623655914,0.5816478729248047,0.5637291073799133,0.7335810999916651,0.8592996655594121,0.8291607778878427,0.6453920563815735
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Light and shadow,regression,,9,4343,931,930,0,0,9300,33,13,0.8145161290322581,0.6156406998634338,0.614173948764801,0.6972403313820341,0.8395092909961193,0.801307271072282,0.6164898852569548
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Light and shadow,hinge,1,0,4343,931,930,4343,931,9300,25,2,0.7890322580645162,0.6747776865959167,0.7366668581962585,0.6468603436171778,0.8043747899276354,0.7790260603749546,0.5878007609770126
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Light and shadow,hinge,1,1,4343,931,930,4343,931,9300,25,3,0.8040860215053763,0.6667153835296631,0.6974270939826965,0.6607458695167714,0.8171691365874345,0.788072452949947,0.5978421645861121
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Light and shadow,hinge,1,2,4343,931,930,4343,931,9300,27,7,0.7936559139784947,0.6719891428947449,0.7498141527175903,0.6467083118520707,0.805400030343435,0.7705051930814659,0.5849179317236478
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Light and shadow,hinge,1,3,4343,931,930,4343,931,9300,26,6,0.7961290322580645,0.7050715684890747,0.7963793873786926,0.6408354169626775,0.800904861347945,0.7707396375891383,0.585345299286341
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Light and shadow,hinge,1,4,4343,931,930,4343,931,9300,25,2,0.7945161290322581,0.6522528529167175,0.6762858033180237,0.6599135089199706,0.8135154018869599,0.7747721436434015,0.5907097675231675
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Light and shadow,hinge,1,5,4343,931,930,4343,931,9300,25,2,0.7950537634408602,0.6907583475112915,0.7383943796157837,0.662783436564662,0.81513315395528,0.7849100830166176,0.5945146297802898
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Light and shadow,hinge,1,6,4343,931,930,4343,931,9300,25,2,0.8035483870967742,0.6734671592712402,0.7056232690811157,0.6671532570934362,0.8174761628067131,0.7962653789761515,0.6060187264350925
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Light and shadow,hinge,1,7,4343,931,930,4343,931,9300,25,5,0.8081720430107527,0.6657536625862122,0.7039409875869751,0.6618859485670796,0.8137305722383985,0.7885595730809969,0.6024122544123325
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Light and shadow,hinge,1,8,4343,931,930,4343,931,9300,25,4,0.8102150537634408,0.641135573387146,0.6709408164024353,0.6829127592098523,0.8279405669251259,0.8101121102652707,0.618936736184173
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Light and shadow,hinge,1,9,4343,931,930,4343,931,9300,25,3,0.7976344086021505,0.6789705157279968,0.7230005264282227,0.6435938084646927,0.8026835632621356,0.7806468454635463,0.5941680169795993
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Light and shadow,hinge,2,0,4343,931,930,8686,1862,9300,25,3,0.8139784946236559,0.6493788957595825,0.68398517370224,0.6721146177924469,0.8199997470026403,0.8009305038882198,0.6142631141339917
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Light and shadow,hinge,2,1,4343,931,930,8686,1862,9300,25,2,0.8117204301075269,0.6496482491493225,0.6886765956878662,0.6650024116774328,0.8189298577525754,0.7897585041709468,0.6039777731166732
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Light and shadow,hinge,2,2,4343,931,930,8686,1862,9300,25,3,0.8136559139784946,0.6537492871284485,0.6752622723579407,0.6818350746623734,0.8271206803221531,0.8020442080568101,0.6180210996063732
