phase,method_id,dataset,representation,category,target,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,best_epoch,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Light and shadow,regression,,0,4343,931,930,0,0,9300,38,18,0.78,0.7157294154167175,0.8606207966804504,0.5874399548002438,0.7771297158539312,0.7276284153877982,0.5449435599023729
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Light and shadow,regression,,1,4343,931,930,0,0,9300,67,47,0.7909677419354839,0.7026256918907166,0.8452464938163757,0.5888410735859715,0.7879482200659282,0.7507260583208297,0.564811123092709
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Light and shadow,regression,,2,4343,931,930,0,0,9300,39,19,0.7863440860215054,0.6909681558609009,0.8025282621383667,0.6218708928890455,0.7975661368073048,0.7441948087312059,0.562360159244594
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Light and shadow,regression,,3,4343,931,930,0,0,9300,41,21,0.7948387096774193,0.7054422497749329,0.8463553190231323,0.6182964183864355,0.8036169443129992,0.7688232506713749,0.5809419702772126
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Light and shadow,regression,,4,4343,931,930,0,0,9300,52,32,0.7702150537634409,0.6797082424163818,0.7465278506278992,0.6245906501808426,0.796672386987602,0.7161257641844614,0.5382136982974064
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Light and shadow,regression,,5,4343,931,930,0,0,9300,71,51,0.7749462365591397,0.7171335816383362,0.8644943237304688,0.6051949358054676,0.7819620013623592,0.7428441982171858,0.5579641506554568
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Light and shadow,regression,,6,4343,931,930,0,0,9300,28,8,0.7950537634408602,0.6720758080482483,0.7575705051422119,0.6426494133950431,0.8085698073277359,0.7638947804581565,0.5791554591029819
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Light and shadow,regression,,7,4343,931,930,0,0,9300,35,15,0.785483870967742,0.7199914455413818,0.8533624410629272,0.5901164596463647,0.7984436822627572,0.7398267781662212,0.556887283966025
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Light and shadow,regression,,8,4343,931,930,0,0,9300,41,21,0.7817204301075269,0.6983693838119507,0.8059937953948975,0.6190865612138032,0.7963939680876493,0.7406621283612377,0.5576424005964736
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Light and shadow,regression,,9,4343,931,930,0,0,9300,28,8,0.7739784946236559,0.7166146039962769,0.8553902506828308,0.5783317070156994,0.7799124583065975,0.7183620341710517,0.5387827893285835
