phase,method_id,dataset,representation,category,target,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,best_epoch,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Mood,regression,,0,4715,1010,1011,0,0,10110,25,5,0.7693372898120673,0.6882467269897461,0.7555111646652222,0.5479288045430584,0.7465673912955992,0.7259384955458732,0.5363593731734444
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Mood,regression,,1,4715,1010,1011,0,0,10110,30,10,0.7886251236399604,0.6393606662750244,0.667184054851532,0.6278905934882555,0.7932909513417599,0.7632632093521502,0.5778065235148921
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Mood,regression,,2,4715,1010,1011,0,0,10110,29,9,0.7672601384767557,0.6805371642112732,0.7432422041893005,0.5664854921361238,0.7556864544589708,0.7231099651997358,0.5365360983452856
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Mood,regression,,3,4715,1010,1011,0,0,10110,27,7,0.7838773491592482,0.6681146621704102,0.697816789150238,0.6175569143546453,0.7861929855772019,0.7535390766083552,0.5635034519483618
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Mood,regression,,4,4715,1010,1011,0,0,10110,25,5,0.779030662710188,0.7223883867263794,0.8486689925193787,0.5213207198424203,0.7832939501310321,0.7579330741981654,0.5713307477065522
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Mood,regression,,5,4715,1010,1011,0,0,10110,26,6,0.7795252225519288,0.6746092438697815,0.7406554222106934,0.5811188643218652,0.7707541383931527,0.7388592363882038,0.5510633777746333
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Mood,regression,,6,4715,1010,1011,0,0,10110,26,6,0.7835806132542038,0.664283037185669,0.685390293598175,0.6261029616469911,0.7917620188024159,0.7514997430520041,0.5645534919661647
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Mood,regression,,7,4715,1010,1011,0,0,10110,30,10,0.7774480712166172,0.6662028431892395,0.7448199987411499,0.5888309633636402,0.7682620034905199,0.7300584274353998,0.5452306752337573
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Mood,regression,,8,4715,1010,1011,0,0,10110,43,23,0.7696340257171118,0.7133379578590393,0.8163961172103882,0.5422733081063495,0.7510971362413557,0.7286693781525048,0.540731438757156
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Mood,regression,,9,4715,1010,1011,0,0,10110,30,10,0.7902077151335312,0.6531715393066406,0.6878698468208313,0.6333431920145791,0.798276831689293,0.7708016313778098,0.5811977505171899
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Mood,hinge,1,0,4715,1010,1011,4715,1010,10110,25,2,0.7557863501483679,0.7221751809120178,0.8256517648696899,0.5059591231653988,0.7133159967746678,0.6971045993070698,0.5118040295033742
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Mood,hinge,1,1,4715,1010,1011,4715,1010,10110,25,3,0.7838773491592482,0.6953173279762268,0.7749016284942627,0.5678131205782417,0.7538336395872349,0.7256035501893493,0.5417114493298878
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Mood,hinge,1,2,4715,1010,1011,4715,1010,10110,25,5,0.7533135509396637,0.7183223366737366,0.8181754946708679,0.5227787393343573,0.7241320111831189,0.6963133542253299,0.5128015746800798
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Mood,hinge,1,3,4715,1010,1011,4715,1010,10110,25,5,0.7688427299703264,0.7291461229324341,0.8385639190673828,0.5404195246655865,0.7379929062656458,0.7179196289822938,0.5288842081558748
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Mood,hinge,1,4,4715,1010,1011,4715,1010,10110,25,2,0.7735905044510386,0.6954814791679382,0.7965272068977356,0.5507305266434095,0.742324923176545,0.728980130557106,0.5412720741500487
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Mood,hinge,1,5,4715,1010,1011,4715,1010,10110,25,3,0.7638971315529179,0.7050843834877014,0.7914726734161377,0.5523789094269125,0.7436846989848647,0.7282362055378158,0.5400678646089391
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Mood,hinge,1,6,4715,1010,1011,4715,1010,10110,25,3,0.7655786350148368,0.7191906571388245,0.8095824718475342,0.5583531238185757,0.7491424204051178,0.7211765243360521,0.5336140614562286
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Mood,hinge,1,7,4715,1010,1011,4715,1010,10110,25,2,0.7692383778437191,0.7127248644828796,0.8195576071739197,0.5475729523271596,0.7421457529861684,0.7163796794999434,0.5299327562897049
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Mood,hinge,1,8,4715,1010,1011,4715,1010,10110,25,2,0.7739861523244312,0.7208461165428162,0.8206048011779785,0.5399136248172244,0.735593768696674,0.7197985108752252,0.5306766053127142
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Mood,hinge,1,9,4715,1010,1011,4715,1010,10110,25,3,0.7748763600395648,0.6997222900390625,0.810034453868866,0.5682255282905246,0.7552360325186669,0.7455372649867928,0.5563794820851335
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Mood,hinge,2,0,4715,1010,1011,9430,2020,10110,25,2,0.7564787339268051,0.730651319026947,0.8481993675231934,0.4924674305967598,0.7057913529734723,0.6934228418103118,0.5073041310666587
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Mood,hinge,2,1,4715,1010,1011,9430,2020,10110,25,5,0.7845697329376855,0.6903375387191772,0.7467609643936157,0.5835080559785424,0.7639251940534972,0.7429786485730735,0.557844853700458
