phase,method_id,dataset,representation,category,target,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,best_epoch,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,The sense of order,regression,,0,5574,1194,1195,0,0,11950,29,9,0.7568200836820084,0.7046887278556824,0.8071853518486023,0.5011308180179888,0.7169311358046748,0.6992299217544896,0.5133860536707747
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,The sense of order,regression,,1,5574,1194,1195,0,0,11950,35,15,0.7554811715481171,0.6831645965576172,0.757311999797821,0.516532676824762,0.7263508426883476,0.6791759986214565,0.4996584504426636
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,The sense of order,regression,,2,5574,1194,1195,0,0,11950,48,28,0.7613389121338913,0.6819125413894653,0.776164710521698,0.5186740300122401,0.7227580969441267,0.6978088056851076,0.5159233725538569
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,The sense of order,regression,,3,5574,1194,1195,0,0,11950,27,7,0.7490376569037657,0.7075341939926147,0.8076391220092773,0.5107878616210826,0.7253116108980375,0.6765245541579858,0.49432275917132174
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,The sense of order,regression,,4,5574,1194,1195,0,0,11950,26,6,0.755397489539749,0.694022536277771,0.8174263834953308,0.5032211714614514,0.7157987781796251,0.6797539025245672,0.5002582789317348
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,The sense of order,regression,,5,5574,1194,1195,0,0,11950,28,8,0.7469456066945607,0.7351195216178894,0.865724503993988,0.4733959175594189,0.7145429184581076,0.6775113075175839,0.4930951330224251
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,The sense of order,regression,,6,5574,1194,1195,0,0,11950,35,15,0.7557322175732217,0.7752311825752258,0.9847257733345032,0.37154112366689396,0.7084735038173449,0.6766724662592246,0.49564435595587386
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,The sense of order,regression,,7,5574,1194,1195,0,0,11950,28,8,0.7554811715481171,0.7049002051353455,0.807782769203186,0.5348731382334895,0.7328126715225345,0.6886361978140431,0.5061165004686299
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,The sense of order,regression,,8,5574,1194,1195,0,0,11950,31,11,0.738744769874477,0.7002235054969788,0.8019666075706482,0.48213948677853835,0.7022696840985699,0.6614228172405613,0.4823173504400359
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,The sense of order,regression,,9,5574,1194,1195,0,0,11950,44,24,0.7326359832635984,0.7083383798599243,0.8232011198997498,0.44351280576014773,0.6898451547051536,0.6478774569559099,0.4735199832765295
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,The sense of order,hinge,1,0,5574,1194,1195,5574,1194,11950,47,27,0.7467782426778242,0.7397098541259766,0.8882532715797424,0.45102792733844443,0.6716440725435042,0.6657663592100346,0.4852485515329246
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,The sense of order,hinge,1,1,5574,1194,1195,5574,1194,11950,43,23,0.7310460251046025,0.7574707269668579,0.9007079005241394,0.42498887515588224,0.6524937361386378,0.6339764470732449,0.45711096959238406
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,The sense of order,hinge,1,2,5574,1194,1195,5574,1194,11950,52,32,0.7321338912133891,0.7534005045890808,0.9189447164535522,0.43013133115833746,0.656271677441282,0.637798130569054,0.4621687031391508
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,The sense of order,hinge,1,3,5574,1194,1195,5574,1194,11950,27,7,0.722928870292887,0.7755367755889893,0.9602863788604736,0.4183246202180818,0.647166713868387,0.6207712139659587,0.44446120975775893
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,The sense of order,hinge,1,4,5574,1194,1195,5574,1194,11950,25,3,0.7343933054393306,0.7769553661346436,0.9606053233146667,0.41620629215459015,0.6456166507867849,0.6315688980713291,0.4566449714794117
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,The sense of order,hinge,1,5,5574,1194,1195,5574,1194,11950,25,4,0.7268619246861925,0.7557929754257202,0.9422308206558228,0.4268585715584815,0.6535007530630992,0.6349749368543005,0.4566840836268866
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,The sense of order,hinge,1,6,5574,1194,1195,5574,1194,11950,52,32,0.7294560669456067,0.7564308047294617,0.8927013278007507,0.4302717822741927,0.656302336601783,0.6334488746336789,0.45970983178645136
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,The sense of order,hinge,1,7,5574,1194,1195,5574,1194,11950,25,3,0.7345606694560669,0.7801076173782349,0.9618343710899353,0.4461691885199993,0.6695478449575916,0.6444955117767518,0.4641510019885569
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,The sense of order,hinge,1,8,5574,1194,1195,5574,1194,11950,39,19,0.7219246861924686,0.7589505910873413,0.9326335191726685,0.39776288367755397,0.6309118650788914,0.6043704300690649,0.4351570282384452
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,The sense of order,hinge,1,9,5574,1194,1195,5574,1194,11950,25,3,0.7267782426778243,0.7339401841163635,0.8519423007965088,0.4240837006367951,0.6529336553092833,0.6357047271482519,0.4582122741350971
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,The sense of order,hinge,2,0,5574,1194,1195,11148,2388,11950,25,3,0.7365690376569037,0.7570134997367859,0.9234455823898315,0.4292778867067667,0.6554279429327607,0.6518956052152448,0.46992634592409527
