phase,method_id,dataset,representation,category,target,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,best_epoch,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Space and perspective,regression,,0,4343,931,930,0,0,9300,40,20,0.7704301075268817,0.7282128930091858,0.8759167194366455,0.5405795765572676,0.782062631210823,0.7141582228785613,0.5334905530248379
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Space and perspective,regression,,1,4343,931,930,0,0,9300,46,26,0.7693548387096775,0.7511440515518188,0.8954569101333618,0.5162655048438729,0.7720777423617449,0.7161908706741623,0.5333609105637825
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Space and perspective,regression,,2,4343,931,930,0,0,9300,29,9,0.7604301075268817,0.7334679961204529,0.8743064999580383,0.549465417984097,0.7651634606208155,0.6928896508880877,0.5112263531558211
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Space and perspective,regression,,3,4343,931,930,0,0,9300,35,15,0.7794623655913978,0.7597811818122864,0.950122058391571,0.5238507502900711,0.7809808650467573,0.7370283884066406,0.5517495122925388
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Space and perspective,regression,,4,4343,931,930,0,0,9300,77,57,0.7638709677419355,0.6822189092636108,0.7746513485908508,0.557324892364452,0.7734515528226495,0.6927262491940652,0.515723269598713
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Space and perspective,regression,,5,4343,931,930,0,0,9300,66,46,0.7617204301075269,0.7131325602531433,0.8463489413261414,0.5635680142425257,0.7662066506872236,0.7115001327978174,0.5307507396276696
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Space and perspective,regression,,6,4343,931,930,0,0,9300,28,8,0.78,0.6804505586624146,0.7454968094825745,0.6091189521883325,0.7831758641879993,0.7340848717560516,0.5496298739226847
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Space and perspective,regression,,7,4343,931,930,0,0,9300,68,48,0.7764516129032258,0.6506587862968445,0.6864386200904846,0.6275233374899385,0.79388083178182,0.721490665722531,0.541376539885068
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Space and perspective,regression,,8,4343,931,930,0,0,9300,41,21,0.770752688172043,0.7214967012405396,0.8447150588035583,0.5591389240873541,0.7738740272972322,0.7146686730522644,0.5294975710038269
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,resnet50,all,Space and perspective,regression,,9,4343,931,930,0,0,9300,28,8,0.7695698924731182,0.6879285573959351,0.8053063750267029,0.5440622777392319,0.7609827050703188,0.7093274356528727,0.5293273037655861
