phase,method_id,dataset,representation,category,target,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,best_epoch,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Theme and logic,regression,,0,5574,1194,1195,0,0,11950,26,6,0.782928870292887,0.6276928186416626,0.6520534157752991,0.5337445803488714,0.7526948276092345,0.745183344368704,0.5568588301144369
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Theme and logic,regression,,1,5574,1194,1195,0,0,11950,30,10,0.776234309623431,0.6337459087371826,0.6554118394851685,0.5529211025500902,0.7539952923405808,0.7333306159322067,0.5482250555980163
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Theme and logic,regression,,2,5574,1194,1195,0,0,11950,27,7,0.7921338912133892,0.5948625206947327,0.5873205065727234,0.599639798533599,0.7767074949557866,0.7673292618056945,0.577788661694237
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Theme and logic,regression,,3,5574,1194,1195,0,0,11950,28,8,0.776234309623431,0.6131654381752014,0.6187710165977478,0.5838231337885779,0.7749380898531513,0.7420320834081424,0.553383622540018
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Theme and logic,regression,,4,5574,1194,1195,0,0,11950,27,7,0.782928870292887,0.6199561953544617,0.6008164882659912,0.5897173488443572,0.7767821125702028,0.7513073862503976,0.5612719002597216
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Theme and logic,regression,,5,5574,1194,1195,0,0,11950,26,6,0.7754811715481171,0.6185910105705261,0.60516357421875,0.5812301364554622,0.76722838741712,0.7416221504637613,0.5533852723403225
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Theme and logic,regression,,6,5574,1194,1195,0,0,11950,29,9,0.7895397489539749,0.6116569638252258,0.5857028365135193,0.5950439244460228,0.7814070270363516,0.7653954674942812,0.5746690054085342
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Theme and logic,regression,,7,5574,1194,1195,0,0,11950,28,8,0.7849372384937239,0.6423424482345581,0.6371778845787048,0.5883505106319523,0.7770177215084502,0.7556541133288448,0.564843157538953
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Theme and logic,regression,,8,5574,1194,1195,0,0,11950,28,8,0.7715481171548118,0.6335757970809937,0.6660014390945435,0.5324056719929584,0.7361887912302052,0.7267573389737461,0.5381726573190948
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Theme and logic,regression,,9,5574,1194,1195,0,0,11950,29,9,0.783347280334728,0.5792323350906372,0.5406239032745361,0.6050610463965077,0.7794533954087512,0.7540863649857505,0.5653884268552698
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Theme and logic,hinge,1,0,5574,1194,1195,5574,1194,11950,25,3,0.7667782426778242,0.6459071040153503,0.6809440851211548,0.5130860990380861,0.7173949315181289,0.7152498201855243,0.5285655030069106
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Theme and logic,hinge,1,1,5574,1194,1195,5574,1194,11950,25,3,0.755397489539749,0.6832155585289001,0.7357363700866699,0.49812899282571443,0.7058540392155663,0.7039899413492707,0.5143010083161592
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Theme and logic,hinge,1,2,5574,1194,1195,5574,1194,11950,25,3,0.779581589958159,0.6424062848091125,0.6671698093414307,0.5452087025203043,0.7393880986722365,0.7348313667731121,0.544246804036578
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Theme and logic,hinge,1,3,5574,1194,1195,5574,1194,11950,25,3,0.7573221757322176,0.6547444462776184,0.6963791847229004,0.5316249105377944,0.7291654022721872,0.7055346663919765,0.516944048899253
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Theme and logic,hinge,1,4,5574,1194,1195,5574,1194,11950,25,2,0.7710460251046025,0.6618726253509521,0.6825624108314514,0.533895078398301,0.7308277018254898,0.7269235900984786,0.5370428662863793
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Theme and logic,hinge,1,5,5574,1194,1195,5574,1194,11950,25,3,0.7664435146443515,0.6424951553344727,0.6749150156974792,0.5329625772206144,0.7308700619665558,0.716356352701302,0.5283788647177571
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Theme and logic,hinge,1,6,5574,1194,1195,5574,1194,11950,25,1,0.7674476987447699,0.6814202070236206,0.7247247695922852,0.4989239033437287,0.7076109974577207,0.7144882881547434,0.5216062273915356
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Theme and logic,hinge,1,7,5574,1194,1195,5574,1194,11950,25,3,0.7707949790794979,0.672292947769165,0.7115384340286255,0.5403097628309421,0.7351631028753829,0.7278792677764949,0.5378764977081273
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Theme and logic,hinge,1,8,5574,1194,1195,5574,1194,11950,25,5,0.7607531380753139,0.6733243465423584,0.7300450801849365,0.4874411034516196,0.6986210573553677,0.6933560371757524,0.5074618874279611
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Theme and logic,hinge,1,9,5574,1194,1195,5574,1194,11950,25,2,0.7697071129707113,0.6331906914710999,0.6393265724182129,0.5329563391160866,0.7303339805990241,0.7262109869215391,0.5370895541327796
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Theme and logic,hinge,2,0,5574,1194,1195,11148,2388,11950,25,2,0.7772384937238493,0.6237152218818665,0.6385756731033325,0.5433819654089915,0.7377088341238398,0.7418702429738518,0.5528084109950108
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Theme and logic,hinge,2,1,5574,1194,1195,11148,2388,11950,25,2,0.7709623430962343,0.6550219655036926,0.6847564578056335,0.5329041387512212,0.7305084315731278,0.7249972727313054,0.5362101293873386
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Theme and logic,hinge,2,2,5574,1194,1195,11148,2388,11950,25,2,0.7872803347280335,0.6303359270095825,0.6392951011657715,0.5642101596338516,0.751645048811632,0.7456885689973474,0.5547337800998359
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Theme and logic,hinge,2,3,5574,1194,1195,11148,2388,11950,25,3,0.7646025104602511,0.6500404477119446,0.6799203753471375,0.5426949268369827,0.7371378775162611,0.7158536789676483,0.5272596530599246
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Theme and logic,hinge,2,4,5574,1194,1195,11148,2388,11950,25,4,0.7703765690376569,0.6553806662559509,0.6569283604621887,0.5513999153874933,0.743987324900786,0.7333923536935999,0.5427042533532355
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Theme and logic,hinge,2,5,5574,1194,1195,11148,2388,11950,25,4,0.7643514644351465,0.6593217849731445,0.6812999248504639,0.528544235501466,0.7278281590814331,0.720644030737143,0.532162467596404
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Theme and logic,hinge,2,6,5574,1194,1195,11148,2388,11950,25,4,0.7769037656903766,0.6480746865272522,0.6606330871582031,0.5432369857308589,0.7381225073225615,0.733093937664309,0.5445132381882731
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,apddv2,clip-vit-b32,all,Theme and logic,hinge,2,7,5574,1194,1195,11148,2388,11950,25,1,0.7814225941422595,0.6663461923599243,0.6863406300544739,0.5565888350745332,0.7463274194390479,0.7388921627535756,0.5473599338342003
