phase,method_id,dataset,representation,category,target,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,best_epoch,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,1,0,140,20,79,140,20,790,25,3,0.739240506329114,0.636459469795227,0.7172268629074097,0.3716844255897185,0.727592301365803,0.7071203850318806,0.5157843706523225
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,1,1,140,20,79,140,20,790,30,10,0.7734177215189874,0.5184525847434998,0.41206249594688416,0.5898761640678041,0.7827260132216907,0.7510012362060084,0.5708268622115809
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,1,2,140,20,79,140,20,790,37,17,0.7544303797468355,0.6862110495567322,0.7635822296142578,0.004278044007163584,0.6834111601901895,0.7132170872916783,0.5201987789925773
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,1,3,140,20,79,140,20,790,25,3,0.7088607594936709,0.5688875913619995,0.5227383971214294,0.3962670663230553,0.6398266856049304,0.5990943339689224,0.43822446303055046
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,1,4,140,20,79,140,20,790,28,8,0.7873417721518987,0.5873536467552185,0.520675778388977,0.5697955362018897,0.8231191698141629,0.7536750798333092,0.5796307152215265
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,1,5,140,20,79,140,20,790,33,13,0.7265822784810126,0.6274440884590149,0.6144503355026245,0.3081028193525873,0.6296930623366279,0.6089348797397904,0.4391294887100278
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,1,6,140,20,79,140,20,790,27,7,0.7037974683544304,0.5724435448646545,0.5143085718154907,0.3899548540476755,0.6882879377226345,0.6008729115454553,0.42263638962919187
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,1,7,140,20,79,140,20,790,25,4,0.7531645569620253,0.5862928032875061,0.539609968662262,0.5036381121000738,0.7100970617048006,0.667969209473945,0.4982930942624819
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,1,8,140,20,79,140,20,790,34,14,0.7544303797468355,0.5894297957420349,0.5651302933692932,0.5106330261320942,0.7618121622290346,0.6956664689398946,0.5159527350670082
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,1,9,140,20,79,140,20,790,69,49,0.7493670886075949,0.6491778492927551,0.6941232085227966,0.40147932412481613,0.677387093629136,0.6297844907635483,0.4673179627715076
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,2,0,140,20,79,280,40,790,34,14,0.789873417721519,0.6037907600402832,0.6286153793334961,0.4493111460389482,0.7608952473274257,0.7449894442292465,0.5535326274319247
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,2,1,140,20,79,280,40,790,44,24,0.7772151898734178,0.5643324255943298,0.49364158511161804,0.5086808835132677,0.7428911427587082,0.7207878431975584,0.5343564637131797
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,2,2,140,20,79,280,40,790,30,10,0.7784810126582279,0.5457733869552612,0.5004960298538208,0.34734613059773256,0.7016906293620195,0.7041967274684497,0.5254105388322023
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,2,3,140,20,79,280,40,790,25,1,0.7493670886075949,0.5503984093666077,0.5155205726623535,0.40460313470163967,0.6427078817214351,0.6086136221770643,0.44278251836667804
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,2,4,140,20,79,280,40,790,25,2,0.7924050632911392,0.5729158520698547,0.5487496852874756,0.5465996859049264,0.8287850611668546,0.7788389744836848,0.589410761035163
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,2,5,140,20,79,280,40,790,38,18,0.7493670886075949,0.5446364283561707,0.451521098613739,0.49156801771462955,0.7130083666852443,0.7296530790517107,0.5263694464374462
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,2,6,140,20,79,280,40,790,34,14,0.7379746835443038,0.6110259890556335,0.6077842712402344,0.27907895913358594,0.7030312866372697,0.648376884737172,0.4793792382368149
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,2,7,140,20,79,280,40,790,27,7,0.7772151898734178,0.5382385849952698,0.5265916585922241,0.515613050304544,0.7493187370510555,0.7366627188969926,0.5588699018002738
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,2,8,140,20,79,280,40,790,25,5,0.7886075949367088,0.5857738256454468,0.542419970035553,0.5302987991038078,0.8100409374219453,0.7510773031909646,0.5673852474585459
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,2,9,140,20,79,280,40,790,53,33,0.8,0.5788177251815796,0.6176196932792664,0.4674459528162255,0.7424743909291465,0.7619638870642377,0.5726840170080897
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,3,0,140,20,79,420,60,790,25,5,0.7759493670886076,0.5708304047584534,0.5377496480941772,0.5289126317003506,0.775950392933737,0.7547153774657284,0.5658984356873116
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,3,1,140,20,79,420,60,790,36,16,0.7582278481012659,0.5427232980728149,0.5382703542709351,0.4642620504046552,0.717645636616453,0.692656033671963,0.5200288071602365
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,3,2,140,20,79,420,60,790,48,28,0.7924050632911392,0.6632058024406433,0.6551723480224609,0.1456460341847512,0.7483321933123079,0.7666210259482279,0.5768766672484998
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,3,3,140,20,79,420,60,790,29,9,0.759493670886076,0.5265570282936096,0.45673978328704834,0.4724914963511476,0.72435623525962,0.6934594518583279,0.5144091022201112
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,3,4,140,20,79,420,60,790,44,24,0.839240506329114,0.5441252589225769,0.48659616708755493,0.597953519670682,0.8255681877735697,0.8271215125501528,0.6526550572966794
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,3,5,140,20,79,420,60,790,25,5,0.7772151898734178,0.4955480098724365,0.3975772261619568,0.5523111156226925,0.7451579701064475,0.7433597133589833,0.551760180402889
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,3,6,140,20,79,420,60,790,25,1,0.7278481012658228,0.6417008638381958,0.6711236238479614,0.20394911516010938,0.6983373756356741,0.5908413190518689,0.4317674227384645
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,3,7,140,20,79,420,60,790,29,9,0.7683544303797468,0.5444818139076233,0.48105186223983765,0.5575030385984912,0.7571337194014518,0.7229921870731255,0.545842631362039
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,3,8,140,20,79,420,60,790,25,5,0.7746835443037975,0.5427393317222595,0.47738322615623474,0.5866164039002558,0.8272198489012226,0.7558855807676722,0.5771509143683317
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,3,9,140,20,79,420,60,790,54,34,0.7949367088607595,0.5706397294998169,0.5781218409538269,0.5015036909200303,0.7711501802864404,0.7661998599818765,0.5752856479768942
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,4,0,140,20,79,560,80,790,34,14,0.7683544303797468,0.6250205636024475,0.6518125534057617,0.42898963697216863,0.7360587886905705,0.7400473555008213,0.5424684832034206
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,4,1,140,20,79,560,80,790,28,8,0.7835443037974683,0.4831768572330475,0.39078235626220703,0.6110561832182704,0.8014226976838472,0.7674834820293126,0.5825494903003525
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,4,2,140,20,79,560,80,790,25,2,0.7759493670886076,0.5772121548652649,0.537556529045105,0.2990187109769661,0.7468108844959715,0.7331203103834171,0.552772277990234
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,4,3,140,20,79,560,80,790,25,5,0.7746835443037975,0.5103340744972229,0.4141187071800232,0.521716559212057,0.7583294259820832,0.7512203502568352,0.5619431078682987
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,4,4,140,20,79,560,80,790,25,4,0.8126582278481013,0.5016767382621765,0.41934025287628174,0.6535232354742814,0.8544074275414459,0.7932166036961151,0.6115788648794058
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,4,5,140,20,79,560,80,790,38,18,0.7443037974683544,0.5808393955230713,0.5231298208236694,0.41093354052721487,0.6770019665673317,0.6897139430284769,0.5126975127637463
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,4,6,140,20,79,560,80,790,25,3,0.7455696202531645,0.5444832444190979,0.5351892113685608,0.36518736954793485,0.7416502233563733,0.6551944718687357,0.48981470464741217
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,4,7,140,20,79,560,80,790,33,13,0.7683544303797468,0.5843316316604614,0.5344921350479126,0.5083458617452912,0.7290269579571031,0.7027115940022771,0.5184853634417459
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,4,8,140,20,79,560,80,790,30,10,0.8113924050632911,0.5271170139312744,0.501679003238678,0.565577857254673,0.7990741448265908,0.7942057271258374,0.6038437372550791
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,4,9,140,20,79,560,80,790,26,6,0.789873417721519,0.5290083885192871,0.5202570557594299,0.5513986294798328,0.787745714250832,0.7659929302703826,0.5921962492741235
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,5,0,140,20,79,700,100,790,30,10,0.8037974683544303,0.5536960363388062,0.5456111431121826,0.5220256742000577,0.7636931845700019,0.7581358871521507,0.5724067558217257
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,5,1,140,20,79,700,100,790,35,15,0.8025316455696202,0.5056097507476807,0.42066052556037903,0.5813184912818417,0.7823486401739501,0.7555782852677236,0.5773394333720095
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,5,2,140,20,79,700,100,790,25,1,0.7987341772151899,0.48185238242149353,0.3690228760242462,0.5187889807020488,0.7953168883841499,0.7857573358566156,0.5938148867272814
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,5,3,140,20,79,700,100,790,26,6,0.7759493670886076,0.5157274603843689,0.42874231934547424,0.5048270396471094,0.7333560430124635,0.723709363875249,0.5411062834745727
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,5,4,140,20,79,700,100,790,25,3,0.8278481012658228,0.5126468539237976,0.45272499322891235,0.6259394145572555,0.8436564528801682,0.7764528480436879,0.6017988190657694
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,5,5,140,20,79,700,100,790,25,3,0.7708860759493671,0.47062286734580994,0.32626426219940186,0.6326125059617693,0.7992697697318363,0.766512482854927,0.5836613589748554
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,5,6,140,20,79,700,100,790,30,10,0.7215189873417721,0.5815860629081726,0.5771058201789856,0.3154680744626682,0.7158935260740691,0.6562292842012051,0.49177135459939925
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,5,7,140,20,79,700,100,790,36,16,0.7620253164556962,0.5397614240646362,0.493315190076828,0.5462225123765365,0.7560607510094997,0.7279466897020782,0.5471453584058625
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,5,8,140,20,79,700,100,790,25,2,0.7544303797468355,0.5334497094154358,0.44290730357170105,0.6164704133296871,0.8100326375606528,0.7171272116430221,0.5387392911898414
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,5,9,140,20,79,700,100,790,44,24,0.7949367088607595,0.5693074464797974,0.5750441551208496,0.5041574898139651,0.7702813910982513,0.7728703000935605,0.585041764109911
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,6,0,140,20,79,840,100,790,32,12,0.7468354430379747,0.552763044834137,0.5171866416931152,0.5469264569573764,0.7595478500388708,0.7575759460646937,0.566549267700753
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,6,1,140,20,79,840,100,790,28,8,0.8417721518987342,0.4567270278930664,0.35661590099334717,0.6450618579955678,0.8266881179588381,0.8088595186271054,0.6353013166998255
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,6,2,140,20,79,840,100,790,25,2,0.8126582278481013,0.4936549961566925,0.41192013025283813,0.462850337421847,0.7931443180946189,0.7975410177849356,0.6133589861258754
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,6,3,140,20,79,840,100,790,27,7,0.7911392405063291,0.49709707498550415,0.38431480526924133,0.5561383127485056,0.7624980348518875,0.766460949792121,0.5834310830243287
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,6,4,140,20,79,840,100,790,25,2,0.8265822784810126,0.4899190068244934,0.40801146626472473,0.6628835235421483,0.866795682348311,0.8274867359848462,0.6539590634051643
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,6,5,140,20,79,840,100,790,25,2,0.7810126582278482,0.5114932656288147,0.4035121500492096,0.5456281472709182,0.7490805449560867,0.7556299508205561,0.551760180402889
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,hinge,6,6,140,20,79,840,100,790,26,6,0.710126582278481,0.5764384865760803,0.5667833685874939,0.3277118756677012,0.7191674052204462,0.6137167587308119,0.44937727230634755
