phase,method_id,dataset,representation,category,target,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,best_epoch,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,resnet50,abstract,beauty,regression,,0,140,20,79,0,0,790,103,83,0.7367088607594937,0.5757738947868347,0.47061818838119507,0.5877221420044512,0.7691181182744913,0.6541937796348548,0.4825919379668102
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,resnet50,abstract,beauty,regression,,1,140,20,79,0,0,790,43,23,0.7316455696202532,0.6423758864402771,0.5711659789085388,0.4315211620514745,0.6709280776340165,0.6470316190886952,0.47639458038536375
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,resnet50,abstract,beauty,regression,,2,140,20,79,0,0,790,81,61,0.7139240506329114,0.5930809378623962,0.5346680879592896,0.3027853491389082,0.6011875998528922,0.569098274947276,0.41140329234040396
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,resnet50,abstract,beauty,regression,,3,140,20,79,0,0,790,57,37,0.6784810126582278,0.6296164393424988,0.5806599855422974,0.3293708342820135,0.581172308125133,0.5381928008418978,0.37180708527554873
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,resnet50,abstract,beauty,regression,,4,140,20,79,0,0,790,49,29,0.739240506329114,0.62369304895401,0.6021984219551086,0.502438037229826,0.7456710821825254,0.6265529763310249,0.4694421990545546
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,resnet50,abstract,beauty,regression,,5,140,20,79,0,0,790,93,73,0.7151898734177216,0.6138120889663696,0.5628706812858582,0.3661836511099885,0.6198440534044494,0.6304199681521672,0.44498888885589916
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,resnet50,abstract,beauty,regression,,6,140,20,79,0,0,790,35,15,0.6822784810126582,0.5512050986289978,0.48947468400001526,0.41941147233365317,0.6605710386575083,0.5455530616779104,0.38611225719210124
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,resnet50,abstract,beauty,regression,,7,140,20,79,0,0,790,65,45,0.7265822784810126,0.5739582180976868,0.5166269540786743,0.5247791839102011,0.7319784757946763,0.6294774716047838,0.45790855590395396
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,resnet50,abstract,beauty,regression,,8,140,20,79,0,0,790,65,45,0.7164556962025317,0.6355555057525635,0.603515088558197,0.4773942652750848,0.6949362731102156,0.5876323841467824,0.4202491993511089
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,resnet50,abstract,beauty,regression,,9,140,20,79,0,0,790,30,10,0.7227848101265822,0.706969678401947,0.7657093405723572,0.3397528834033152,0.6158699422107929,0.5960427754540804,0.417236566622021
