phase,method_id,dataset,representation,category,target,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,best_epoch,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,regression,,0,140,20,79,0,0,790,29,9,0.7544303797468355,0.469353049993515,0.37068507075309753,0.3796607368844338,0.6991431457281578,0.6968632848103465,0.5060427841485231
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,regression,,1,140,20,79,0,0,790,30,10,0.710126582278481,0.527077853679657,0.4616366922855377,0.20539878393467248,0.6719260339978064,0.5874160882227661,0.41884339504326806
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,regression,,2,140,20,79,0,0,790,84,64,0.7886075949367088,0.35508567094802856,0.20063401758670807,0.6141929224979241,0.7846521063984255,0.7798954450626755,0.5978545130668655
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,regression,,3,140,20,79,0,0,790,60,40,0.7670886075949367,0.38657814264297485,0.24932628870010376,0.5376259961348167,0.755099808750856,0.7235431049852635,0.5304913436269891
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,regression,,4,140,20,79,0,0,790,51,31,0.7670886075949367,0.4372357130050659,0.313414990901947,0.5032726289518017,0.7507362194496636,0.6951155015195585,0.504563499473702
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,regression,,5,140,20,79,0,0,790,26,6,0.6556962025316456,0.5972132682800293,0.5014020204544067,0.053296458465446284,0.5460938949781848,0.5025992689126314,0.34670995493184836
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,regression,,6,140,20,79,0,0,790,26,6,0.6924050632911393,0.7275318503379822,0.6870542168617249,-0.39104181052598364,0.6493469343331526,0.5560169455401865,0.39576095372696507
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,regression,,7,140,20,79,0,0,790,29,9,0.7151898734177216,0.5831999182701111,0.5716800689697266,0.18952770454898293,0.668276640753902,0.5528760211477268,0.3921156453206627
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,regression,,8,140,20,79,0,0,790,91,71,0.7493670886075949,0.38273295760154724,0.2703930735588074,0.5486407757384228,0.7524762351104073,0.6936974412821759,0.5202280132796785
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,regression,,9,140,20,79,0,0,790,32,12,0.6911392405063291,0.5512385368347168,0.4597012996673584,0.26591500727192463,0.593084829277359,0.515561192965577,0.3785497541185829
