phase,method_id,dataset,representation,category,target,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,best_epoch,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,resnet50,representational,beauty,hinge,1,0,140,20,78,140,20,780,32,12,0.6884615384615385,0.6485722064971924,0.6490079760551453,0.19238172886935878,0.46384477762057813,0.465199220521516,0.3345028010948738
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,resnet50,representational,beauty,hinge,1,1,140,20,78,140,20,780,25,1,0.6294871794871795,0.7261264324188232,0.7926475405693054,0.007531617689251258,0.396554796025157,0.3869535817283826,0.2729857915976929
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,resnet50,representational,beauty,hinge,1,2,140,20,78,140,20,780,51,31,0.7115384615384616,0.5604155659675598,0.49446234107017517,0.34070423506292125,0.6020733412806294,0.5814268219107281,0.42330294589650697
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,resnet50,representational,beauty,hinge,1,3,140,20,78,140,20,780,25,1,0.6025641025641025,0.7313154935836792,0.820595383644104,0.04057603060154502,0.35163671562622767,0.36344091603361567,0.24562046774560142
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,resnet50,representational,beauty,hinge,1,4,140,20,78,140,20,780,43,23,0.7461538461538462,0.5361133217811584,0.42566007375717163,0.504831887969021,0.7222802442120155,0.7027987540871161,0.5080970691281417
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,resnet50,representational,beauty,hinge,1,5,140,20,78,140,20,780,25,5,0.7743589743589744,0.49250128865242004,0.4200616478919983,0.49800693986459077,0.7245009547100381,0.7508916702817711,0.5660853560301532
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,resnet50,representational,beauty,hinge,1,6,140,20,78,140,20,780,32,12,0.6961538461538461,0.652930498123169,0.5920626521110535,0.22660986292072438,0.619928297765,0.5856151003594207,0.4314594106005837
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,resnet50,representational,beauty,hinge,1,7,140,20,78,140,20,780,25,3,0.6666666666666666,0.5962306261062622,0.5663660764694214,0.08271712601217218,0.4424316852710035,0.4960066812496758,0.3318321200482081
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,resnet50,representational,beauty,hinge,1,8,140,20,78,140,20,780,31,11,0.7166666666666667,0.6076512336730957,0.5720923542976379,0.2068886734832197,0.645733284140988,0.6243953083126164,0.44722980952421465
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,resnet50,representational,beauty,hinge,1,9,140,20,78,140,20,780,35,15,0.732051282051282,0.5815800428390503,0.5514849424362183,0.2951771706125176,0.6336288914299075,0.6293277403612678,0.45175453314465086
