phase,method_id,dataset,representation,category,target,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,best_epoch,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,resnet50,representational,liking,regression,,0,140,20,78,0,0,780,25,1,0.6461538461538462,1.372489333152771,2.551607847213745,-1.8527634966530075,0.3287855990256503,0.4004704750700167,0.26352824474578446
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,resnet50,representational,liking,regression,,1,140,20,78,0,0,780,56,36,0.7692307692307693,0.5481135249137878,0.41479673981666565,0.5245370033287862,0.7263269150075757,0.7296504345411844,0.5273904923366206
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,resnet50,representational,liking,regression,,2,140,20,78,0,0,780,41,21,0.7525641025641026,0.5917773246765137,0.4929186999797821,0.394546123793421,0.6993478502781727,0.7019179127574224,0.5147737717448058
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,resnet50,representational,liking,regression,,3,140,20,78,0,0,780,57,37,0.7141025641025641,0.5763213634490967,0.5172714591026306,0.4015194527492828,0.6623063371916942,0.6464696318704201,0.4609491887347947
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,resnet50,representational,liking,regression,,4,140,20,78,0,0,780,25,1,0.6410256410256411,2.044985294342041,4.88175106048584,-4.60998265987005,0.3742619924050814,0.3263016799086157,0.2299739254440793
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,resnet50,representational,liking,regression,,5,140,20,78,0,0,780,60,40,0.7589743589743589,0.5438456535339355,0.45496857166290283,0.4902230462646582,0.7336803859998327,0.7427519983568694,0.5397840612788443
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,resnet50,representational,liking,regression,,6,140,20,78,0,0,780,27,7,0.7102564102564103,0.6982212066650391,0.7240258455276489,0.2057300585774886,0.5650388100330019,0.5728957276936258,0.40421589114398576
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,resnet50,representational,liking,regression,,7,140,20,78,0,0,780,30,10,0.7512820512820513,0.5535752177238464,0.5133627653121948,0.31741491771215014,0.6744503980335139,0.671468231143143,0.4756354771521234
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,resnet50,representational,liking,regression,,8,140,20,78,0,0,780,25,2,0.55,0.7660095691680908,0.8960472345352173,-0.02955689059565314,0.136912981440787,0.14928035008145096,0.09856386454315899
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,resnet50,representational,liking,regression,,9,140,20,78,0,0,780,46,26,0.7448717948717949,0.5571430325508118,0.48972898721694946,0.40182818368157514,0.6525103168469286,0.6695459203145417,0.4769705942809715
