phase,method_id,dataset,representation,category,target,mode,rater,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,best_epoch,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,cross,3,regression,,0,140,20,79,0,0,790,25,4,0.6379746835443038,1.6695142984390259,4.265371799468994,-0.053013749666843024,0.35807984630810097,0.36561683577250625,0.26196908055940576
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,cross,3,regression,,1,140,20,79,0,0,790,68,48,0.6759493670886076,1.7752526998519897,4.523513317108154,-0.2316222685178979,0.4923301360831829,0.395433392229969,0.29903290605381616
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,cross,3,regression,,2,140,20,79,0,0,790,48,28,0.6329113924050633,1.8276046514511108,5.053327560424805,-0.026554771287756074,0.3926741044197115,0.3793997612396562,0.280145486314862
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,cross,3,regression,,3,140,20,79,0,0,790,31,11,0.6253164556962025,1.7391467094421387,4.887169361114502,-0.45867172136313394,0.3629049824849062,0.3339219998095022,0.25005397482048675
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,cross,3,regression,,4,140,20,79,0,0,790,41,21,0.6708860759493671,1.6706103086471558,4.079239845275879,-0.1883185101616489,0.46028318853768724,0.410177459782626,0.3032526630231942
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,cross,3,regression,,5,140,20,79,0,0,790,47,27,0.6417721518987342,1.7183458805084229,4.51176643371582,-0.03014315906481424,0.4140834016579902,0.35345416545053315,0.25368345451902374
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,cross,3,regression,,6,140,20,79,0,0,790,35,15,0.5594936708860759,1.4954891204833984,3.5883986949920654,-0.02645508446300071,0.3241333965124795,0.21463355478658253,0.15687381092733357
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,cross,3,regression,,7,140,20,79,0,0,790,62,42,0.6556962025316456,1.528274655342102,3.557630777359009,0.01187496162001167,0.40159837160172174,0.31817618058672914,0.2370317347171362
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,cross,3,regression,,8,140,20,79,0,0,790,96,76,0.6582278481012658,1.3699610233306885,2.987964153289795,0.13330157882680194,0.4774972655286547,0.45755127995451933,0.33821991025972564
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,cross,3,regression,,9,140,20,79,0,0,790,46,26,0.6417721518987342,1.4951841831207275,3.1426658630371094,0.16210800164449002,0.44622701644402696,0.4193162315183603,0.30715408356799007
