phase,method_id,dataset,representation,category,target,mode,rater,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,best_epoch,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,regression,,0,140,20,79,0,0,790,25,5,0.5379746835443038,2.3190419673919678,6.833371639251709,-0.14821703415743825,0.10246746477787383,0.10269520345818856,0.07010861386467965
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,regression,,1,140,20,79,0,0,790,65,45,0.5088607594936709,2.3593924045562744,7.012480735778809,-0.07789985817506984,0.07027942367494688,0.022087504796614626,0.021690574328063754
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,regression,,2,140,20,79,0,0,790,35,15,0.5734177215189873,2.2345337867736816,6.020920753479004,0.019042309079076336,0.22196445613917604,0.23504398001412025,0.16180845326825222
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,regression,,3,140,20,79,0,0,790,28,8,0.5949367088607594,2.3353657722473145,6.76849365234375,-0.10477493391025305,0.23376557211304316,0.17666384842427238,0.13393380929745338
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,regression,,4,140,20,79,0,0,790,39,19,0.5088607594936709,2.3727266788482666,7.015067100524902,-0.004474665099137409,0.07960659969830886,0.05670036438950017,0.03605832992171491
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,regression,,5,140,20,79,0,0,790,29,9,0.6075949367088608,2.2091920375823975,6.1206512451171875,-0.10420836383650944,0.2450287297833711,0.23613347511831997,0.17023448568287375
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,regression,,6,140,20,79,0,0,790,26,6,0.5455696202531646,2.6385350227355957,8.71191120147705,-0.4836016645727941,0.09891923124087043,0.14168129307518318,0.10694610179866051
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,regression,,7,140,20,79,0,0,790,45,25,0.47468354430379744,2.1870076656341553,6.217259883880615,-0.11589554584816875,-0.07950592528504785,-0.09360792842687689,-0.06880257761396975
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,regression,,8,140,20,79,0,0,790,25,5,0.5835443037974684,2.254950761795044,6.067811965942383,0.007047640703850888,0.17870808513544034,0.2090885820134627,0.14837389502157422
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,regression,,9,140,20,79,0,0,790,25,1,0.41139240506329117,2.68699049949646,10.399240493774414,-0.5757419128885346,-0.17704516033700202,-0.20557024880159935,-0.14380699684516762
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,1,0,140,20,79,140,20,790,25,1,0.40759493670886077,2.241157054901123,5.96036434173584,-0.0015248258023252692,-0.2832865138334455,-0.2892035422613021,-0.20539357730205143
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,1,1,140,20,79,140,20,790,54,34,0.6215189873417721,2.2604315280914307,6.035200119018555,0.07231943298859067,0.318752619332372,0.32243292375473537,0.22863998840893432
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,1,2,140,20,79,140,20,790,51,31,0.5708860759493671,2.3079280853271484,6.449302673339844,-0.050751716553695925,0.16976600518682972,0.16005305255319846,0.11557746662018013
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,1,3,140,20,79,140,20,790,30,10,0.5367088607594936,2.330226182937622,6.421046257019043,-0.04806330456775565,0.15604674055066425,0.11672233639313638,0.08657990310785244
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,1,4,140,20,79,140,20,790,56,36,0.6025316455696202,2.2974166870117188,6.543631076812744,0.06302947009898707,0.26563479013202596,0.21782482212006202,0.16919677886343154
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,1,5,140,20,79,140,20,790,31,11,0.5189873417721519,2.291016101837158,6.649682998657227,-0.19964939508482304,0.06998905907312292,0.08679520782502577,0.06427941160639632
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,1,6,140,20,79,140,20,790,25,1,0.5215189873417722,2.5223240852355957,7.8468427658081055,-0.3362841557922758,0.08602342687663622,0.10114577325803267,0.07343632323508022
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,1,7,140,20,79,140,20,790,25,4,0.5392405063291139,2.193053722381592,6.522185802459717,-0.1706248262412562,-0.003370648355485173,0.00884532797199691,0.016679412754901757
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,1,8,140,20,79,140,20,790,25,1,0.6126582278481013,2.247767210006714,5.966684818267822,0.023596423415282897,0.2530669845364173,0.2767171154113884,0.19375885114582045
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,1,9,140,20,79,140,20,790,25,1,0.4860759493670886,2.3330764770507812,6.693055152893066,-0.014163110102735299,-0.056481923726096284,-0.10890233318293896,-0.07068479505948917
