phase,method_id,dataset,representation,category,target,mode,rater,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,best_epoch,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,regression,,0,140,20,78,0,0,780,25,3,0.6358974358974359,2.447450876235962,8.29172420501709,-0.03859917622464426,0.3040649899339769,0.3476714186615601,0.23855070393888447
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,regression,,1,140,20,78,0,0,780,79,59,0.7128205128205128,2.157743453979492,6.002923011779785,0.16219073777429915,0.5460124313831329,0.5481802561106945,0.39806201041763845
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,regression,,2,140,20,78,0,0,780,36,16,0.6858974358974359,2.2845475673675537,6.716354846954346,0.10493719675256741,0.4987985516199842,0.5226653036438148,0.3700573561842961
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,regression,,3,140,20,78,0,0,780,49,29,0.6256410256410256,2.507390260696411,7.762070178985596,0.08189744282827571,0.33736176255115424,0.37738035573050216,0.273209126342733
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,regression,,4,140,20,78,0,0,780,46,26,0.6820512820512821,2.499375820159912,7.752449989318848,0.0319979079686713,0.45122663617939907,0.4170366813400241,0.3084276427414594
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,regression,,5,140,20,78,0,0,780,25,2,0.5564102564102564,2.4820680618286133,7.577530384063721,-0.056990381472764806,0.14259598532225937,0.15566339987797764,0.11009856741301896
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,regression,,6,140,20,78,0,0,780,56,36,0.7628205128205128,2.316948890686035,6.646951675415039,0.16266249688933732,0.6422352460449474,0.6468759541487025,0.4947534897764366
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,regression,,7,140,20,78,0,0,780,26,6,0.735897435897436,2.1969051361083984,6.173960208892822,0.09812057780438999,0.5412686143536121,0.5893587405341455,0.4179298448554623
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,regression,,8,140,20,78,0,0,780,30,10,0.6717948717948717,2.6303038597106934,8.168097496032715,0.003714915505383276,0.40292667465109844,0.4848697740013869,0.33995377272754157
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,regression,,9,140,20,78,0,0,780,25,1,0.6230769230769231,2.6300976276397705,10.683602333068848,-0.2547834467021399,0.37199301711370936,0.33727349500105736,0.24416310923672382
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,1,0,140,20,78,140,20,780,25,1,0.7858974358974359,2.1739299297332764,6.0298309326171875,0.24471934866525147,0.6795909837237559,0.6933608199671106,0.5302315347640078
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,1,1,140,20,78,140,20,780,42,22,0.6397435897435897,2.1948602199554443,6.646500587463379,0.07236845418802196,0.317978981664055,0.32499858784339475,0.2307912719974606
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,1,2,140,20,78,140,20,780,28,8,0.7230769230769231,2.206556558609009,6.393331050872803,0.14798545319113832,0.46072029228525935,0.5519039795753595,0.42068177292627107
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,1,3,140,20,78,140,20,780,25,4,0.7371794871794872,2.5202102661132812,7.604405403137207,0.10054617501748098,0.5035655510400829,0.559851243908231,0.41625055374730524
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,1,4,140,20,78,140,20,780,43,23,0.6256410256410256,2.4763941764831543,7.900589942932129,0.013500543412953037,0.41371962936682394,0.33367550723580564,0.2409254345512448
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,1,5,140,20,78,140,20,780,31,11,0.7538461538461538,2.266618490219116,6.508819580078125,0.09208405735801284,0.5895919138074532,0.6152033276024729,0.45927848995269077
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,1,6,140,20,78,140,20,780,25,2,0.7192307692307692,2.5129568576812744,7.587748050689697,0.044147336632703316,0.5399191636752221,0.5399489249599109,0.4023426368009528
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,1,7,140,20,78,140,20,780,25,1,0.541025641025641,2.5115294456481934,7.598040580749512,-0.1099061147538043,0.17986801912593364,0.08358807667203863,0.06666805415361576
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,1,8,140,20,78,140,20,780,63,43,0.7051282051282052,2.466231107711792,7.608205795288086,0.07200628695818923,0.4723045163555071,0.5202321968524294,0.37291030285497445
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,1,9,140,20,78,140,20,780,25,1,0.7474358974358974,2.3892040252685547,7.246516227722168,0.14890045514637518,0.6240327672412604,0.6219313549084918,0.46206448870089306
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,2,0,140,20,78,280,40,780,31,11,0.6294871794871795,2.508511781692505,7.949545860290527,0.004260954349626922,0.35176073804541375,0.36249179360101164,0.26422432230002
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,2,1,140,20,78,280,40,780,35,15,0.6602564102564102,2.1589927673339844,6.284744739532471,0.12285777931027753,0.444852201075264,0.44071816815259596,0.3133679656479282
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,2,2,140,20,78,280,40,780,26,6,0.7166666666666667,2.281240224838257,6.611231803894043,0.11894660338730456,0.49755008777538023,0.4701839898270286,0.3472407176527017
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,2,3,140,20,78,280,40,780,33,13,0.6371794871794871,2.557936191558838,7.839012622833252,0.07279672081153066,0.31263189975288697,0.3307740737511705,0.24317042658777283
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,2,4,140,20,78,280,40,780,25,3,0.6166666666666667,2.543928384780884,8.049942016601562,-0.005148249234352198,0.3399904390826691,0.3645143972097551,0.2667773440709014
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,2,5,140,20,78,280,40,780,25,2,0.6538461538461539,2.290827989578247,6.76446533203125,0.05642408122863185,0.40632567469219794,0.38687741301255196,0.28326330450922355
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,2,6,140,20,78,280,40,780,25,4,0.7974358974358975,2.416879892349243,7.022834777832031,0.11531126380414058,0.7270612520806026,0.7211666723140365,0.5544651178529031
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,2,7,140,20,78,280,40,780,54,34,0.6525641025641026,2.4868595600128174,7.481033802032471,-0.09281405934875409,0.3172733634346514,0.36545752933198117,0.27097338139856736
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,2,8,140,20,78,280,40,780,25,5,0.6679487179487179,2.522020101547241,7.755886554718018,0.0539933365250056,0.37749313252425054,0.41205800761692685,0.2962505479933371
