phase,method_id,dataset,representation,category,target,mode,rater,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,best_epoch,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,within,1,regression,,0,140,20,78,0,0,780,25,1,0.6064102564102564,4.291902542114258,24.61862564086914,-2.0836636352915874,0.22304228958091699,0.23960671752842372,0.17080087770811012
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,within,1,regression,,1,140,20,78,0,0,780,39,19,0.7692307692307693,1.6743271350860596,4.1091628074646,0.42649692372846315,0.658980399282882,0.6759037836339986,0.49898908043487655
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,within,1,regression,,2,140,20,78,0,0,780,31,11,0.7782051282051282,1.6304588317871094,4.161192417144775,0.4454538993880889,0.6815858536720043,0.7057042731724217,0.5404691252171415
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,within,1,regression,,3,140,20,78,0,0,780,25,3,0.6884615384615385,2.1389858722686768,6.565633773803711,0.223412716646344,0.5561509341760029,0.541346937553999,0.3876422682663908
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,within,1,regression,,4,140,20,78,0,0,780,39,19,0.732051282051282,1.9436453580856323,5.336670875549316,0.33364179816296735,0.6487372561596203,0.5877469275866724,0.4190163667977685
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,within,1,regression,,5,140,20,78,0,0,780,30,10,0.7076923076923077,1.9311844110488892,5.062990188598633,0.29376301030901897,0.577909223775805,0.5691982180416224,0.40440735926788524
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,within,1,regression,,6,140,20,78,0,0,780,56,36,0.7448717948717949,1.7392374277114868,4.602290630340576,0.42023493122519917,0.6518476150586139,0.6352009685223071,0.47413876103575175
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,within,1,regression,,7,140,20,78,0,0,780,30,10,0.7217948717948718,1.7598904371261597,4.553798675537109,0.33479054339988423,0.5845332833123393,0.5623034768336435,0.3978577425296425
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,within,1,regression,,8,140,20,78,0,0,780,66,46,0.7730769230769231,1.80467689037323,5.003669738769531,0.38968863304487034,0.6278441462418414,0.6730255184687731,0.5154831179714777
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,within,1,regression,,9,140,20,78,0,0,780,38,18,0.8269230769230769,1.853273630142212,4.929184913635254,0.4210697711638325,0.729464372547227,0.7603807910304212,0.5862753727602729
