representation,metric,mean_hinge,mean_bradley_terry,difference_bradley_terry_minus_hinge,difference_ci95_low,difference_ci95_high,bradley_terry_wins_targets,target_count,higher_is_better
clip-vit-b32,pair_accuracy,0.7896369529364495,0.7903928757523769,0.0007559228159273002,0.0005158027884855304,0.0010157451762927386,11,11,True
clip-vit-b32,mae,1.2389278234135022,1.2181791066039693,-0.02074871680953283,-0.041717363277619504,-0.009306362108750738,11,11,False
clip-vit-b32,r2,0.6119672300173191,0.6222208180698575,0.010253588052538247,0.008940881492419471,0.011628869760802183,11,11,True
clip-vit-b32,pearson,0.7822534381829814,0.7887818949649872,0.006528456782005834,0.005666043109691653,0.007451349207478844,11,11,True
clip-vit-b32,spearman,0.7614065949441926,0.7624860607249994,0.0010794657808067744,0.0005791915060743715,0.0016940655784750945,11,11,True
clip-vit-b32,kendall,0.573905769923241,0.5752698629249631,0.0013640930017218707,0.0008945118572099336,0.0019385136127977114,11,11,True
resnet50,pair_accuracy,0.7545577333020549,0.754940764970587,0.0003830316685321926,0.00011440258606972539,0.0006492373622803962,8,11,True
resnet50,mae,1.406946032155644,1.3995915386893534,-0.007354493466290599,-0.014356415063142891,-0.002795336713845084,11,11,False
resnet50,r2,0.5059138204106632,0.5100380839560553,0.004124263545392178,0.0024287038805751275,0.006184299458792426,11,11,True
resnet50,pearson,0.7113389172807124,0.7141842892931808,0.0028453720124683823,0.0017184507840725736,0.0041893505927579925,11,11,True
resnet50,spearman,0.685380609093846,0.6860844120024446,0.0007038029085985558,-9.244743677330949e-05,0.0015101481565642,7,11,True
resnet50,kendall,0.5042542089834016,0.5049453573014215,0.0006911483180200295,-3.357669727596973e-05,0.0014312337086445333,7,11,True
