representation,objective,N,metric,mean_regression,mean_pairwise,difference_pairwise_minus_regression,difference_ci95_low,difference_ci95_high,pairwise_wins_targets,target_count,higher_is_better
clip-vit-b32,hinge,1,pair_accuracy,0.7979587019483262,0.7829970821470208,-0.014961619801305585,-0.016525598950091504,-0.013294406066295813,0,11,True
clip-vit-b32,hinge,1,mae,1.1594876359809527,1.2809142963452773,0.12142666036432442,0.051275572925806034,0.2540123087574136,0,11,False
clip-vit-b32,hinge,1,r2,0.6473333069875781,0.5873511365829314,-0.05998217040464688,-0.06450800779260522,-0.0548162164515353,0,11,True
clip-vit-b32,hinge,1,pearson,0.809644716907098,0.7663270941327479,-0.04331762277435016,-0.047248548467304315,-0.04002610898709351,0,11,True
clip-vit-b32,hinge,1,spearman,0.7748229324120829,0.7495093942367163,-0.025313538175366523,-0.027873644777352848,-0.022606299144448134,0,11,True
clip-vit-b32,hinge,1,kendall,0.5886122621843872,0.5609325230610649,-0.02767973912332222,-0.02990976800001856,-0.025243379925335943,0,11,True
clip-vit-b32,hinge,2,pair_accuracy,0.7979587019483262,0.7878028154772139,-0.0101558864711125,-0.011837920461783584,-0.00859010873374413,0,11,True
clip-vit-b32,hinge,2,mae,1.1594876359809527,1.2529952043836767,0.09350756840272387,0.03990115454251114,0.19437334281477064,0,11,False
clip-vit-b32,hinge,2,r2,0.6473333069875781,0.602079880243053,-0.045253426744525156,-0.05056718808100702,-0.039664022729473176,0,11,True
clip-vit-b32,hinge,2,pearson,0.809644716907098,0.7759166942213472,-0.033728022685750966,-0.037924259528911146,-0.02970486890317823,0,11,True
clip-vit-b32,hinge,2,spearman,0.7748229324120829,0.7571723193854442,-0.017650613026638798,-0.021019288033109738,-0.014823588716285798,0,11,True
clip-vit-b32,hinge,2,kendall,0.5886122621843872,0.5690663445574948,-0.019545917626892326,-0.022477177002915856,-0.017023803059121722,0,11,True
clip-vit-b32,hinge,3,pair_accuracy,0.7979587019483262,0.7888161119694593,-0.009142589978866966,-0.010135231556683066,-0.007970836595054338,0,11,True
clip-vit-b32,hinge,3,mae,1.1594876359809527,1.2404230692169884,0.08093543323603546,0.03366228233684192,0.1717530742694032,0,11,False
clip-vit-b32,hinge,3,r2,0.6473333069875781,0.6104051633568398,-0.036928143630738264,-0.0399478222203473,-0.0338564085118058,0,11,True
clip-vit-b32,hinge,3,pearson,0.809644716907098,0.7812609090244368,-0.02838380788266135,-0.031097998683617734,-0.026088059856182122,0,11,True
clip-vit-b32,hinge,3,spearman,0.7748229324120829,0.7600167357208973,-0.014806196691185476,-0.01728806067593239,-0.012355258735934991,0,11,True
