representation,metric,mean_hinge,mean_bradley_terry,difference_bradley_terry_minus_hinge,difference_ci95_low,difference_ci95_high,bradley_terry_wins_targets,target_count,higher_is_better
clip-vit-b32,pair_accuracy,0.7853562155144433,0.7878924456345343,0.002536230120090882,0.0019435248296007512,0.0034337877312561604,4,4,True
clip-vit-b32,mae,0.47730466179549697,0.48156942814588544,0.004264766350388527,-0.0009176172316074371,0.011037432625889756,2,4,False
clip-vit-b32,r2,0.5232575783906157,0.5149854197007278,-0.008272158689887912,-0.02252080651345982,0.0006180047981124703,1,4,True
clip-vit-b32,pearson,0.7692574697912626,0.7669781110148883,-0.002279358776374224,-0.007216368808590334,0.0008876218654453594,1,4,True
clip-vit-b32,spearman,0.751643027428858,0.7562602384449049,0.004617211016046868,0.002790149665055447,0.0071876328296188174,4,4,True
clip-vit-b32,kendall,0.5686702161272783,0.5729907037741905,0.00432048764691223,0.0024141264294806897,0.006276768188406168,4,4,True
resnet50,pair_accuracy,0.7234965514443362,0.7242086579032782,0.0007121064589419024,-0.00014289191820837654,0.0015671048360921813,3,4,True
resnet50,mae,0.5834980934858321,0.5853111435472965,0.0018130500614643164,-0.0020500599592924718,0.005320737734437031,1,4,False
resnet50,r2,0.30916425742286074,0.3068808272580784,-0.002283430164782385,-0.007056962603980532,0.0034644542690653868,1,4,True
resnet50,pearson,0.6409134967194934,0.6392054775560668,-0.0017080191634266106,-0.00319589959296393,0.0007186014861999823,1,4,True
resnet50,spearman,0.6198494254129203,0.620884371328341,0.001034945915420693,-0.0011492350437763144,0.0029784161946984633,3,4,True
resnet50,kendall,0.4478673134959803,0.44868836684192664,0.0008210533459463432,-0.0012867435917811448,0.002565671869984021,3,4,True
