task,category,target,mode,objective,N,pearson,spearman,pair_accuracy
Abstract Beauty,abstract,beauty,cross,bradley_terry,1,0.356484452422522,0.3279753716917844,0.6269113924050633
Abstract Beauty,abstract,beauty,cross,bradley_terry,2,0.3731017578052166,0.34079746085000345,0.6366075949367089
Abstract Beauty,abstract,beauty,cross,bradley_terry,3,0.3875869103462424,0.3519658100405602,0.6380506329113924
Abstract Beauty,abstract,beauty,cross,bradley_terry,4,0.3775462605396501,0.3426079996960788,0.6336455696202532
Abstract Beauty,abstract,beauty,cross,bradley_terry,5,0.38446478348065055,0.3507007620273111,0.6341012658227848
Abstract Beauty,abstract,beauty,cross,bradley_terry,6,0.3862519920668433,0.3530318989607437,0.6368607594936708
Abstract Beauty,abstract,beauty,cross,bradley_terry,7,0.39596092878794537,0.3641584022629353,0.6411645569620253
Abstract Beauty,abstract,beauty,cross,bradley_terry,8,0.3892590796013337,0.3500177353874616,0.6346075949367088
Abstract Beauty,abstract,beauty,cross,bradley_terry,9,0.3913740389272425,0.35564305783895556,0.6384303797468355
Abstract Beauty,abstract,beauty,cross,bradley_terry,10,0.39744998371515405,0.36610133898149655,0.6427341772151898
Abstract Beauty,abstract,beauty,cross,hinge,1,0.36173336791933947,0.3271393755469065,0.6244556962025317
Abstract Beauty,abstract,beauty,cross,hinge,2,0.38080758186671804,0.34255822749764164,0.6367088607594937
Abstract Beauty,abstract,beauty,cross,hinge,3,0.3842628651840096,0.34545733633484565,0.6366835443037975
Abstract Beauty,abstract,beauty,cross,hinge,4,0.38118781358757586,0.34297084933172045,0.6330379746835443
Abstract Beauty,abstract,beauty,cross,hinge,5,0.3774078337075912,0.3430409181079091,0.6300253164556961
Abstract Beauty,abstract,beauty,cross,hinge,6,0.3940006087521624,0.35607979546887647,0.6383037974683544
Abstract Beauty,abstract,beauty,cross,hinge,7,0.39401845281010084,0.35941645083453444,0.6382025316455696
Abstract Beauty,abstract,beauty,cross,hinge,8,0.39200202803679873,0.3539466116214989,0.6370126582278481
