dataset,representation,category,target,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
sidhu,clip-vit-b32,abstract,beauty,hinge,1,0,140,20,78,140,20,780,16,0.6820512820512821,0.7244910001754761,0.880578875541687,0.166043771789269,0.4818855579414958,0.4112205115080244,0.29186960128863015
sidhu,clip-vit-b32,abstract,beauty,hinge,2,0,140,20,78,280,40,780,16,0.6666666666666666,0.7093933820724487,0.8148579001426697,0.22828509717728462,0.5938498084506136,0.4757080830343789,0.33995795664968587
sidhu,clip-vit-b32,abstract,beauty,hinge,3,0,140,20,78,420,60,780,16,0.6846153846153846,0.6495441794395447,0.6973746418952942,0.3395482160878862,0.6293840140024258,0.49257931669120514,0.3640021343302138
sidhu,clip-vit-b32,abstract,beauty,hinge,4,0,140,20,78,560,80,780,16,0.6615384615384615,0.7026799321174622,0.7697045803070068,0.2710477923700477,0.5763308624786987,0.45009770210853695,0.32058903574037173
sidhu,clip-vit-b32,abstract,beauty,hinge,5,0,140,20,78,700,100,780,16,0.6897435897435897,0.6397996544837952,0.6943226456642151,0.34243866477331053,0.5970106594591016,0.5218573571076615,0.38136737376615054
sidhu,clip-vit-b32,abstract,beauty,hinge,6,0,140,20,78,840,100,780,17,0.6923076923076923,0.6129648089408875,0.708293080329895,0.32920784134428327,0.6249901765158938,0.580969910415012,0.43413098589842014
sidhu,clip-vit-b32,abstract,beauty,hinge,7,0,140,20,78,980,100,780,17,0.6858974358974359,0.625330924987793,0.6803697943687439,0.3556526547418878,0.6138538835474492,0.5257147231236524,0.3887142058352007
sidhu,clip-vit-b32,abstract,beauty,hinge,8,0,140,20,78,1120,100,780,16,0.6846153846153846,0.6284298300743103,0.69430011510849,0.342459931190784,0.6251441536005586,0.5285223796992261,0.39205367495749627
sidhu,clip-vit-b32,abstract,beauty,hinge,9,0,140,20,78,1260,100,780,16,0.7333333333333333,0.6555522680282593,0.7582627534866333,0.28188383091555813,0.6595443175674518,0.5606080766912563,0.41142259586681046
sidhu,clip-vit-b32,abstract,beauty,hinge,10,0,140,20,78,1400,100,780,16,0.7141025641025641,0.5888204574584961,0.6698465943336487,0.3656187328751167,0.6276142361714392,0.5907334729210614,0.4408099241430112
sidhu,clip-vit-b32,abstract,beauty,bradley_terry,1,0,140,20,78,140,20,780,16,0.6628205128205128,0.7230228781700134,0.8735929727554321,0.1726597823012851,0.5141362598403703,0.40282283598468654,0.2825190877462026
sidhu,clip-vit-b32,abstract,beauty,bradley_terry,2,0,140,20,78,280,40,780,16,0.6730769230769231,0.700394332408905,0.8124982118606567,0.23051988283540226,0.5996977539298314,0.49318637757241024,0.3579910899100818
sidhu,clip-vit-b32,abstract,beauty,bradley_terry,3,0,140,20,78,420,60,780,16,0.6871794871794872,0.6818902492523193,0.7502877116203308,0.2894365886890917,0.6307069578742812,0.5033040589258292,0.3640021343302138
sidhu,clip-vit-b32,abstract,beauty,bradley_terry,4,0,140,20,78,560,80,780,16,0.6717948717948717,0.6568793654441833,0.6875264644622803,0.3488749529499189,0.6239061069136369,0.49570315080907323,0.3553195146122454
sidhu,clip-vit-b32,abstract,beauty,bradley_terry,5,0,140,20,78,700,100,780,16,0.6858974358974359,0.6461921334266663,0.7051109671592712,0.33222150367873005,0.5983979122365781,0.49825786535081157,0.3633342405057547
sidhu,clip-vit-b32,abstract,beauty,bradley_terry,6,0,140,20,78,840,100,780,17,0.6897435897435897,0.624577522277832,0.7396907806396484,0.2994725395038639,0.6064158819135628,0.5731160602644205,0.4354667735473383
sidhu,clip-vit-b32,abstract,beauty,bradley_terry,7,0,140,20,78,980,100,780,16,0.7153846153846154,0.6029908657073975,0.6271638870239258,0.4060415477311853,0.6499690580967581,0.5687781043841421,0.41609785263802423
sidhu,clip-vit-b32,abstract,beauty,bradley_terry,8,0,140,20,78,1120,100,780,16,0.6756410256410257,0.6356737613677979,0.6769318580627441,0.3589086273799805,0.6345798142974672,0.5073637785688887,0.37068107257480487
sidhu,clip-vit-b32,abstract,beauty,bradley_terry,9,0,140,20,78,1260,100,780,16,0.7346153846153847,0.6644079089164734,0.7574760913848877,0.2826288431611803,0.63847673658438,0.5412580111028423,0.40073629467546473
sidhu,clip-vit-b32,abstract,beauty,bradley_terry,10,0,140,20,78,1400,100,780,16,0.7025641025641025,0.6133900284767151,0.6926383376121521,0.3440336752293396,0.6311525550650003,0.5787187263138763,0.43413098589842014
sidhu,clip-vit-b32,abstract,beauty,hinge,1,1,140,20,78,140,20,780,16,0.6564102564102564,0.741184651851654,1.0342856645584106,-0.03959871353686695,0.35303933686736855,0.3743518425666454,0.2738364680282342
sidhu,clip-vit-b32,abstract,beauty,hinge,2,1,140,20,78,280,40,780,18,0.6538461538461539,0.7445367574691772,0.9416059851646423,0.0535568735913553,0.4869888773046114,0.44669280673830797,0.32192482338929
sidhu,clip-vit-b32,abstract,beauty,hinge,3,1,140,20,78,420,60,780,34,0.6756410256410257,0.6756004691123962,0.7456047534942627,0.2505651212751965,0.5843378101762937,0.5447451660430107,0.3907178873085781
sidhu,clip-vit-b32,abstract,beauty,hinge,4,1,140,20,78,560,80,780,16,0.6961538461538461,0.6532247066497803,0.763387143611908,0.2326913306546331,0.4907726559576986,0.4852282818835974,0.35865898373454097
sidhu,clip-vit-b32,abstract,beauty,hinge,5,1,140,20,78,700,100,780,16,0.6858974358974359,0.7259300351142883,0.9937915205955505,0.0011032709871596769,0.5082580217585928,0.48830150815872225,0.365337921979132
sidhu,clip-vit-b32,abstract,beauty,hinge,6,1,140,20,78,840,100,780,20,0.6961538461538461,0.6882146000862122,0.7897839546203613,0.20615891083765625,0.5475475351495334,0.5259390447627201,0.3726847540481822
sidhu,clip-vit-b32,abstract,beauty,hinge,7,1,140,20,78,980,100,780,26,0.7102564102564103,0.6530637741088867,0.6789501309394836,0.31756203622336443,0.5873465086119722,0.5713671467390509,0.4080831267445149
sidhu,clip-vit-b32,abstract,beauty,hinge,8,1,140,20,78,1120,100,780,16,0.6730769230769231,0.68515545129776,0.786312997341156,0.20964779003793554,0.5666068749633268,0.5561907206890517,0.4067473390955967
sidhu,clip-vit-b32,abstract,beauty,hinge,9,1,140,20,78,1260,100,780,16,0.7076923076923077,0.6329333186149597,0.7425097823143005,0.2536759324269533,0.6022511371120345,0.5788921246555088,0.42144100323369704
sidhu,clip-vit-b32,abstract,beauty,hinge,10,1,140,20,78,1400,100,780,18,0.7051282051282052,0.6447449922561646,0.7409514784812927,0.25524219259509007,0.5831542532123422,0.5369546006706778,0.390049993484119
sidhu,clip-vit-b32,abstract,beauty,bradley_terry,1,1,140,20,78,140,20,780,17,0.6794871794871795,0.7157359719276428,0.8927441239356995,0.10266989927219472,0.41878519946476445,0.4146705477728098,0.30322379630443497
sidhu,clip-vit-b32,abstract,beauty,bradley_terry,2,1,140,20,78,280,40,780,18,0.6423076923076924,0.7650171518325806,0.9391676187515259,0.056007833349641434,0.5317548004320543,0.5123182023828459,0.3499763640165725
sidhu,clip-vit-b32,abstract,beauty,bradley_terry,3,1,140,20,78,420,60,780,18,0.6705128205128205,0.7738884687423706,1.0181031227111816,-0.02333312658483533,0.5421265205895907,0.4961553086395968,0.3499763640165725
sidhu,clip-vit-b32,abstract,beauty,bradley_terry,4,1,140,20,78,560,80,780,16,0.7051282051282052,0.6606749892234802,0.7399235963821411,0.2562754888500828,0.5216567163770378,0.5174528931964288,0.38069947994169145
sidhu,clip-vit-b32,abstract,beauty,bradley_terry,5,1,140,20,78,700,100,780,16,0.6884615384615385,0.7922636866569519,1.0879639387130737,-0.09355289921547216,0.5129482410557102,0.48900974137438885,0.35932687755900006
