dataset,representation,category,target,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
sidhu,clip-vit-b32,abstract,beauty,regression,,0,140,20,78,0,0,780,24,0.5923076923076923,1.4152096509933472,2.789353132247925,-1.6416695292060504,0.38417665098040743,0.24005463721155806,0.1716487128859907
sidhu,clip-vit-b32,abstract,beauty,hinge,1,0,140,20,78,140,20,780,18,0.4512820512820513,0.8107889294624329,1.1659603118896484,-0.10422805209223451,-0.14424123475350825,-0.14162224474448276,-0.0935051354242751
sidhu,clip-vit-b32,abstract,beauty,hinge,2,0,140,20,78,280,40,780,40,0.45897435897435895,0.8394123911857605,1.2651079893112183,-0.19812626769044295,-0.08596755207963724,-0.07629996450647121,-0.04942414300997398
sidhu,clip-vit-b32,abstract,beauty,hinge,3,0,140,20,78,420,60,780,24,0.4230769230769231,0.8572430610656738,1.2841649055480957,-0.21617422917800577,-0.2036417518665985,-0.1655758553487023,-0.11420984398250746
sidhu,clip-vit-b32,abstract,beauty,hinge,4,0,140,20,78,560,80,780,16,0.5397435897435897,0.8953424096107483,1.4721273183822632,-0.3941849234998531,0.13360174739955255,0.12764719737507274,0.09818039219548887
sidhu,clip-vit-b32,abstract,beauty,hinge,5,0,140,20,78,700,100,780,21,0.4807692307692308,0.7840214967727661,1.0953636169433594,-0.03736901322152342,-0.06103276329668006,-0.05071487778401285,-0.03139100974957807
sidhu,clip-vit-b32,abstract,beauty,hinge,6,0,140,20,78,840,100,780,21,0.5448717948717948,0.7959705591201782,1.1562517881393433,-0.0950334263003969,0.10935902773235284,0.10581829985507119,0.0761398959883383
sidhu,clip-vit-b32,abstract,beauty,hinge,7,0,140,20,78,980,100,780,25,0.43333333333333335,1.0412033796310425,1.6248927116394043,-0.5388620096383714,-0.10932216285618779,-0.14254548316798227,-0.08682619717968401
sidhu,clip-vit-b32,abstract,beauty,hinge,8,0,140,20,78,1120,100,780,36,0.4666666666666667,0.8465086221694946,1.2671011686325073,-0.2000139573283395,-0.06398319549771259,-0.13392015981419256,-0.09617671072211152
sidhu,clip-vit-b32,abstract,beauty,hinge,9,0,140,20,78,1260,100,780,21,0.4641025641025641,0.7852187752723694,1.0799857378005981,-0.022805212560031762,-0.04803707764040155,-0.07088700498239202,-0.043413098589842006
sidhu,clip-vit-b32,abstract,beauty,hinge,10,0,140,20,78,1400,100,780,18,0.4641025641025641,0.8030807375907898,1.1736382246017456,-0.11149938383392599,-0.16049847652720928,-0.15542023269020797,-0.11554563163142566
sidhu,clip-vit-b32,abstract,beauty,bradley_terry,1,0,140,20,78,140,20,780,49,0.4576923076923077,0.8076326847076416,1.1143728494644165,-0.055371814362578986,-0.04105628684555995,-0.043809560260304366,-0.019368920909314125
sidhu,clip-vit-b32,abstract,beauty,bradley_terry,2,0,140,20,78,280,40,780,100,0.4576923076923077,0.805720329284668,1.117230772972107,-0.05807835271612971,-0.0771605217587421,-0.0827626334709676,-0.05142782448335131
sidhu,clip-vit-b32,abstract,beauty,bradley_terry,3,0,140,20,78,420,60,780,94,0.5371794871794872,0.8151293396949768,1.22745680809021,-0.16246848352054988,0.0989015573177312,0.06957170640644755,0.04808835536105576
sidhu,clip-vit-b32,abstract,beauty,bradley_terry,4,0,140,20,78,560,80,780,29,0.4512820512820513,1.0668739080429077,1.8006173372268677,-0.7052827075486894,-0.08259409915535798,-0.11204067388742389,-0.07480410833942008
sidhu,clip-vit-b32,abstract,beauty,bradley_terry,5,0,140,20,78,700,100,780,100,0.5064102564102564,0.7898505330085754,1.1132562160491943,-0.054314348234988596,0.006281442402723769,-0.00160618191485527,0.0033394691222955394
sidhu,clip-vit-b32,abstract,beauty,bradley_terry,6,0,140,20,78,840,100,780,24,0.5653846153846154,0.7582488059997559,1.1078346967697144,-0.049180056783295845,0.09320810231383803,0.17998090417563267,0.12022088840263942
sidhu,clip-vit-b32,abstract,beauty,bradley_terry,7,0,140,20,78,980,100,780,100,0.5858974358974359,0.7662298083305359,1.0797780752182007,-0.0226086883184351,0.08567344312723435,0.20537628437271435,0.1262319328227714
sidhu,clip-vit-b32,abstract,beauty,bradley_terry,8,0,140,20,78,1120,100,780,62,0.4935897435897436,0.8174343109130859,1.109832525253296,-0.051072072666964896,0.014141904665848415,-0.041457199345634445,-0.01602945178701859
sidhu,clip-vit-b32,abstract,beauty,bradley_terry,9,0,140,20,78,1260,100,780,100,0.5525641025641026,0.7881761193275452,1.1143457889556885,-0.05534623159860996,0.133456412634942,0.1933109493587622,0.1262319328227714
sidhu,clip-vit-b32,abstract,beauty,bradley_terry,10,0,140,20,78,1400,100,780,24,0.5282051282051282,0.8114770650863647,1.25349760055542,-0.18713059079704308,0.02754973938499461,0.06395639325529999,0.043413098589842006
sidhu,clip-vit-b32,abstract,beauty,regression,,1,140,20,78,0,0,780,60,0.5974358974358974,0.8316975235939026,1.0368772745132446,-0.042203607766719387,0.31615001278419186,0.2848488699367755,0.18901395232192753
sidhu,clip-vit-b32,abstract,beauty,hinge,1,1,140,20,78,140,20,780,27,0.491025641025641,0.9398318529129028,1.307281494140625,-0.3139970145976758,-0.09054516624019016,-0.006272922767332977,-0.011354195015804834
sidhu,clip-vit-b32,abstract,beauty,hinge,2,1,140,20,78,280,40,780,41,0.5512820512820513,0.8295394778251648,0.9707087278366089,0.02430483841388653,0.16734674676899886,0.14795750696578328,0.09016566630197956
sidhu,clip-vit-b32,abstract,beauty,hinge,3,1,140,20,78,420,60,780,16,0.4717948717948718,0.8388553261756897,1.017200231552124,-0.02242566215834163,0.03588945956465395,0.04116605566062266,0.01870102708485502
sidhu,clip-vit-b32,abstract,beauty,hinge,4,1,140,20,78,560,80,780,33,0.6115384615384616,1.080039143562317,1.6863808631896973,-0.695043980629614,0.2141248258703854,0.24853927061215253,0.17432028818382717
sidhu,clip-vit-b32,abstract,beauty,hinge,5,1,140,20,78,700,100,780,31,0.4166666666666667,0.8578691482543945,1.0643855333328247,-0.06985325957291266,-0.21694693549943622,-0.20407234228565507,-0.1435971722587082
