dataset,representation,category,target,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
sidhu,resnet50,abstract,beauty,regression,,0,140,20,78,0,0,780,64,0.5576923076923077,0.9698100090026855,1.5604090690612793,-0.4777925422500684,0.18920103937261956,0.17036910688988455,0.11420984398250746
sidhu,resnet50,abstract,beauty,hinge,1,0,140,20,78,140,20,780,34,0.4807692307692308,0.7883750200271606,1.1076467037200928,-0.04900185760206144,0.04247425558969553,0.04073631454920334,0.02404417768052788
sidhu,resnet50,abstract,beauty,hinge,2,0,140,20,78,280,40,780,36,0.5743589743589743,0.7803950905799866,1.08830988407135,-0.030688660989406813,0.14100696813147806,0.17354352941451978,0.11220616250913011
sidhu,resnet50,abstract,beauty,hinge,3,0,140,20,78,420,60,780,52,0.5192307692307693,0.7801980972290039,1.0871713161468506,-0.02961049002917937,0.008023874637729023,0.08720176616478019,0.056103081254565056
sidhu,resnet50,abstract,beauty,hinge,4,0,140,20,78,560,80,780,22,0.5551282051282052,0.7845973372459412,1.0979360342025757,-0.03980528799814875,0.11521836636075022,0.1652723249080997,0.11287405633358923
sidhu,resnet50,abstract,beauty,hinge,5,0,140,20,78,700,100,780,28,0.6217948717948718,0.7978986501693726,1.1378809213638306,-0.0776353515105963,0.35533578878312255,0.3224252105300807,0.22174074972042382
sidhu,resnet50,abstract,beauty,hinge,6,0,140,20,78,840,100,780,19,0.47307692307692306,0.8582354784011841,1.2441833019256592,-0.1783095967125523,-0.029051716137473704,-0.04865340020825372,-0.028719434451741636
sidhu,resnet50,abstract,beauty,hinge,7,0,140,20,78,980,100,780,20,0.5333333333333333,0.7976879477500916,1.1697849035263062,-0.10785020383281219,-0.003437128185396432,0.03364129050011825,0.02471207150498699
sidhu,resnet50,abstract,beauty,hinge,8,0,140,20,78,1120,100,780,32,0.48205128205128206,0.7815454006195068,1.0880837440490723,-0.030474593785058568,-0.05564783703448484,-0.10078475338174522,-0.06612148862145167
sidhu,resnet50,abstract,beauty,hinge,9,0,140,20,78,1260,100,780,35,0.43333333333333335,0.7798187136650085,1.0864235162734985,-0.02890235137795405,-0.152569234337534,-0.24416494526138457,-0.15695504874789035
sidhu,resnet50,abstract,beauty,hinge,10,0,140,20,78,1400,100,780,25,0.5846153846153846,0.7846704125404358,1.097091555595398,-0.0390056921453652,0.24781321997033956,0.22323399196149896,0.154951367274513
sidhu,resnet50,abstract,beauty,bradley_terry,1,0,140,20,78,140,20,780,100,0.5833333333333334,0.7956315279006958,1.172866702079773,-0.11076877206833458,0.37086080260360177,0.3026451434841465,0.2117223423535372
sidhu,resnet50,abstract,beauty,bradley_terry,2,0,140,20,78,280,40,780,100,0.4115384615384615,0.8269537687301636,1.249711036682129,-0.18354456774657835,-0.18821082797512645,-0.19881243859468375,-0.136250340189658
sidhu,resnet50,abstract,beauty,bradley_terry,3,0,140,20,78,420,60,780,66,0.5384615384615384,0.7777641415596008,1.0843826532363892,-0.02696961799890185,0.06003125954885036,0.027039503417012337,0.01870102708485502
sidhu,resnet50,abstract,beauty,bradley_terry,4,0,140,20,78,560,80,780,30,0.5628205128205128,0.7708339691162109,1.0387550592422485,0.016242367120650303,0.1653596299711353,0.1866965151739645,0.12556403899831228
sidhu,resnet50,abstract,beauty,bradley_terry,5,0,140,20,78,700,100,780,100,0.5256410256410257,0.794535219669342,1.0776182413101196,-0.020563154065648792,0.09157594316639006,0.056798133697756034,0.048756249185514876
sidhu,resnet50,abstract,beauty,bradley_terry,6,0,140,20,78,840,100,780,20,0.5358974358974359,0.9275140166282654,1.488918662071228,-0.41008715565398557,0.04670162082857132,0.04757839656445295,0.0340625850474145
sidhu,resnet50,abstract,beauty,bradley_terry,7,0,140,20,78,980,100,780,22,0.517948717948718,0.78599613904953,1.1436893939971924,-0.08313614656847923,-0.04651057022056193,-0.008309145811495373,-0.013357876489182158
sidhu,resnet50,abstract,beauty,bradley_terry,8,0,140,20,78,1120,100,780,82,0.49615384615384617,0.780743420124054,1.0869336128234863,-0.029385373366036527,0.05903174533159472,-0.028468625908182776,-0.028719434451741636
sidhu,resnet50,abstract,beauty,bradley_terry,9,0,140,20,78,1260,100,780,31,0.40384615384615385,0.8080933690071106,1.1622167825698853,-0.10068262282083462,-0.13969463945431926,-0.16695438943310564,-0.11087037486021191
sidhu,resnet50,abstract,beauty,bradley_terry,10,0,140,20,78,1400,100,780,100,0.441025641025641,0.7892831563949585,1.0764211416244507,-0.01942964954588766,-0.12545158112197896,-0.15444640585994138,-0.10753090573791638
sidhu,resnet50,abstract,beauty,regression,,1,140,20,78,0,0,780,63,0.5833333333333334,0.9536175727844238,1.4109880924224854,-0.41823626326130037,0.3087004026383511,0.27359302061635943,0.18567448319963198
sidhu,resnet50,abstract,beauty,hinge,1,1,140,20,78,140,20,780,37,0.5064102564102564,0.8306959271430969,1.0148470401763916,-0.020060165234911498,0.0884193003952305,0.07101302689228764,0.04742046153659666
sidhu,resnet50,abstract,beauty,hinge,2,1,140,20,78,280,40,780,17,0.46923076923076923,0.8491496443748474,1.0299478769302368,-0.03523867730115793,-0.10507501107349526,-0.08266093388566197,-0.05476729360564685
sidhu,resnet50,abstract,beauty,hinge,3,1,140,20,78,420,60,780,67,0.4423076923076923,0.8781359791755676,1.0882748365402222,-0.09386533504779293,-0.1268628740181157,-0.08761856639532835,-0.06612148862145167
