dataset,representation,category,target,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
sidhu,resnet50,abstract,liking,hinge,1,0,140,20,78,140,20,780,34,0.6192307692307693,0.5549519658088684,0.5182433724403381,0.06006621626307873,0.40202731222234434,0.33757315074650485,0.22985866300637395
sidhu,resnet50,abstract,liking,hinge,2,0,140,20,78,280,40,780,17,0.6166666666666667,0.5459766387939453,0.49424490332603455,0.10359203316282595,0.4038947236695094,0.3723348616904978,0.25331362861926926
sidhu,resnet50,abstract,liking,hinge,3,0,140,20,78,420,60,780,19,0.6141025641025641,0.5615630745887756,0.5517640709877014,-0.0007302828091619862,0.35738539814337855,0.3658328531660392,0.25331362861926926
sidhu,resnet50,abstract,liking,hinge,4,0,140,20,78,560,80,780,34,0.6166666666666667,0.6509290933609009,0.6503556966781616,-0.17954493189341836,0.296805146143015,0.3229246568334248,0.22516766988379489
sidhu,resnet50,abstract,liking,hinge,5,0,140,20,78,700,100,780,20,0.6474358974358975,0.5500110983848572,0.5093082785606384,0.07627163113013169,0.4404813395231031,0.4041491641010299,0.27408802673354793
sidhu,resnet50,abstract,liking,hinge,6,0,140,20,78,840,100,780,18,0.6243589743589744,0.5838270783424377,0.5773853063583374,-0.04719912697849593,0.2792787898397364,0.3259606141211098,0.22181696051052413
sidhu,resnet50,abstract,liking,hinge,7,0,140,20,78,980,100,780,16,0.6256410256410256,0.5477476119995117,0.5355871915817261,0.028609793903951464,0.34988885548864346,0.37176561969905686,0.26269561486442733
sidhu,resnet50,abstract,liking,hinge,8,0,140,20,78,1120,100,780,24,0.6230769230769231,0.5805585384368896,0.5242815613746643,0.049114513370304924,0.364241626847047,0.3348913884757164,0.23521979800360715
sidhu,resnet50,abstract,liking,hinge,9,0,140,20,78,1260,100,780,24,0.6243589743589744,0.5588012337684631,0.5057148337364197,0.08278890633220504,0.41088716717786156,0.3844660410192056,0.25934490549115663
sidhu,resnet50,abstract,liking,hinge,10,0,140,20,78,1400,100,780,16,0.6102564102564103,0.5728947520256042,0.5663284063339233,-0.027145260019721507,0.39637328759999946,0.357812865997738,0.24929277737134434
sidhu,resnet50,abstract,liking,bradley_terry,1,0,140,20,78,140,20,780,20,0.6525641025641026,0.5470694899559021,0.5230643153190613,0.051322364466629855,0.4352885828411672,0.3873881499086024,0.2673866079870064
sidhu,resnet50,abstract,liking,bradley_terry,2,0,140,20,78,280,40,780,17,0.5948717948717949,0.550804853439331,0.5327504277229309,0.033754797050276064,0.3573666549345944,0.296714225583078,0.19970227864693713
sidhu,resnet50,abstract,liking,bradley_terry,3,0,140,20,78,420,60,780,19,0.6153846153846154,0.5636864304542542,0.5432953834533691,0.014629365374468573,0.31802251190674724,0.3359033742382781,0.22784823738241147
sidhu,resnet50,abstract,liking,bradley_terry,4,0,140,20,78,560,80,780,16,0.6294871794871795,0.5688619613647461,0.5782226920127869,-0.04871811606411569,0.32040962342580315,0.2881249964233359,0.2043932717695162
sidhu,resnet50,abstract,liking,bradley_terry,5,0,140,20,78,700,100,780,20,0.6102564102564103,0.5798963904380798,0.5824102759361267,-0.05631279175279014,0.33435545603060746,0.31429747820758674,0.2151155417639826
sidhu,resnet50,abstract,liking,bradley_terry,6,0,140,20,78,840,100,780,19,0.6371794871794871,0.5609882473945618,0.546157717704773,0.009437931371537811,0.37977974078967236,0.38581957197663186,0.2693970336109689
sidhu,resnet50,abstract,liking,bradley_terry,7,0,140,20,78,980,100,780,18,0.6333333333333333,0.5509957671165466,0.5138888359069824,0.0679637717699001,0.43063182362675434,0.4178489213617083,0.29553256672248074
