dataset,representation,category,target,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
sidhu,resnet50,representational,beauty,hinge,1,0,140,20,76,140,20,760,16,0.5671052631578948,0.7074379920959473,0.7628755569458008,0.03163867013529387,0.2236071415609331,0.19774420717469668,0.13637982397498352
sidhu,resnet50,representational,beauty,hinge,2,0,140,20,76,280,40,760,20,0.6697368421052632,0.6645444631576538,0.6912837028503418,0.12251432669823037,0.45050857918249676,0.4329619259551624,0.3135329973857869
sidhu,resnet50,representational,beauty,hinge,3,0,140,20,76,420,60,760,30,0.6276315789473684,0.6997523307800293,0.8830726742744446,-0.12093431079703709,0.34045262391509823,0.33696083201291127,0.2425311302647903
sidhu,resnet50,representational,beauty,hinge,4,0,140,20,76,560,80,760,38,0.65,0.6744346022605896,0.7246066331863403,0.08021560864913824,0.44200465024550795,0.42593478806192436,0.30298816563514386
sidhu,resnet50,representational,beauty,hinge,5,0,140,20,76,700,100,760,22,0.6342105263157894,0.7216566801071167,0.7797912955284119,0.010166556576890251,0.3709702294381714,0.32331670046144917,0.2221444555468804
sidhu,resnet50,representational,beauty,hinge,6,0,140,20,76,840,100,760,19,0.6394736842105263,0.6886747479438782,0.7609447240829468,0.034089552289489955,0.4066425282653654,0.386738670669097,0.26783872646633367
sidhu,resnet50,representational,beauty,hinge,7,0,140,20,76,980,100,760,18,0.6657894736842105,0.6871070265769958,0.749913215637207,0.048092426536227806,0.44947194160340587,0.45565657362593087,0.334622660887073
sidhu,resnet50,representational,beauty,hinge,8,0,140,20,76,1120,100,760,25,0.656578947368421,0.6682384014129639,0.677650511264801,0.1398196588641767,0.4567687837043195,0.41201722702045307,0.2896313787509959
sidhu,resnet50,representational,beauty,hinge,9,0,140,20,76,1260,100,760,17,0.631578947368421,0.6992706656455994,0.7518553733825684,0.04562729689140854,0.40062477190076606,0.3799576193168673,0.2643237825494526
sidhu,resnet50,representational,beauty,hinge,10,0,140,20,76,1400,100,760,22,0.675,0.6421296000480652,0.6967974901199341,0.11551530491549244,0.46423002907977207,0.4763551860196319,0.3493854253379733
sidhu,resnet50,representational,beauty,bradley_terry,1,0,140,20,76,140,20,760,16,0.5815789473684211,0.6987020373344421,0.7420448660850525,0.05808029883600074,0.25794512114043755,0.22701483408018788,0.15957845382639826
sidhu,resnet50,representational,beauty,bradley_terry,2,0,140,20,76,280,40,760,18,0.6526315789473685,0.6877375245094299,0.6996297240257263,0.1119202517485186,0.39221046579405083,0.3902112251922146,0.28681942361749113
sidhu,resnet50,representational,beauty,bradley_terry,3,0,140,20,76,420,60,760,23,0.6684210526315789,0.6614484786987305,0.7637490034103394,0.03052990580069248,0.400951077514037,0.4309658906780947,0.3008791992850152
sidhu,resnet50,representational,beauty,bradley_terry,4,0,140,20,76,560,80,760,18,0.6368421052631579,0.6959806084632874,0.7703010439872742,0.022213146812007367,0.38917163915903075,0.38903547838517477,0.27346263673334326
sidhu,resnet50,representational,beauty,bradley_terry,5,0,140,20,76,700,100,760,23,0.6276315789473684,0.690631628036499,0.7347050905227661,0.0673969422048063,0.39245581587647393,0.34588830486171357,0.24323411904816652
sidhu,resnet50,representational,beauty,bradley_terry,6,0,140,20,76,840,100,760,20,0.6736842105263158,0.6685884594917297,0.7126004695892334,0.09545568017719952,0.4144682734477101,0.4476040751451582,0.3086120759021534
sidhu,resnet50,representational,beauty,bradley_terry,7,0,140,20,76,980,100,760,17,0.6552631578947369,0.6652506589889526,0.7196924090385437,0.08645344649880082,0.4730609213397656,0.4420944709214716,0.3177509300860441
sidhu,resnet50,representational,beauty,bradley_terry,8,0,140,20,76,1120,100,760,16,0.6381578947368421,0.6770069599151611,0.7079492807388306,0.10135978901371612,0.4370723690469731,0.38397703282000345,0.2643237825494526
sidhu,resnet50,representational,beauty,bradley_terry,9,0,140,20,76,1260,100,760,16,0.6434210526315789,0.6751214861869812,0.7177669405937195,0.08889766479618222,0.41071522521815496,0.3672158050824359,0.2608088386325716
sidhu,resnet50,representational,beauty,bradley_terry,10,0,140,20,76,1400,100,760,17,0.6368421052631579,0.6519676446914673,0.6938516497612,0.11925465778973143,0.4375158259063028,0.4321689804341355,0.30298816563514386
sidhu,resnet50,representational,beauty,hinge,1,1,140,20,76,140,20,760,16,0.6434210526315789,0.7052269577980042,0.718982458114624,0.1698198527849103,0.4200593512505293,0.4116211526578658,0.29094208574127667
sidhu,resnet50,representational,beauty,hinge,2,1,140,20,76,280,40,760,18,0.675,0.6793482899665833,0.7067743539810181,0.18391601718720751,0.4414885587502795,0.4414259858459665,0.3092359049172699
sidhu,resnet50,representational,beauty,hinge,3,1,140,20,76,420,60,760,16,0.618421052631579,0.7400638461112976,0.8183138370513916,0.05512587629152843,0.3447937797718623,0.33225553033817573,0.2304317607745299
sidhu,resnet50,representational,beauty,hinge,4,1,140,20,76,560,80,760,16,0.6644736842105263,0.6672524809837341,0.6620770692825317,0.23552624501002384,0.4885823140939465,0.4615647561606786,0.32190085665449597
sidhu,resnet50,representational,beauty,hinge,5,1,140,20,76,700,100,760,17,0.6894736842105263,0.6632040143013,0.6448413729667664,0.255427551834963,0.5599205543057906,0.5629968925930268,0.3887436574898558
sidhu,resnet50,representational,beauty,hinge,6,1,140,20,76,840,100,760,16,0.6644736842105263,0.6452578902244568,0.6762747168540955,0.21913276358770295,0.4743222990218783,0.500734869501921,0.3451199348394104
sidhu,resnet50,representational,beauty,hinge,7,1,140,20,76,980,100,760,16,0.6815789473684211,0.6306546926498413,0.6132509112358093,0.2919038325633221,0.5569113002566155,0.5735242878016679,0.39718695864800646
sidhu,resnet50,representational,beauty,hinge,8,1,140,20,76,1120,100,760,18,0.6815789473684211,0.6480337381362915,0.6319993734359741,0.2702557423332389,0.5370204649225343,0.5278873459751173,0.3697462298840167
sidhu,resnet50,representational,beauty,hinge,9,1,140,20,76,1260,100,760,21,0.6197368421052631,0.6682696342468262,0.7039043307304382,0.18723002767553554,0.4440286709850625,0.4187442343509853,0.29446012789050613
sidhu,resnet50,representational,beauty,hinge,10,1,140,20,76,1400,100,760,44,0.718421052631579,0.6060288548469543,0.6511147022247314,0.24818399486134468,0.5064915231650957,0.5387291958458346,0.39507613335846886
sidhu,resnet50,representational,beauty,bradley_terry,1,1,140,20,76,140,20,760,16,0.618421052631579,0.7292697429656982,0.7799404263496399,0.09943409398803704,0.32645556406350806,0.3592849593349074,0.2529472305295985
sidhu,resnet50,representational,beauty,bradley_terry,2,1,140,20,76,280,40,760,18,0.6763157894736842,0.6830992698669434,0.7174039483070374,0.17164243675973445,0.4490950159379281,0.46876986950477445,0.3240116819440336
sidhu,resnet50,representational,beauty,bradley_terry,3,1,140,20,76,420,60,760,16,0.6131578947368421,0.7397387623786926,0.8381186127662659,0.03225816480869581,0.32604054781586456,0.31762655258071343,0.22480289333576275
sidhu,resnet50,representational,beauty,bradley_terry,4,1,140,20,76,560,80,760,16,0.6513157894736842,0.6823859214782715,0.6974515914916992,0.19468064659530482,0.45921471283418214,0.4132891295610531,0.2881276520218931
sidhu,resnet50,representational,beauty,bradley_terry,5,1,140,20,76,700,100,760,17,0.6842105263157895,0.6461361050605774,0.6117888689041138,0.293592069192423,0.5760797065922816,0.5803602587163698,0.4056302598061572
sidhu,resnet50,representational,beauty,bradley_terry,6,1,140,20,76,840,100,760,20,0.7026315789473684,0.6138259768486023,0.6024254560470581,0.30440350128796245,0.5557973201503046,0.5767645380152365,0.41125912724492436
sidhu,resnet50,representational,beauty,bradley_terry,7,1,140,20,76,980,100,760,16,0.6828947368421052,0.6222225427627563,0.5968459844589233,0.31084593084570233,0.5914117157371948,0.5431862488822203,0.3880400490600099
sidhu,resnet50,representational,beauty,bradley_terry,8,1,140,20,76,1120,100,760,20,0.7065789473684211,0.6135668158531189,0.6133410334587097,0.2917997926707955,0.5496265229485289,0.5742352287767968,0.3992977839375442
sidhu,resnet50,representational,beauty,bradley_terry,9,1,140,20,76,1260,100,760,16,0.5960526315789474,0.7314445972442627,0.801928699016571,0.0740452030553802,0.3191145435994258,0.330573881493159,0.22550650176560866
sidhu,resnet50,representational,beauty,bradley_terry,10,1,140,20,76,1400,100,760,17,0.6802631578947368,0.6570649147033691,0.6730227470397949,0.22288760316081013,0.4954578103215681,0.5038247283553663,0.3648209708750954
sidhu,resnet50,representational,beauty,hinge,1,2,140,20,76,140,20,760,24,0.625,0.730520486831665,0.7540900111198425,0.1311104150245398,0.3824051777752402,0.32363738557532934,0.22409928490591685
sidhu,resnet50,representational,beauty,hinge,2,2,140,20,76,280,40,760,33,0.6052631578947368,0.748720109462738,0.8853319883346558,-0.020111263050774264,0.27039861293360445,0.2770421335774956,0.19314051399269758
sidhu,resnet50,representational,beauty,hinge,3,2,140,20,76,420,60,760,23,0.6078947368421053,0.7658340334892273,1.0147393941879272,-0.16921914605688282,0.23983477405681697,0.22325524350722625,0.1600709177899406
sidhu,resnet50,representational,beauty,hinge,4,2,140,20,76,560,80,760,20,0.6092105263157894,0.7425556778907776,0.8383141160011292,0.034064446932208,0.3568684568899698,0.3400031475006248,0.2276173270551463
sidhu,resnet50,representational,beauty,hinge,5,2,140,20,76,700,100,760,18,0.6065789473684211,0.744186520576477,0.8550668954849243,0.014761328438261168,0.3248771804619537,0.3268503797711893,0.23465341135360526
sidhu,resnet50,representational,beauty,hinge,6,2,140,20,76,840,100,760,40,0.5815789473684211,0.7981152534484863,1.0307399034500122,-0.18765552816622222,0.22955119149855818,0.24409185267527161,0.15796009250040297
sidhu,resnet50,representational,beauty,hinge,7,2,140,20,76,980,100,760,19,0.5868421052631579,0.7765396237373352,0.971792995929718,-0.11973476623432555,0.29287156850273277,0.2953356920203071,0.19384412242254345
sidhu,resnet50,representational,beauty,hinge,8,2,140,20,76,1120,100,760,56,0.6302631578947369,0.7495677471160889,0.9023504853248596,-0.03972068619711733,0.3434525291495447,0.3595819036217803,0.24239310408191006
sidhu,resnet50,representational,beauty,hinge,9,2,140,20,76,1260,100,760,16,0.5973684210526315,0.720130443572998,0.8969852328300476,-0.03353858788687769,0.3210980943549657,0.3002030364191418,0.2008802067210024
sidhu,resnet50,representational,beauty,hinge,10,2,140,20,76,1400,100,760,17,0.618421052631579,0.7479665875434875,0.8884571194648743,-0.023712131817540394,0.3247853956036124,0.3322646167991066,0.229728152344684
sidhu,resnet50,representational,beauty,bradley_terry,1,2,140,20,76,140,20,760,28,0.6171052631578947,0.7368696331977844,0.7679826021194458,0.11510293395702809,0.38971811474823426,0.2822923028166881,0.19595494771208113
sidhu,resnet50,representational,beauty,bradley_terry,2,2,140,20,76,280,40,760,32,0.5881578947368421,0.7661359906196594,0.9004482626914978,-0.03752879321585567,0.26656259329593013,0.2606353547050189,0.17625391167639615
sidhu,resnet50,representational,beauty,bradley_terry,3,2,140,20,76,420,60,760,18,0.6092105263157894,0.7753262519836426,0.976780116558075,-0.1254810054704225,0.22213117884848543,0.2135342270252838,0.13825905646471795
sidhu,resnet50,representational,beauty,bradley_terry,4,2,140,20,76,560,80,760,22,0.5973684210526315,0.7811816930770874,0.889687716960907,-0.025130152671705153,0.30340629466263636,0.2645866539501404,0.170625044237629
sidhu,resnet50,representational,beauty,bradley_terry,5,2,140,20,76,700,100,760,18,0.6171052631578947,0.7286714315414429,0.8385000228881836,0.03385022874645216,0.36702757292869137,0.35870687541524815,0.2480219715206772
sidhu,resnet50,representational,beauty,bradley_terry,6,2,140,20,76,840,100,760,19,0.5921052631578947,0.763188898563385,0.935333251953125,-0.07772453773510812,0.2725286737877468,0.26486010026468165,0.17203226109732078
sidhu,resnet50,representational,beauty,bradley_terry,7,2,140,20,76,980,100,760,16,0.6276315789473684,0.7350614070892334,0.8520864248275757,0.018195452072232277,0.34906684686757217,0.3351358031017901,0.23817145350283472
sidhu,resnet50,representational,beauty,bradley_terry,8,2,140,20,76,1120,100,760,19,0.6026315789473684,0.7664709687232971,0.8725206255912781,-0.005349520920349349,0.31232404118327395,0.319932188013295,0.20791629101946132
sidhu,resnet50,representational,beauty,bradley_terry,9,2,140,20,76,1260,100,760,16,0.6157894736842106,0.7483787536621094,0.888059139251709,-0.023253665207077612,0.34087996612703364,0.3458822432632623,0.24168949565206416
sidhu,resnet50,representational,beauty,bradley_terry,10,2,140,20,76,1400,100,760,21,0.6026315789473684,0.7658007144927979,0.8979630470275879,-0.034665262216285964,0.2875386313140993,0.3013925278873964,0.19876938143146472
sidhu,resnet50,representational,beauty,hinge,1,3,140,20,76,140,20,760,21,0.631578947368421,0.7541137337684631,0.8858519196510315,-0.00655044568439167,0.3669831074130343,0.36775543407439576,0.25716888110867386
sidhu,resnet50,representational,beauty,hinge,2,3,140,20,76,280,40,760,16,0.6763157894736842,0.8373451828956604,1.0557101964950562,-0.19955224705062835,0.4505428446282167,0.43570637865576783,0.30219982061881095
sidhu,resnet50,representational,beauty,hinge,3,3,140,20,76,420,60,760,33,0.6671052631578948,0.7606580257415771,0.9294781684875488,-0.05612107730487925,0.4667074338249222,0.4837779120859699,0.340898284260335
sidhu,resnet50,representational,beauty,hinge,4,3,140,20,76,560,80,760,16,0.5947368421052631,0.784224808216095,1.0291482210159302,-0.16937124161814343,0.37269472925254377,0.33476436178569335,0.2311353692043758
