dataset,representation,category,target,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
sidhu,clip-vit-b32,representational,liking,hinge,1,0,140,20,76,140,20,760,16,0.5578947368421052,0.7144461274147034,0.810829222202301,0.030436041703529426,0.28634961377247237,0.2767276703157731,0.18053925576804403
sidhu,clip-vit-b32,representational,liking,hinge,2,0,140,20,76,280,40,760,17,0.6842105263157895,0.610321581363678,0.6593759059906006,0.21153907035771347,0.5053264698294697,0.5370348894433424,0.384657712581817
sidhu,clip-vit-b32,representational,liking,hinge,3,0,140,20,76,420,60,760,17,0.7447368421052631,0.5693953633308411,0.5151733160018921,0.3839719344984587,0.6363532526204381,0.6520874262865851,0.46630509530732617
sidhu,clip-vit-b32,representational,liking,hinge,4,0,140,20,76,560,80,760,16,0.7092105263157895,0.5935258269309998,0.6009789109230042,0.2813683638508465,0.5726372458211699,0.5451289003537643,0.37550757486257885
sidhu,clip-vit-b32,representational,liking,hinge,5,0,140,20,76,700,100,760,22,0.7315789473684211,0.5485246181488037,0.4930090606212616,0.41047535235348664,0.6720713127670024,0.6375127377215349,0.44941253336411735
sidhu,clip-vit-b32,representational,liking,hinge,6,0,140,20,76,840,100,760,16,0.7052631578947368,0.6091632843017578,0.611876368522644,0.2683374838346375,0.5399967724224553,0.5512404254837618,0.3931039935534214
sidhu,clip-vit-b32,representational,liking,hinge,7,0,140,20,76,980,100,760,16,0.7078947368421052,0.5773822069168091,0.5693382024765015,0.3192033553403938,0.5813492361921817,0.6068183889142766,0.41210812573953126
sidhu,clip-vit-b32,representational,liking,hinge,8,0,140,20,76,1120,100,760,16,0.7368421052631579,0.5420578122138977,0.4943127930164337,0.408916417343265,0.6494901561600273,0.6312508171185397,0.44941253336411735
sidhu,clip-vit-b32,representational,liking,hinge,9,0,140,20,76,1260,100,760,28,0.6802631578947368,0.580085039138794,0.5400819778442383,0.35418697327254833,0.6156889243902697,0.5865013277438597,0.40014256102975837
sidhu,clip-vit-b32,representational,liking,hinge,10,0,140,20,76,1400,100,760,16,0.7236842105263158,0.5725141167640686,0.5404020547866821,0.35380419783944084,0.6018928515732114,0.6141057331968015,0.4304084011780075
sidhu,clip-vit-b32,representational,liking,bradley_terry,1,0,140,20,76,140,20,760,16,0.5592105263157895,0.7172093391418457,0.8107659816741943,0.030511651631342507,0.2802386064286111,0.2731045066481012,0.16786983431063743
