dataset,representation,category,target,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
sidhu,resnet50,representational,liking,regression,,0,140,20,76,0,0,760,68,0.5539473684210526,0.8090626001358032,1.0479189157485962,-0.2530684147777835,0.2632444320843206,0.2280132093802445,0.14956955887216122
sidhu,resnet50,representational,liking,hinge,1,0,140,20,76,140,20,760,39,0.47368421052631576,0.8609418272972107,1.2390217781066895,-0.48158325613950503,-0.00025639608065830544,-0.06369931897239066,-0.04258333323183885
sidhu,resnet50,representational,liking,hinge,2,0,140,20,76,280,40,760,40,0.5657894736842105,0.7492908835411072,0.8488842844963074,-0.01506904011967336,0.11773000810353551,0.1315276772943546,0.07496074362298903
sidhu,resnet50,representational,liking,hinge,3,0,140,20,76,420,60,760,33,0.48289473684210527,0.783456027507782,0.9471108317375183,-0.13252526865088865,-0.09167742611316498,-0.0398684726601183,-0.030617768522065946
sidhu,resnet50,representational,liking,hinge,4,0,140,20,76,560,80,760,21,0.5118421052631579,0.7621798515319824,0.8564505577087402,-0.0241166234277852,0.051822030189214274,0.0439564950625104,0.028506198279164847
sidhu,resnet50,representational,liking,hinge,5,0,140,20,76,700,100,760,25,0.5684210526315789,0.7299256324768066,0.8226680159568787,0.016279438602492036,0.21576446584072073,0.20285614844244693,0.13549242391948724
sidhu,resnet50,representational,liking,hinge,6,0,140,20,76,840,100,760,18,0.5013157894736842,0.7495563626289368,0.8344783782958984,0.0021571236457593734,0.08737396280776011,0.05788858478838851,0.03836019274603665
sidhu,resnet50,representational,liking,hinge,7,0,140,20,76,980,100,760,47,0.5710526315789474,0.7363247871398926,0.8316305875778198,0.005562240071982361,0.17177174505559378,0.13701027590090722,0.08903787857566303
sidhu,resnet50,representational,liking,hinge,8,0,140,20,76,1120,100,760,18,0.5157894736842106,1.005570888519287,1.7436834573745728,-1.085041590586592,-0.03299664078076603,0.0007383050492614501,0.00950206609305495
sidhu,resnet50,representational,liking,hinge,9,0,140,20,76,1260,100,760,29,0.4763157894736842,0.7319034934043884,0.8250928521156311,0.013379921085998614,-0.12803112065557798,-0.12343366638393277,-0.07707231386589013
sidhu,resnet50,representational,liking,hinge,10,0,140,20,76,1400,100,760,24,0.44605263157894737,0.7658957839012146,0.9003998637199402,-0.07666982135277367,-0.12405557943566237,-0.10973400602541476,-0.08059159760405864
sidhu,resnet50,representational,liking,bradley_terry,1,0,140,20,76,140,20,760,100,0.5263157894736842,0.8203861713409424,1.0319386720657349,-0.23395965844638567,0.07309354419320613,0.033169037953857,0.027802341531531143
sidhu,resnet50,representational,liking,bradley_terry,2,0,140,20,76,280,40,760,100,0.5355263157894737,0.7493211030960083,0.827459454536438,0.010550070742534445,0.11330671029281802,0.09360067346747937,0.06017975192268134
sidhu,resnet50,representational,liking,bradley_terry,3,0,140,20,76,420,60,760,100,0.46842105263157896,0.7294849157333374,0.8229928016662598,0.015891148998993132,-0.1396961734044453,-0.1484540041644597,-0.09326101906146524
sidhu,resnet50,representational,liking,bradley_terry,4,0,140,20,76,560,80,760,100,0.5763157894736842,0.7992628216743469,1.020300269126892,-0.22004284172311528,0.28966955909163516,0.23206021483545536,0.15027341561979493
sidhu,resnet50,representational,liking,bradley_terry,5,0,140,20,76,700,100,760,86,0.5236842105263158,0.731133759021759,0.8270294070243835,0.011064334664372288,0.12795841679326259,0.07320157840270006,0.046806473717641045
sidhu,resnet50,representational,liking,bradley_terry,6,0,140,20,76,840,100,760,100,0.4407894736842105,0.7229709625244141,0.791144073009491,0.05397488753103852,-0.2393517144008115,-0.23646270049956997,-0.14886570212452752
sidhu,resnet50,representational,liking,bradley_terry,7,0,140,20,76,980,100,760,100,0.45921052631578946,0.7886154055595398,0.941261887550354,-0.12553121462011751,-0.07157062121405033,-0.08516485466388098,-0.05454889794161174
sidhu,resnet50,representational,liking,bradley_terry,8,0,140,20,76,1120,100,760,32,0.5105263157894737,0.7407755851745605,0.8461307883262634,-0.011776504143129696,-0.027347738652679254,0.0015039547299770277,0.00035192837381685
sidhu,resnet50,representational,liking,bradley_terry,9,0,140,20,76,1260,100,760,46,0.5394736842105263,0.8068033456802368,0.9376735687255859,-0.12124058274184035,0.12200730638141977,0.09152248147696568,0.06158746541794874
sidhu,resnet50,representational,liking,bradley_terry,10,0,140,20,76,1400,100,760,100,0.49736842105263157,0.7449393272399902,0.8600845336914062,-0.028462006065001155,-0.08938742943428224,-0.018471298547263315,-0.010909779588322349
sidhu,resnet50,representational,liking,regression,,1,140,20,76,0,0,760,51,0.6131578947368421,0.9963623881340027,1.5260562896728516,-0.4922164618576419,0.3689944816433126,0.3190965776895774,0.20917599305612455
sidhu,resnet50,representational,liking,hinge,1,1,140,20,76,140,20,760,27,0.4513157894736842,0.8802859783172607,1.1039066314697266,-0.07942786894555898,-0.13179538177610084,-0.1067209890936093,-0.06855347671587275
sidhu,resnet50,representational,liking,hinge,2,1,140,20,76,280,40,760,59,0.5289473684210526,0.8883282542228699,1.1202951669692993,-0.09545296185353269,0.18751387722295476,0.17473750468939542,0.11144334419964956
sidhu,resnet50,representational,liking,hinge,3,1,140,20,76,420,60,760,29,0.5671052631578948,0.8694888949394226,1.09784734249115,-0.07350299074191557,0.19755424940194644,0.1972957460427717,0.13323983423238858
sidhu,resnet50,representational,liking,hinge,4,1,140,20,76,560,80,760,23,0.4631578947368421,0.9051692485809326,1.163661003112793,-0.13785711538343182,-0.17859135568869533,-0.15961664715192014,-0.10652155612774075
sidhu,resnet50,representational,liking,hinge,5,1,140,20,76,700,100,760,17,0.5092105263157894,0.889411211013794,1.157069206237793,-0.13141156260841114,0.10166050719544728,0.04083725268032424,0.021444933741888404
sidhu,resnet50,representational,liking,hinge,6,1,140,20,76,840,100,760,29,0.4355263157894737,0.9466118812561035,1.2481791973114014,-0.22050127309775114,-0.14184060278785182,-0.1505249923034382,-0.10370910580093572
sidhu,resnet50,representational,liking,hinge,7,1,140,20,76,980,100,760,18,0.4855263157894737,0.869906485080719,1.0627866983413696,-0.03921958695537864,0.030270377628767164,0.017253636719976293,0.011601357598070775
sidhu,resnet50,representational,liking,hinge,8,1,140,20,76,1120,100,760,19,0.5828947368421052,0.8396862745285034,0.9976304769515991,0.024491710180996606,0.2358579094943707,0.21445368113276395,0.14308341037620623
sidhu,resnet50,representational,liking,hinge,9,1,140,20,76,1260,100,760,17,0.4644736842105263,0.8606622815132141,1.0437307357788086,-0.02058635077300419,-0.024407590986811556,-0.05282729975117939,-0.03199162246740729
sidhu,resnet50,representational,liking,hinge,10,1,140,20,76,1400,100,760,25,0.5986842105263158,0.8170625567436218,0.9588086009025574,0.062452699702793435,0.27745801101991674,0.2707262395633681,0.1880826156050868
sidhu,resnet50,representational,liking,bradley_terry,1,1,140,20,76,140,20,760,90,0.4855263157894737,0.8439583778381348,1.0676133632659912,-0.04393935549249761,-0.05999642959613993,-0.08051241413941394,-0.050975662173341284
sidhu,resnet50,representational,liking,bradley_terry,2,1,140,20,76,280,40,760,43,0.5052631578947369,0.8753870129585266,1.080779790878296,-0.056813942959630825,-0.04691165532130981,0.03506781155843042,0.025663609232095954
sidhu,resnet50,representational,liking,bradley_terry,3,1,140,20,76,420,60,760,47,0.5328947368421053,0.8546625375747681,1.0323727130889893,-0.00948006899238707,0.09220768446903094,0.026946844671214953,0.017929370833382106
sidhu,resnet50,representational,liking,bradley_terry,4,1,140,20,76,560,80,760,54,0.5552631578947368,0.8527830243110657,1.0018762350082397,0.02034010657288543,0.18628481421956167,0.18855955439137323,0.12339625808857096
sidhu,resnet50,representational,liking,bradley_terry,5,1,140,20,76,700,100,760,54,0.5473684210526316,0.8842739462852478,1.0969775915145874,-0.07265236240929873,0.09886981631143499,0.12684567471310623,0.0917561919120143
sidhu,resnet50,representational,liking,bradley_terry,6,1,140,20,76,840,100,760,100,0.531578947368421,0.8606998920440674,1.1170817613601685,-0.09231085480887002,0.06582483205829703,0.11533413579217117,0.07628771511458661
sidhu,resnet50,representational,liking,bradley_terry,7,1,140,20,76,980,100,760,100,0.531578947368421,1.0213514566421509,1.4715481996536255,-0.43891704733071824,0.04720858838845743,0.06920595013987321,0.05308499991844506
sidhu,resnet50,representational,liking,bradley_terry,8,1,140,20,76,1120,100,760,100,0.506578947368421,0.8516979217529297,1.057090163230896,-0.0336495546597011,-0.11926921637109444,0.03082959651628094,0.02074182116018714
sidhu,resnet50,representational,liking,bradley_terry,9,1,140,20,76,1260,100,760,100,0.5421052631578948,0.9251508116722107,1.2376667261123657,-0.21022193616509033,0.04641218515280343,0.07493437627748815,0.058006787990353866
sidhu,resnet50,representational,liking,bradley_terry,10,1,140,20,76,1400,100,760,29,0.5394736842105263,0.8310694694519043,1.0400911569595337,-0.017027406268971923,0.11760084869638376,0.11124630902571085,0.07628771511458661
sidhu,resnet50,representational,liking,regression,,2,140,20,76,0,0,760,87,0.5684210526315789,0.8526620268821716,1.1596434116363525,-0.20700298392440275,0.17244524182751775,0.22424884962626773,0.146479781294853
sidhu,resnet50,representational,liking,hinge,1,2,140,20,76,140,20,760,23,0.5618421052631579,0.812588632106781,0.9780468344688416,-0.01799003814270117,0.19728968186791462,0.20646043712923867,0.14295863270603443
sidhu,resnet50,representational,liking,hinge,2,2,140,20,76,280,40,760,36,0.5578947368421052,0.8051605224609375,0.9698446989059448,-0.009452994734707065,0.13435705592019076,0.13795932520755083,0.0950710118981017
sidhu,resnet50,representational,liking,hinge,3,2,140,20,76,420,60,760,38,0.48157894736842105,0.8563276529312134,1.0926541090011597,-0.13727779740298351,-0.013809696443786379,-0.05302341557531043,-0.04295801278358669
sidhu,resnet50,representational,liking,hinge,4,2,140,20,76,560,80,760,16,0.5052631578947369,0.8224390149116516,1.000170111656189,-0.04101689792722252,0.03608782618539408,0.05560758925858369,0.03380302645265838
sidhu,resnet50,representational,liking,hinge,5,2,140,20,76,700,100,760,32,0.5197368421052632,0.8379877209663391,1.0314202308654785,-0.07354327300624797,0.11966436864895513,0.02228678890865291,0.019014202379620343
sidhu,resnet50,representational,liking,hinge,6,2,140,20,76,840,100,760,25,0.5026315789473684,0.8153351545333862,0.9885751008987427,-0.028948352510672848,0.09185244265472647,0.008572893647684281,0.023943810403966356
sidhu,resnet50,representational,liking,hinge,7,2,140,20,76,980,100,760,40,0.48026315789473684,0.8140693306922913,0.9850527048110962,-0.0252819243596083,-0.045014092946075834,-0.02767390230129662,-0.014084594355274328
sidhu,resnet50,representational,liking,hinge,8,2,140,20,76,1120,100,760,19,0.4697368421052632,0.8530292510986328,1.058628797531128,-0.10186291279042003,-0.1521027251083069,-0.11475645356461589,-0.07816949867177252
sidhu,resnet50,representational,liking,hinge,9,2,140,20,76,1260,100,760,26,0.5078947368421053,0.8264956474304199,1.0076595544815063,-0.048812355746476355,0.025121637638221728,0.045626389317898634,0.03380302645265838
sidhu,resnet50,representational,liking,hinge,10,2,140,20,76,1400,100,760,17,0.4618421052631579,0.832855224609375,1.06100332736969,-0.10433453650548574,-0.08228572453572269,-0.08274824937126836,-0.05352145855004244
sidhu,resnet50,representational,liking,bradley_terry,1,2,140,20,76,140,20,760,100,0.5473684210526316,0.8140888810157776,0.9824264645576477,-0.02254870155346156,0.13236312372009706,0.15269868621585014,0.10352176851126631
sidhu,resnet50,representational,liking,bradley_terry,2,2,140,20,76,280,40,760,74,0.4868421052631579,0.8789787292480469,1.083263874053955,-0.12750438689492194,-0.030042176862707493,-0.07407964558716656,-0.05492991798556988
sidhu,resnet50,representational,liking,bradley_terry,3,2,140,20,76,420,60,760,41,0.4986842105263158,0.8494381904602051,1.0938893556594849,-0.13856357465668512,-0.02986180246080039,0.010008545693947197,0.00774652689540088
sidhu,resnet50,representational,liking,bradley_terry,4,2,140,20,76,560,80,760,81,0.49736842105263157,0.8150686025619507,0.9957373738288879,-0.036403123461096865,-0.001484821696067229,0.001380960539738616,0.004929608024346014
sidhu,resnet50,representational,liking,bradley_terry,5,2,140,20,76,700,100,760,50,0.5578947368421052,0.8487987518310547,1.0741908550262451,-0.11806055409749194,0.13853446247958345,0.1236985148813392,0.08591602556717338
sidhu,resnet50,representational,liking,bradley_terry,6,2,140,20,76,840,100,760,53,0.5184210526315789,0.8399444818496704,1.0436445474624634,-0.08626671593963864,-0.06391454238291772,0.08414288278763805,0.05140876939675129
sidhu,resnet50,representational,liking,bradley_terry,7,2,140,20,76,980,100,760,29,0.475,0.8298061490058899,1.0514659881591797,-0.09440785067841273,-0.02684884205700655,-0.024132627253848092,-0.02323958068620264
sidhu,resnet50,representational,liking,bradley_terry,8,2,140,20,76,1120,100,760,18,0.5118421052631579,0.9136025309562683,1.2830829620361328,-0.3354838524556649,-0.06143083299684804,-0.027427790521937268,-0.004929608024346014
sidhu,resnet50,representational,liking,bradley_terry,9,2,140,20,76,1260,100,760,100,0.5631578947368421,0.8304290771484375,1.0797688961029053,-0.12386654482114956,0.11537590087573335,0.1623517371173894,0.11549367371324948
sidhu,resnet50,representational,liking,bradley_terry,10,2,140,20,76,1400,100,760,100,0.5907894736842105,0.8284872770309448,1.0071725845336914,-0.04830530155323709,0.20759940595144144,0.2147188546144082,0.1507051596014353
sidhu,resnet50,representational,liking,regression,,3,140,20,76,0,0,760,92,0.6236842105263158,0.7201932668685913,0.8287997841835022,0.11202636978448222,0.43812360166339204,0.3821281616559036,0.2612983791970701
sidhu,resnet50,representational,liking,hinge,1,3,140,20,76,140,20,760,60,0.4644736842105263,0.9291388988494873,1.2353487014770508,-0.32354889468673487,-0.13361838331911713,-0.05557606358251335,-0.03551969892180899
