representation,metric,mean_hinge,mean_bradley_terry,difference_bradley_terry_minus_hinge,difference_ci95_low,difference_ci95_high,bradley_terry_wins_targets,target_count,higher_is_better
clip-vit-b32,pair_accuracy,0.6890396423751687,0.6873421052631579,-0.001697537112010844,-0.002785762483130949,-0.0005902496626181419,0,4,True
clip-vit-b32,mae,0.6398812908679247,0.639964351579547,8.306071162228479e-05,-0.0013035064935683627,0.0015077605098486047,2,4,False
clip-vit-b32,r2,0.1448269173615781,0.14732629279566423,0.002499375434086123,-0.004147575821740419,0.009760406949870876,2,4,True
clip-vit-b32,pearson,0.5439512099649954,0.5411053615173473,-0.0028458484476480417,-0.005435564600177412,-0.0002651360473772679,1,4,True
clip-vit-b32,spearman,0.5295126340737205,0.5262743445379081,-0.0032382895358124414,-0.006270385167608944,-0.0010713526136046647,0,4,True
clip-vit-b32,kendall,0.37626577598238964,0.3738954043697869,-0.002370371612602701,-0.00468749478735879,-0.0010765650152690237,0,4,True
resnet50,pair_accuracy,0.6214849865047234,0.6203798920377868,-0.0011050944669366014,-0.005200151821862398,0.0018322368421052893,2,4,True
resnet50,mae,0.7108443963527679,0.7068354776501656,-0.004008918702602365,-0.007254917025566132,-9.877964854237975e-05,3,4,False
resnet50,r2,-0.03151844315811958,-0.015689298351527953,0.015829144806591623,0.005865252023782609,0.025793037589400637,4,4,True
resnet50,pearson,0.36104995354584724,0.357961361815089,-0.0030885917307582056,-0.011382476082148624,0.004167580947659982,1,4,True
resnet50,spearman,0.34750371244392597,0.34388880032279223,-0.0036149121211337537,-0.013602796233283435,0.004579770352697576,1,4,True
resnet50,kendall,0.24058732267121263,0.23788769705961132,-0.0026996256116012946,-0.009597224016112169,0.003085062845350539,1,4,True
