representation,objective,N,metric,mean_regression,mean_pairwise,difference_pairwise_minus_regression,difference_ci95_low,difference_ci95_high,pairwise_wins_targets,target_count,higher_is_better
clip-vit-b32,hinge,1,pair_accuracy,0.6282270580296897,0.6593539136302293,0.031126855600539793,0.020266531713900082,0.04291666666666666,4,4,True
clip-vit-b32,hinge,1,mae,0.8467345789074897,0.6774905472993851,-0.16924403160810472,-0.2377933174371719,-0.10069474577903753,4,4,False
clip-vit-b32,hinge,1,r2,-0.5798114912629606,0.05878651207596058,0.6385980033389212,0.42401355596750534,0.853182450710337,4,4,True
clip-vit-b32,hinge,1,pearson,0.3875451209441223,0.4722461509799245,0.0847010300358022,0.0488626133044647,0.11076051397092215,4,4,True
clip-vit-b32,hinge,1,spearman,0.37090053209055995,0.4586115429216998,0.08771101083113986,0.07210448536160949,0.10331753630067023,4,4,True
clip-vit-b32,hinge,1,kendall,0.25743512512597344,0.32071784940335946,0.06328272427738596,0.04903221180251066,0.07753323675226127,4,4,True
clip-vit-b32,hinge,2,pair_accuracy,0.6282270580296897,0.6703264170040486,0.04209935897435896,0.023036437246963526,0.05375000000000002,4,4,True
clip-vit-b32,hinge,2,mae,0.8467345789074897,0.6666902855038643,-0.18004429340362552,-0.23779365420341492,-0.12229493260383612,4,4,False
clip-vit-b32,hinge,2,r2,-0.5798114912629606,0.07250503107442129,0.6523165223373819,0.45934693540517474,0.8452861092695891,4,4,True
clip-vit-b32,hinge,2,pearson,0.3875451209441223,0.5031836468105638,0.11563852586644148,0.08642418045325259,0.14485287127963037,4,4,True
clip-vit-b32,hinge,2,spearman,0.37090053209055995,0.4864031577461098,0.11550262565554985,0.07300175831715362,0.1400003483250489,4,4,True
clip-vit-b32,hinge,2,kendall,0.25743512512597344,0.3434167662790629,0.08598164115308948,0.05302429866043728,0.10563222278025411,4,4,True
clip-vit-b32,hinge,3,pair_accuracy,0.6282270580296897,0.6864372469635627,0.05821018893387317,0.04128205128205126,0.0720985155195682,4,4,True
clip-vit-b32,hinge,3,mae,0.8467345789074897,0.6413331732153892,-0.20540140569210055,-0.28667283356189727,-0.12251959294080739,4,4,False
clip-vit-b32,hinge,3,r2,-0.5798114912629606,0.1390290893306262,0.7188405805935868,0.4715948870820303,0.9660862741051433,4,4,True
clip-vit-b32,hinge,3,pearson,0.3875451209441223,0.5346421924869929,0.1470970715428706,0.10746664306576006,0.18672750001998115,4,4,True
clip-vit-b32,hinge,3,spearman,0.37090053209055995,0.5226639965126183,0.15176346442205843,0.1249783647202045,0.17746113860160884,4,4,True
clip-vit-b32,hinge,3,kendall,0.25743512512597344,0.36887912249563265,0.11144399736965925,0.08738654896897069,0.13045317240084087,4,4,True
clip-vit-b32,hinge,4,pair_accuracy,0.6282270580296897,0.6895529689608637,0.061325910931174094,0.042565789473684223,0.0810576923076923,4,4,True
clip-vit-b32,hinge,4,mae,0.8467345789074897,0.6517011612653733,-0.19503341764211654,-0.26747317314147945,-0.12259366214275363,4,4,False
clip-vit-b32,hinge,4,r2,-0.5798114912629606,0.12444860472359978,0.7042600959865604,0.48532412576485173,0.9231960662082692,4,4,True
clip-vit-b32,hinge,4,pearson,0.3875451209441223,0.5473084047531671,0.15976328380904475,0.11624046165316029,0.19924610208392152,4,4,True
clip-vit-b32,hinge,4,spearman,0.37090053209055995,0.5222531771792833,0.15135264508872334,0.12126342508042398,0.1847016187715309,4,4,True
clip-vit-b32,hinge,4,kendall,0.25743512512597344,0.37001558453301286,0.11258045940703942,0.08938950246544275,0.13752667936024457,4,4,True
clip-vit-b32,hinge,5,pair_accuracy,0.6282270580296897,0.691354588394062,0.06312753036437246,0.0422722672064777,0.08398279352226723,4,4,True
clip-vit-b32,hinge,5,mae,0.8467345789074897,0.6348333701491355,-0.2119012087583542,-0.29486160874366757,-0.12894080877304082,4,4,False
clip-vit-b32,hinge,5,r2,-0.5798114912629606,0.1551169020875393,0.7349283933505,0.48984983239176605,0.9800069543092338,4,4,True
clip-vit-b32,hinge,5,pearson,0.3875451209441223,0.5464800786856578,0.1589349577415355,0.10671549226641303,0.21115442321665798,4,4,True
clip-vit-b32,hinge,5,spearman,0.37090053209055995,0.5269939322225425,0.15609340013198253,0.11691919200440065,0.19997682195572028,4,4,True
clip-vit-b32,hinge,5,kendall,0.25743512512597344,0.373504397042491,0.11606927191651757,0.08440621125836989,0.1479307552601342,4,4,True
clip-vit-b32,hinge,6,pair_accuracy,0.6282270580296897,0.6952648448043186,0.06703778677462888,0.05487348178137652,0.07979251012145747,4,4,True
clip-vit-b32,hinge,6,mae,0.8467345789074897,0.6401742085814477,-0.2065603703260422,-0.28355744779109954,-0.12956329286098484,4,4,False
clip-vit-b32,hinge,6,r2,-0.5798114912629606,0.14982057572360818,0.7296320669865688,0.49754151626478,0.9617226177083578,4,4,True
clip-vit-b32,hinge,6,pearson,0.3875451209441223,0.5595216343104256,0.17197651336630315,0.13988820012512518,0.20406482660748115,4,4,True
clip-vit-b32,hinge,6,spearman,0.37090053209055995,0.5469660737915734,0.17606554170101332,0.15633374422930219,0.19592390729455325,4,4,True
clip-vit-b32,hinge,6,kendall,0.25743512512597344,0.39326008076708896,0.1358249556411155,0.11486008924353386,0.1550431616771008,4,4,True
clip-vit-b32,hinge,7,pair_accuracy,0.6282270580296897,0.694355600539811,0.06612854251012149,0.046158906882591055,0.08609817813765192,4,4,True
clip-vit-b32,hinge,7,mae,0.8467345789074897,0.6269328646361828,-0.219801714271307,-0.3002327710390091,-0.13937065750360494,4,4,False
clip-vit-b32,hinge,7,r2,-0.5798114912629606,0.18056174102601327,0.7603732322889739,0.5178832583447277,1.0028632062332201,4,4,True
clip-vit-b32,hinge,7,pearson,0.3875451209441223,0.5614076358716488,0.1738625149275265,0.11693210665391121,0.23079292320114178,4,4,True
clip-vit-b32,hinge,7,spearman,0.37090053209055995,0.5491238210275442,0.1782232889369842,0.13348355226194553,0.22296302561202286,4,4,True
clip-vit-b32,hinge,7,kendall,0.25743512512597344,0.39099355171614947,0.13355842659017603,0.09964020333328213,0.16747664984706995,4,4,True
clip-vit-b32,hinge,8,pair_accuracy,0.6282270580296897,0.7010754048582996,0.07284834682861,0.05545377867746287,0.09024291497975712,4,4,True
clip-vit-b32,hinge,8,mae,0.8467345789074897,0.6225408904254437,-0.22419368848204616,-0.3002941459417343,-0.14698163643479353,4,4,False
clip-vit-b32,hinge,8,r2,-0.5798114912629606,0.18254212142025836,0.762353612683219,0.5306153509204108,0.9940918744460272,4,4,True
clip-vit-b32,hinge,8,pearson,0.3875451209441223,0.5723178769387488,0.18477275599462645,0.1360783487602589,0.233467163228994,4,4,True
clip-vit-b32,hinge,8,spearman,0.37090053209055995,0.5611012384811411,0.1902007063905812,0.15449182188419605,0.22590959089696633,4,4,True
clip-vit-b32,hinge,8,kendall,0.25743512512597344,0.4005085140567126,0.14307338893073918,0.1123712399366951,0.1719742528768814,4,4,True
clip-vit-b32,hinge,9,pair_accuracy,0.6282270580296897,0.6988284412955466,0.07060138326585697,0.05250337381916331,0.08869939271255062,4,4,True
clip-vit-b32,hinge,9,mae,0.8467345789074897,0.6151363529264926,-0.2315982259809971,-0.3101220488548279,-0.1530744031071663,4,4,False
clip-vit-b32,hinge,9,r2,-0.5798114912629606,0.2012639289990304,0.7810754202619911,0.5489264564714554,1.0132243840525266,4,4,True
clip-vit-b32,hinge,9,pearson,0.3875451209441223,0.5714036999716967,0.18385857902757435,0.13801992069653293,0.2296972373586158,4,4,True
clip-vit-b32,hinge,9,spearman,0.37090053209055995,0.5599388360229349,0.189038303932375,0.15760084028133894,0.2204757675834111,4,4,True
clip-vit-b32,hinge,9,kendall,0.25743512512597344,0.40047426051695223,0.14303913539097882,0.11924109002416233,0.1668371807577953,4,4,True
clip-vit-b32,hinge,10,pair_accuracy,0.6282270580296897,0.7038469973009447,0.07561993927125504,0.06043353576248306,0.09374240890688257,4,4,True
clip-vit-b32,hinge,10,mae,0.8467345789074897,0.6219800546765328,-0.22475452423095704,-0.3011087507009506,-0.14610334336757663,4,4,False
clip-vit-b32,hinge,10,r2,-0.5798114912629606,0.1841946671547236,0.7640061584176842,0.5398926248350352,0.9881196920003332,4,4,True
