objective,target,metric,mean_resnet50,mean_clip-vit-b32,difference_clip-vit-b32_minus_resnet50,clip-vit-b32_wins
hinge,Abstract Beauty,pair_accuracy,0.611,0.6853846153846154,0.07438461538461538,True
hinge,Abstract Liking,pair_accuracy,0.5977820512820513,0.6610897435897436,0.06330769230769229,True
hinge,Representational Beauty,pair_accuracy,0.637421052631579,0.7166578947368422,0.07923684210526316,True
hinge,Representational Liking,pair_accuracy,0.6397368421052632,0.6930263157894737,0.05328947368421055,True
hinge,Abstract Beauty,mae,0.7878908163309097,0.6973901879787445,-0.09050062835216521,True
hinge,Abstract Liking,mae,0.6013308638334274,0.5686805245280265,-0.032650339305400844,True
hinge,Representational Beauty,mae,0.7045935750007629,0.613194163441658,-0.09139941155910491,True
hinge,Representational Liking,mae,0.7495623302459716,0.6802602875232696,-0.06930204272270202,True
hinge,Abstract Beauty,r2,-0.06543148339420422,0.11873746848190453,0.18416895187610877,True
hinge,Abstract Liking,r2,-0.08349367318026496,0.035395141015290565,0.11888881419555553,True
hinge,Representational Beauty,r2,0.010655828842055825,0.24536969185544472,0.2347138630133889,True
hinge,Representational Liking,r2,0.01219555509993506,0.17980536809367254,0.16760981299373748,True
hinge,Abstract Beauty,pearson,0.3376068038490799,0.5410503374310656,0.2034435335819857,True
hinge,Abstract Liking,pearson,0.29650712329092527,0.47848654791107037,0.1819794246201451,True
hinge,Representational Beauty,pearson,0.4060157848250398,0.6101020952203036,0.20408631039526376,True
hinge,Representational Liking,pearson,0.4040701022183439,0.5461658592975419,0.14209575707919803,True
hinge,Abstract Beauty,spearman,0.3253255368857601,0.5133927054892521,0.18806716860349199,True
hinge,Abstract Liking,spearman,0.27736872216840996,0.45678238723637293,0.17941366506796297,True
hinge,Representational Beauty,spearman,0.38967383525342414,0.5991381511003016,0.2094643158468774,True
hinge,Representational Liking,spearman,0.3976467554681098,0.5487372924689555,0.15109053700084574,True
hinge,Abstract Beauty,kendall,0.2240618558288475,0.37023609093406085,0.14617423510521335,True
hinge,Abstract Liking,kendall,0.1902251958494794,0.31940700843538367,0.12918181258590428,True
hinge,Representational Beauty,kendall,0.2714477807755891,0.4303768373587746,0.15892905658318546,True
hinge,Representational Liking,kendall,0.2766144582309344,0.38504316720133935,0.10842870897040496,True
bradley_terry,Abstract Beauty,pair_accuracy,0.6135,0.6831025641025641,0.06960256410256405,True
bradley_terry,Abstract Liking,pair_accuracy,0.5907564102564102,0.6598974358974359,0.06914102564102564,True
bradley_terry,Representational Beauty,pair_accuracy,0.63725,0.7133684210526315,0.07611842105263156,True
bradley_terry,Representational Liking,pair_accuracy,0.6400131578947368,0.693,0.052986842105263166,True
bradley_terry,Abstract Beauty,mae,0.7816689330339431,0.6996271604299545,-0.0820417726039886,True
