dataset,representation,category,target,mode,rater,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
sidhu,clip-vit-b32,abstract,beauty,cross,1,regression,,0,140,20,78,0,0,780,36,0.6,2.3589212894439697,8.530414581298828,-0.1636556465977772,0.2967226680702879,0.2843099444938703,0.20925333541722024
sidhu,clip-vit-b32,abstract,beauty,cross,1,hinge,1,0,140,20,78,140,20,780,17,0.6858974358974359,2.2517287731170654,6.172976970672607,0.15792849860887215,0.43729758544213837,0.42629165875088687,0.3077677922974923
sidhu,clip-vit-b32,abstract,beauty,cross,1,hinge,2,0,140,20,78,280,40,780,21,0.6743589743589744,2.185065507888794,6.047698020935059,0.17501809687698122,0.44711829861989827,0.4229035025035893,0.3199922139541684
sidhu,clip-vit-b32,abstract,beauty,cross,1,hinge,3,0,140,20,78,420,60,780,16,0.7,2.196895122528076,6.049142837524414,0.17482105466927922,0.49507344074663706,0.45941601963829165,0.3307784683571179
sidhu,clip-vit-b32,abstract,beauty,cross,1,hinge,4,0,140,20,78,560,80,780,16,0.6961538461538461,2.163959503173828,5.925264358520508,0.19171958785621057,0.49246230549761094,0.46351004177044286,0.33725022099888763
sidhu,clip-vit-b32,abstract,beauty,cross,1,hinge,5,0,140,20,78,700,100,780,31,0.6820512820512821,2.0974974632263184,6.0903239250183105,0.1692033711001889,0.446533829170221,0.4001617870861227,0.2933861197602263
sidhu,clip-vit-b32,abstract,beauty,cross,1,hinge,6,0,140,20,78,840,100,780,16,0.6051282051282051,2.363175868988037,6.942170143127441,0.05300079553912873,0.3213801456586225,0.2948465970659584,0.21500600443212664
sidhu,clip-vit-b32,abstract,beauty,cross,1,hinge,7,0,140,20,78,980,100,780,16,0.7371794871794872,2.110018730163574,5.471785068511963,0.2535798421629444,0.5378121635003481,0.5654114076929514,0.4134730854463974
sidhu,clip-vit-b32,abstract,beauty,cross,1,hinge,8,0,140,20,78,1120,100,780,16,0.6641025641025641,2.116710901260376,5.689848899841309,0.22383318444920008,0.48567046864718577,0.4468644408130759,0.328621217476528
sidhu,clip-vit-b32,abstract,beauty,cross,1,hinge,9,0,140,20,78,1260,100,780,16,0.6525641025641026,2.3419456481933594,6.739160060882568,0.08069392695116417,0.3611690760299098,0.3363515110953529,0.24592660038724853
sidhu,clip-vit-b32,abstract,beauty,cross,1,hinge,10,0,140,20,78,1400,100,780,18,0.6538461538461539,2.1429030895233154,5.857550144195557,0.20095659979365832,0.4567774832557916,0.42729270491486115,0.30848687592435564
sidhu,clip-vit-b32,abstract,beauty,cross,1,bradley_terry,1,0,140,20,78,140,20,780,17,0.6858974358974359,2.2424676418304443,6.276570796966553,0.14379694007555888,0.43515776919957716,0.43947209990988134,0.3192731303273051
sidhu,clip-vit-b32,abstract,beauty,cross,1,bradley_terry,2,0,140,20,78,280,40,780,16,0.6,2.3871142864227295,7.107065677642822,0.03050697687572812,0.3319116034981562,0.2799079081574194,0.19702891376054413
sidhu,clip-vit-b32,abstract,beauty,cross,1,bradley_terry,3,0,140,20,78,420,60,780,16,0.6987179487179487,2.185929536819458,5.991488933563232,0.18268562114881015,0.48625815449108245,0.46436991475744643,0.3343738864914344
sidhu,clip-vit-b32,abstract,beauty,cross,1,bradley_terry,4,0,140,20,78,560,80,780,16,0.6833333333333333,2.119809150695801,5.819642066955566,0.2061276774748667,0.493870581686906,0.446633430159851,0.32214946483475826
sidhu,clip-vit-b32,abstract,beauty,cross,1,bradley_terry,5,0,140,20,78,700,100,780,16,0.6743589743589744,2.1087119579315186,5.93377685546875,0.19055838736572606,0.46242182310743374,0.43607110973740465,0.3128013776855354
sidhu,clip-vit-b32,abstract,beauty,cross,1,bradley_terry,6,0,140,20,78,840,100,780,16,0.6192307692307693,2.3119356632232666,6.773752212524414,0.07597514410662087,0.35717638841015287,0.3287409934641127,0.23945484774547882
sidhu,clip-vit-b32,abstract,beauty,cross,1,bradley_terry,7,0,140,20,78,980,100,780,16,0.7128205128205128,2.1301960945129395,5.583082675933838,0.2383974786563665,0.5228119882231113,0.518541912938669,0.3811143222375489
sidhu,clip-vit-b32,abstract,beauty,cross,1,bradley_terry,8,0,140,20,78,1120,100,780,16,0.6871794871794872,2.0608346462249756,5.452484130859375,0.25621270946696917,0.5188208093168214,0.4841726613088859,0.3523509771630169
sidhu,clip-vit-b32,abstract,beauty,cross,1,bradley_terry,9,0,140,20,78,1260,100,780,16,0.6576923076923077,2.3369362354278564,6.715266227722168,0.08395322953920858,0.3783341258749715,0.3313719481258399,0.24233118225293204
sidhu,clip-vit-b32,abstract,beauty,cross,1,bradley_terry,10,0,140,20,78,1400,100,780,16,0.6358974358974359,2.1829233169555664,6.018956661224365,0.17893871709192244,0.4481965843879152,0.3974409949481414,0.2869143671184566
sidhu,clip-vit-b32,abstract,beauty,cross,1,regression,,1,140,20,78,0,0,780,45,0.5743589743589743,2.379547357559204,7.974436283111572,-0.12106822579388665,0.19643717006874795,0.16795658072230013,0.1232988077754563
sidhu,clip-vit-b32,abstract,beauty,cross,1,hinge,1,1,140,20,78,140,20,780,32,0.5230769230769231,2.432950735092163,7.813823223114014,-0.09848884857631357,0.1593824990268331,0.06908524032159517,0.05407842446291943
sidhu,clip-vit-b32,abstract,beauty,cross,1,hinge,2,1,140,20,78,280,40,780,18,0.4948717948717949,2.315687417984009,7.126058101654053,-0.0018008374333819965,0.1903205551498104,0.0601249849244698,0.04109960259181877
sidhu,clip-vit-b32,abstract,beauty,cross,1,hinge,3,1,140,20,78,420,60,780,16,0.5435897435897435,2.3080432415008545,6.887293338775635,0.031765368292596796,0.21781211191409966,0.11800026440489805,0.08075711386462636
sidhu,clip-vit-b32,abstract,beauty,cross,1,hinge,4,1,140,20,78,560,80,780,18,0.5230769230769231,2.376925230026245,7.149163722991943,-0.00504885122410359,0.21594286183972144,0.06305602973156389,0.04903110484638029
sidhu,clip-vit-b32,abstract,beauty,cross,1,hinge,5,1,140,20,78,700,100,780,16,0.5282051282051282,2.3616130352020264,7.288816928863525,-0.02468197733519406,0.2023271013313206,0.06443156391734929,0.04831005918687469
sidhu,clip-vit-b32,abstract,beauty,cross,1,hinge,6,1,140,20,78,840,100,780,21,0.4846153846153846,2.46468186378479,7.964766502380371,-0.11970873045237784,0.09979711040796246,-0.04291152441263207,-0.03461019165626844
sidhu,clip-vit-b32,abstract,beauty,cross,1,hinge,7,1,140,20,78,980,100,780,16,0.5012820512820513,2.3960046768188477,7.371667385101318,-0.03632912656582832,0.15549596405617194,0.035776744290100373,0.03244705467775166
sidhu,clip-vit-b32,abstract,beauty,cross,1,hinge,8,1,140,20,78,1120,100,780,16,0.4935897435897436,2.3512229919433594,7.0144362449646,0.013891333632713443,0.20655898277072993,0.07900965519473838,0.0569626071009418
sidhu,clip-vit-b32,abstract,beauty,cross,1,hinge,9,1,140,20,78,1260,100,780,24,0.5089743589743589,2.4281742572784424,7.564536094665527,-0.06344345435657162,0.11034522814952652,0.00620918702555461,0.010094639233078295
sidhu,clip-vit-b32,abstract,beauty,cross,1,hinge,10,1,140,20,78,1400,100,780,24,0.4935897435897436,2.4179394245147705,7.456618785858154,-0.04827191371906503,0.15479715353285428,0.03832212530678735,0.025957643742201327
sidhu,clip-vit-b32,abstract,beauty,cross,1,bradley_terry,1,1,140,20,78,140,20,780,25,0.5333333333333333,2.415123462677002,7.551628589630127,-0.06162873742474839,0.18949069368682103,0.08403613992971114,0.0670572463340201
sidhu,clip-vit-b32,abstract,beauty,cross,1,bradley_terry,2,1,140,20,78,280,40,780,18,0.5012820512820513,2.345426082611084,7.204625606536865,-0.012846080584085096,0.18023739340424072,0.057232506496416403,0.03965751127280759
sidhu,clip-vit-b32,abstract,beauty,cross,1,bradley_terry,3,1,140,20,78,420,60,780,16,0.5487179487179488,2.3284332752227783,6.960455417633057,0.02148010292100755,0.1976451478585659,0.09889705132006546,0.0663362006745145
sidhu,clip-vit-b32,abstract,beauty,cross,1,bradley_terry,4,1,140,20,78,560,80,780,18,0.5,2.419614791870117,7.503056526184082,-0.05480026271802685,0.15186136431293562,0.025890895795997893,0.015863004509123035
sidhu,clip-vit-b32,abstract,beauty,cross,1,bradley_terry,5,1,140,20,78,700,100,780,16,0.5358974358974359,2.3311750888824463,7.099720478057861,0.0019016537365919017,0.23919197266513947,0.11118687077437231,0.08219920518363753
