dataset,representation,category,target,mode,rater,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
sidhu,clip-vit-b32,abstract,beauty,within,4,regression,,0,140,20,78,0,0,780,23,0.514102564102564,2.148322582244873,6.937363624572754,-0.8391614849120119,0.04563732448150404,0.04917245440330733,0.030884648728139962
sidhu,clip-vit-b32,abstract,beauty,within,4,hinge,1,0,140,20,78,140,20,780,16,0.4987179487179487,1.7842822074890137,4.613513946533203,-0.223086956120514,0.003909597056917846,-0.04671255048318356,-0.04094011575590646
sidhu,clip-vit-b32,abstract,beauty,within,4,hinge,2,0,140,20,78,280,40,780,16,0.5346153846153846,1.7398815155029297,4.606045246124268,-0.22110692989655267,0.15973989399208222,0.14756861120825787,0.09983642263282452
sidhu,clip-vit-b32,abstract,beauty,within,4,hinge,3,0,140,20,78,420,60,780,16,0.5012820512820513,1.7338390350341797,4.47151517868042,-0.18544166889357316,0.046615243518317584,-0.0005124799833591175,0.002154742934521393
sidhu,clip-vit-b32,abstract,beauty,within,4,hinge,4,0,140,20,78,560,80,780,16,0.6025641025641025,1.6629947423934937,4.045132160186768,-0.0724033740850305,0.24573896443507692,0.2474893959637018,0.18818088294820165
sidhu,clip-vit-b32,abstract,beauty,within,4,hinge,5,0,140,20,78,700,100,780,19,0.6166666666666667,1.6630489826202393,3.926206588745117,-0.040875033161899,0.26027843535121065,0.2534597877698356,0.1867443876585207
sidhu,clip-vit-b32,abstract,beauty,within,4,hinge,6,0,140,20,78,840,100,780,16,0.5525641025641026,1.7006415128707886,4.318816184997559,-0.14495951977698063,0.19775897983345203,0.16565915462083472,0.11132838495027196
sidhu,clip-vit-b32,abstract,beauty,within,4,hinge,7,0,140,20,78,980,100,780,16,0.5641025641025641,1.7357019186019897,4.458446502685547,-0.18197708544788704,0.1090352981700562,0.0755395495471339,0.0502773351388325
sidhu,clip-vit-b32,abstract,beauty,within,4,hinge,8,0,140,20,78,1120,100,780,16,0.591025641025641,1.6599115133285522,3.955592632293701,-0.048665563959168434,0.27645930781727657,0.2661821033567256,0.19033562588272301
sidhu,clip-vit-b32,abstract,beauty,within,4,hinge,9,0,140,20,78,1260,100,780,17,0.5987179487179487,1.6447064876556396,3.8972973823547363,-0.03321098837548786,0.2600591973259725,0.22175008879949012,0.1644787106684663
sidhu,clip-vit-b32,abstract,beauty,within,4,hinge,10,0,140,20,78,1400,100,780,19,0.6064102564102564,1.5764849185943604,3.660338878631592,0.02960903135287618,0.30644591587770265,0.278186946966913,0.20182758820017047
sidhu,clip-vit-b32,abstract,beauty,within,4,bradley_terry,1,0,140,20,78,140,20,780,16,0.4858974358974359,1.782379150390625,4.632504940032959,-0.22812142607517538,-7.798849401297048e-05,-0.07223405365446761,-0.05315032571819435
sidhu,clip-vit-b32,abstract,beauty,within,4,bradley_terry,2,0,140,20,78,280,40,780,16,0.5128205128205128,1.7369720935821533,4.4626336097717285,-0.1830869365078418,0.1164768755879777,0.06461091390200073,0.045967849269789716
sidhu,clip-vit-b32,abstract,beauty,within,4,bradley_terry,3,0,140,20,78,420,60,780,16,0.5038461538461538,1.7375165224075317,4.47905158996582,-0.18743949502353963,0.0571570131869521,0.013593531558600592,0.013646705251968821
sidhu,clip-vit-b32,abstract,beauty,within,4,bradley_terry,4,0,140,20,78,560,80,780,17,0.5705128205128205,1.6981170177459717,4.108182907104492,-0.08911868460730688,0.22156697890750365,0.1943452216893613,0.13934004309905007
sidhu,clip-vit-b32,abstract,beauty,within,4,bradley_terry,5,0,140,20,78,700,100,780,16,0.5628205128205128,1.7229840755462646,4.612072467803955,-0.22270450840473566,0.10270904450953822,0.13248888769791584,0.10127291792250546
sidhu,clip-vit-b32,abstract,beauty,within,4,bradley_terry,6,0,140,20,78,840,100,780,16,0.5525641025641026,1.7191122770309448,4.3798394203186035,-0.16113736125102296,0.14751813609109377,0.11696074420213459,0.08762621267053665
sidhu,clip-vit-b32,abstract,beauty,within,4,bradley_terry,7,0,140,20,78,980,100,780,16,0.55,1.7199933528900146,4.272228717803955,-0.13260874877591333,0.09399165904324036,0.062061325984789126,0.038067125176544606
sidhu,clip-vit-b32,abstract,beauty,within,4,bradley_terry,8,0,140,20,78,1120,100,780,16,0.5846153846153846,1.6621636152267456,4.080840110778809,-0.08186984693627197,0.2374164706470765,0.21428069304203098,0.15155025306133796
sidhu,clip-vit-b32,abstract,beauty,within,4,bradley_terry,9,0,140,20,78,1260,100,780,16,0.6012820512820513,1.6890780925750732,4.134176731109619,-0.0960099978643354,0.21037286886712536,0.2009690254742779,0.15801448186490213
sidhu,clip-vit-b32,abstract,beauty,within,4,bradley_terry,10,0,140,20,78,1400,100,780,16,0.5525641025641026,1.7079813480377197,4.214921474456787,-0.11741615962240659,0.15805731498403475,0.1217139960477904,0.08978095560505804
sidhu,clip-vit-b32,abstract,beauty,within,4,regression,,1,140,20,78,0,0,780,51,0.6025641025641025,1.7636572122573853,4.49847412109375,-0.055688277603192615,0.3168506268921192,0.2780656190954913,0.21912821669581448
sidhu,clip-vit-b32,abstract,beauty,within,4,hinge,1,1,140,20,78,140,20,780,16,0.573076923076923,1.8299487829208374,4.482852458953857,-0.05202212824360264,0.15070042522711447,0.17999846117327717,0.13005170584385736
sidhu,clip-vit-b32,abstract,beauty,within,4,hinge,2,1,140,20,78,280,40,780,17,0.6371794871794871,1.760833740234375,4.158261775970459,0.024151723179902218,0.3072858249870478,0.30794825098450374,0.23124262217168062
sidhu,clip-vit-b32,abstract,beauty,within,4,hinge,3,1,140,20,78,420,60,780,16,0.558974358974359,1.7458466291427612,4.086836338043213,0.04091374706597117,0.2401778555722558,0.22838047355621424,0.17280843105279678
