dataset,representation,category,target,mode,rater,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
sidhu,clip-vit-b32,abstract,liking,within,4,regression,,0,140,20,78,0,0,780,53,0.5307692307692308,2.306708812713623,7.661354064941406,-0.8212668302867894,0.05742285183077911,0.09697210026056911,0.0683942712321988
sidhu,clip-vit-b32,abstract,liking,within,4,hinge,1,0,140,20,78,140,20,780,16,0.4705128205128205,1.7892874479293823,4.373158931732178,-0.03959275624699288,-0.10157631803667755,-0.09813673812828877,-0.07054278237038306
sidhu,clip-vit-b32,abstract,liking,within,4,hinge,2,0,140,20,78,280,40,780,16,0.44358974358974357,1.7772486209869385,4.377265930175781,-0.040568970733654064,-0.10610271514451597,-0.12453946253604305,-0.09202789375222561
sidhu,clip-vit-b32,abstract,liking,within,4,hinge,3,0,140,20,78,420,60,780,17,0.4371794871794872,1.8273720741271973,4.586019515991211,-0.0901943796950162,-0.18693614583662566,-0.13276871692004014,-0.1056351309607259
sidhu,clip-vit-b32,abstract,liking,within,4,hinge,4,0,140,20,78,560,80,780,16,0.5025641025641026,1.7980093955993652,4.522119998931885,-0.07500401888902597,-0.10579177258478012,-0.02586519923803751,-0.02112702619214518
sidhu,clip-vit-b32,abstract,liking,within,4,hinge,5,0,140,20,78,700,100,780,16,0.4371794871794872,1.6566556692123413,4.0444722175598145,0.038543019139674506,-0.22419735720177414,-0.1865212338917163,-0.1364304572747002
sidhu,clip-vit-b32,abstract,liking,within,4,hinge,6,0,140,20,78,840,100,780,16,0.5128205128205128,1.8394513130187988,4.667830467224121,-0.10964255328583628,0.013518260845557961,0.03757556900686696,0.03258575226246121
sidhu,clip-vit-b32,abstract,liking,within,4,hinge,7,0,140,20,78,980,100,780,16,0.45256410256410257,1.7873294353485107,4.480156898498535,-0.0650287052163907,-0.11149243223917438,-0.1055853011943639,-0.08128533806130434
sidhu,clip-vit-b32,abstract,liking,within,4,hinge,8,0,140,20,78,1120,100,780,16,0.45,1.7979978322982788,4.512274742126465,-0.07266344326124563,-0.0575496026140172,-0.0901506498924969,-0.0698266119909883
sidhu,clip-vit-b32,abstract,liking,within,4,hinge,9,0,140,20,78,1260,100,780,16,0.49230769230769234,1.8601306676864624,4.671181678771973,-0.11043918442938949,0.019361728085641516,0.021027472710586657,0.013249152018802909
sidhu,clip-vit-b32,abstract,liking,within,4,hinge,10,0,140,20,78,1400,100,780,16,0.45384615384615384,1.7616416215896606,4.5144877433776855,-0.07318960319132306,-0.052232987072784454,-0.05330457933024554,-0.054787034023698514
sidhu,clip-vit-b32,abstract,liking,within,4,bradley_terry,1,0,140,20,78,140,20,780,16,0.47435897435897434,1.8077596426010132,4.435061454772949,-0.054308267425260404,-0.08287217560609861,-0.07558627743683796,-0.05263852288551426
sidhu,clip-vit-b32,abstract,liking,within,4,bradley_terry,2,0,140,20,78,280,40,780,16,0.43333333333333335,1.7935439348220825,4.409958839416504,-0.0483408249138324,-0.13183882766315946,-0.14209861808012395,-0.10491896058133114
sidhu,clip-vit-b32,abstract,liking,within,4,bradley_terry,3,0,140,20,78,420,60,780,16,0.46794871794871795,1.8430007696151733,4.608948230743408,-0.0956450704283236,-0.11642722180113196,-0.08117909884555762,-0.05908405630006703
sidhu,clip-vit-b32,abstract,liking,within,4,bradley_terry,4,0,140,20,78,560,80,780,16,0.4782051282051282,1.8096026182174683,4.582197189331055,-0.08928565711274317,-0.11134735187806655,-0.04851804567610104,-0.03759894491822447
sidhu,clip-vit-b32,abstract,liking,within,4,bradley_terry,5,0,140,20,78,700,100,780,16,0.4166666666666667,1.6750766038894653,4.000771522521973,0.04893159966618266,-0.2559056723730464,-0.2352184546243896,-0.16865812434746405
sidhu,clip-vit-b32,abstract,liking,within,4,bradley_terry,6,0,140,20,78,840,100,780,16,0.4705128205128205,1.7901324033737183,4.5843305587768555,-0.08979287269869518,-0.05588064354560629,-0.0521143450258727,-0.035450433780040216
sidhu,clip-vit-b32,abstract,liking,within,4,bradley_terry,7,0,140,20,78,980,100,780,16,0.46282051282051284,1.7400460243225098,4.465214729309082,-0.06147647295399472,-0.08641198528675886,-0.061393053312650145,-0.0490576709885405
sidhu,clip-vit-b32,abstract,liking,within,4,bradley_terry,8,0,140,20,78,1120,100,780,16,0.44487179487179485,1.7845531702041626,4.576266765594482,-0.08787583238623364,-0.06864276283886284,-0.1103718348485084,-0.08844704185525185
sidhu,clip-vit-b32,abstract,liking,within,4,bradley_terry,9,0,140,20,78,1260,100,780,16,0.5025641025641026,1.8680799007415771,4.703579425811768,-0.11814069163581786,0.04361891480948543,0.03045975961728316,0.026140218847908445
sidhu,clip-vit-b32,abstract,liking,within,4,bradley_terry,10,0,140,20,78,1400,100,780,16,0.4794871794871795,1.796819806098938,4.55202579498291,-0.08211330505436298,-0.06670296275115106,-0.042797242084115505,-0.026856389227303195
sidhu,clip-vit-b32,abstract,liking,within,4,regression,,1,140,20,78,0,0,780,53,0.49743589743589745,2.0921123027801514,6.900197505950928,-1.2358759124377179,-0.03502012360695517,0.0061211843731002365,-0.00433304434295497
sidhu,clip-vit-b32,abstract,liking,within,4,hinge,1,1,140,20,78,140,20,780,16,0.5679487179487179,1.7357953786849976,4.462185859680176,-0.4458850441541793,0.14918147650678293,0.12264184287991395,0.08954958308773606
sidhu,clip-vit-b32,abstract,liking,within,4,hinge,2,1,140,20,78,280,40,780,16,0.4897435897435897,1.5934505462646484,3.712641716003418,-0.20300983519390092,0.041081354465859476,-0.0018222393731241791,-0.010110436800228266
sidhu,clip-vit-b32,abstract,liking,within,4,hinge,3,1,140,20,78,420,60,780,16,0.5294871794871795,1.7025490999221802,3.967914342880249,-0.2857261588307307,0.03215785610154853,0.07679070710404992,0.04405261748670887
sidhu,clip-vit-b32,abstract,liking,within,4,hinge,4,1,140,20,78,560,80,780,19,0.491025641025641,1.562549352645874,3.783867120742798,-0.22608906097279746,-0.11686650334740989,-0.06658873314888286,-0.05055218400114133
sidhu,clip-vit-b32,abstract,liking,within,4,hinge,5,1,140,20,78,700,100,780,17,0.4935897435897436,1.5278154611587524,3.494819402694702,-0.1324286455776027,-0.05723148195829708,-0.029168662641628585,-0.021665221714774856
sidhu,clip-vit-b32,abstract,liking,within,4,hinge,6,1,140,20,78,840,100,780,17,0.47435897435897434,1.584472894668579,3.657628059387207,-0.185183609174574,-0.0989991786700557,-0.06066003885040842,-0.03683087691511725
sidhu,clip-vit-b32,abstract,liking,within,4,hinge,7,1,140,20,78,980,100,780,16,0.5115384615384615,1.846321940422058,4.899134159088135,-0.5874697865215479,-0.02845642095689982,-0.04813535132809011,-0.03322000662932144
sidhu,clip-vit-b32,abstract,liking,within,4,hinge,8,1,140,20,78,1120,100,780,22,0.5102564102564102,1.5903453826904297,3.4511847496032715,-0.11828963505971402,0.04672835886867688,0.019261840134221074,0.01661000331466072
sidhu,clip-vit-b32,abstract,liking,within,4,hinge,9,1,140,20,78,1260,100,780,29,0.4807692307692308,1.58719003200531,3.584620237350464,-0.1615269748060204,-0.03412078202381963,-0.054949499969843205,-0.03755305097227642
sidhu,clip-vit-b32,abstract,liking,within,4,hinge,10,1,140,20,78,1400,100,780,18,0.5115384615384615,1.7029857635498047,4.1632280349731445,-0.34901350422724997,-0.004581414003041573,0.004709590492511083,0.005777392457273295
sidhu,clip-vit-b32,abstract,liking,within,4,bradley_terry,1,1,140,20,78,140,20,780,16,0.5769230769230769,1.7381900548934937,4.476940631866455,-0.4506659335764638,0.17122873710104614,0.15181050552154252,0.11193697885967008
sidhu,clip-vit-b32,abstract,liking,within,4,bradley_terry,2,1,140,20,78,280,40,780,16,0.4935897435897436,1.5636475086212158,3.580775737762451,-0.16028109461198214,0.07540419823271804,0.031683866283405616,0.023831743886252338
sidhu,clip-vit-b32,abstract,liking,within,4,bradley_terry,3,1,140,20,78,420,60,780,16,0.5089743589743589,1.6354063749313354,3.8238725662231445,-0.2390521298579904,0.0049571284325793386,0.017452433432738616,0.01227695897170575
sidhu,clip-vit-b32,abstract,liking,within,4,bradley_terry,4,1,140,20,78,560,80,780,16,0.4782051282051282,1.5012223720550537,3.2756614685058594,-0.061414858959073504,-0.06649979238864034,-0.06504881255187651,-0.04838566182966384
sidhu,clip-vit-b32,abstract,liking,within,4,bradley_terry,5,1,140,20,78,700,100,780,17,0.4576923076923077,1.5246220827102661,3.323906898498535,-0.07704781476368483,-0.10543319431235432,-0.11463425577548092,-0.09171610525921356
sidhu,clip-vit-b32,abstract,liking,within,4,bradley_terry,6,1,140,20,78,840,100,780,17,0.45897435897435895,1.576613187789917,3.5467963218688965,-0.1492707895569596,-0.09210377215276822,-0.07725268328315181,-0.05199653211545965
sidhu,clip-vit-b32,abstract,liking,within,4,bradley_terry,7,1,140,20,78,980,100,780,16,0.5192307692307693,1.6745681762695312,3.923495054244995,-0.2713327774263008,0.0010389485873929516,0.004042291567141664,0.01661000331466072
sidhu,clip-vit-b32,abstract,liking,within,4,bradley_terry,8,1,140,20,78,1120,100,780,16,0.5064102564102564,1.5100592374801636,3.291029214859009,-0.06639464696453601,0.023312518365855794,0.007686770313390023,0.010832610857387428
sidhu,clip-vit-b32,abstract,liking,within,4,bradley_terry,9,1,140,20,78,1260,100,780,16,0.49615384615384617,1.4971649646759033,3.358423948287964,-0.08823236337394746,-0.040875482790397655,-0.025139203746128637,-0.01227695897170575
