dataset,representation,category,target,mode,rater,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
sidhu,clip-vit-b32,representational,beauty,cross,1,regression,,0,140,20,76,0,0,760,61,0.6973684210526315,1.678166389465332,4.0875983238220215,0.04737061707520207,0.5266623610896204,0.48535642655361916,0.36676534746764583
sidhu,clip-vit-b32,representational,beauty,cross,1,hinge,1,0,140,20,76,140,20,760,19,0.6986842105263158,1.9247386455535889,5.193500995635986,-0.21036386409143248,0.497996689287902,0.48681361995390315,0.36600442351024404
sidhu,clip-vit-b32,representational,beauty,cross,1,hinge,2,0,140,20,76,280,40,760,16,0.6381578947368421,1.920029640197754,4.9557037353515625,-0.15494450018631056,0.4225582369035692,0.40784761569089756,0.29523849547188086
sidhu,clip-vit-b32,representational,beauty,cross,1,hinge,3,0,140,20,76,420,60,760,23,0.7236842105263158,1.7381304502487183,4.542616367340088,-0.058673005736463724,0.5322282424331206,0.5154578787937701,0.38731029431749314
sidhu,clip-vit-b32,representational,beauty,cross,1,hinge,4,0,140,20,76,560,80,760,16,0.675,1.8571478128433228,4.982070446014404,-0.16108946133674218,0.4322924904718093,0.4219060624955417,0.3081742027477107
sidhu,clip-vit-b32,representational,beauty,cross,1,hinge,5,0,140,20,76,700,100,760,16,0.7,1.8251760005950928,4.685699462890625,-0.09201905533609023,0.5099029384114147,0.5006083841432577,0.36980904329725284
sidhu,clip-vit-b32,representational,beauty,cross,1,hinge,6,0,140,20,76,840,100,760,24,0.718421052631579,1.6712805032730103,4.182417392730713,0.02527269184801595,0.5112650422015577,0.5164154630282425,0.38731029431749314
sidhu,clip-vit-b32,representational,beauty,cross,1,hinge,7,0,140,20,76,980,100,760,29,0.7342105263157894,1.6070691347122192,3.8979368209838867,0.09157192061754538,0.5425799137010472,0.5380096814172121,0.41013801303954583
sidhu,clip-vit-b32,representational,beauty,cross,1,hinge,8,0,140,20,76,1120,100,760,16,0.6815789473684211,1.7759504318237305,4.63159704208374,-0.07941019497180757,0.5012744626874337,0.5103507628765847,0.3774182828712704
sidhu,clip-vit-b32,representational,beauty,cross,1,hinge,9,0,140,20,76,1260,100,760,16,0.6960526315789474,1.765924334526062,4.275224208831787,0.003643826335500755,0.5049920418696274,0.5165958774492301,0.38807121827489494
sidhu,clip-vit-b32,representational,beauty,cross,1,hinge,10,0,140,20,76,1400,100,760,18,0.7013157894736842,1.6588598489761353,4.1538543701171875,0.03192938997098804,0.5533398086263333,0.5445462346699143,0.41546448074135817
sidhu,clip-vit-b32,representational,beauty,cross,1,bradley_terry,1,0,140,20,76,140,20,760,16,0.6434210526315789,2.0904910564422607,5.78972053527832,-0.3493151409103099,0.331995292593092,0.344438885729971,0.25414860177218607
sidhu,clip-vit-b32,representational,beauty,cross,1,bradley_terry,2,0,140,20,76,280,40,760,16,0.6513157894736842,1.8826719522476196,4.805082321166992,-0.1198415445873815,0.44429008739825804,0.4331611467586871,0.32034898606613876
sidhu,clip-vit-b32,representational,beauty,cross,1,bradley_terry,3,0,140,20,76,420,60,760,18,0.7197368421052631,1.787117838859558,4.629136085510254,-0.07883676752505342,0.5063084768044064,0.5059930607081164,0.3781792068286721
sidhu,clip-vit-b32,representational,beauty,cross,1,bradley_terry,4,0,140,20,76,560,80,760,18,0.6881578947368421,1.894848108291626,5.158915996551514,-0.20230375817212565,0.45750940694870224,0.49613965771572033,0.36372165163803877
sidhu,clip-vit-b32,representational,beauty,cross,1,bradley_terry,5,0,140,20,76,700,100,760,16,0.7065789473684211,1.7902817726135254,4.622316837310791,-0.07724750376728928,0.5118225271439769,0.5172897790684129,0.38578844640268967
sidhu,clip-vit-b32,representational,beauty,cross,1,bradley_terry,6,0,140,20,76,840,100,760,16,0.725,1.7124416828155518,4.305883407592773,-0.003501515296300717,0.5202528759637062,0.5281840344895833,0.400246001593323
sidhu,clip-vit-b32,representational,beauty,cross,1,bradley_terry,7,0,140,20,76,980,100,760,16,0.7105263157894737,1.828050971031189,4.650356292724609,-0.08378226793831045,0.49135224801284494,0.5160268781215002,0.38198382661568087
sidhu,clip-vit-b32,representational,beauty,cross,1,bradley_terry,8,0,140,20,76,1120,100,760,16,0.6934210526315789,1.7915472984313965,4.673046112060547,-0.08907017636563919,0.5188281143418862,0.5301963491852134,0.3964413818063143
sidhu,clip-vit-b32,representational,beauty,cross,1,bradley_terry,9,0,140,20,76,1260,100,760,16,0.7092105263157895,1.7561454772949219,4.307610511779785,-0.003904109040667958,0.5373503050759609,0.5382456079677341,0.4055724692951353
sidhu,clip-vit-b32,representational,beauty,cross,1,bradley_terry,10,0,140,20,76,1400,100,760,18,0.7171052631578947,1.673959493637085,4.151655673980713,0.03244182411613239,0.5552833765541436,0.5734680541574545,0.43448757967640195
sidhu,clip-vit-b32,representational,beauty,cross,1,regression,,1,140,20,76,0,0,760,32,0.5684210526315789,2.968437433242798,12.06110668182373,-2.6567611375702316,0.16189243134522258,0.1509031091652185,0.10570084443082153
