dataset,representation,category,target,mode,rater,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
sidhu,clip-vit-b32,representational,beauty,within,3,regression,,0,140,20,76,0,0,760,98,0.7539473684210526,1.1552172899246216,1.836570143699646,0.33433543770930774,0.5848395713546779,0.5901859228957099,0.4360822104582348
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,1,0,140,20,76,140,20,760,28,0.6736842105263158,1.256643533706665,2.24617862701416,0.18587299200264706,0.4683935246357578,0.4480556525144839,0.3303419222586274
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,2,0,140,20,76,280,40,760,20,0.7302631578947368,1.163620948791504,1.9507087469100952,0.2929660514026149,0.544382310518813,0.5488333657804825,0.41138374898095426
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,3,0,140,20,76,420,60,760,16,0.7223684210526315,1.1946325302124023,1.9274591207504272,0.3013928302743063,0.5564659091469366,0.5424285926245888,0.400578172084644
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,4,0,140,20,76,560,80,760,27,0.7118421052631579,1.1790024042129517,2.0443155765533447,0.2590382664178479,0.530813769204542,0.5047100481043358,0.3851416336613437
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,5,0,140,20,76,700,100,760,18,0.6776315789473685,1.247711420059204,2.1687140464782715,0.21395005375636267,0.5064411675530209,0.48574635019492846,0.36430230678988823
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,6,0,140,20,76,840,100,760,16,0.6421052631578947,1.218788743019104,2.30257511138916,0.16543212899528315,0.4314371454529464,0.3812232369747224,0.2832604800675614
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,7,0,140,20,76,980,100,760,17,0.6986842105263158,1.2005444765090942,2.1117424964904785,0.23459930273875118,0.5209235955699114,0.48876773231412185,0.37047692215920836
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,8,0,140,20,76,1120,100,760,17,0.725,1.1830607652664185,1.9384801387786865,0.29739827611964387,0.5599629620992346,0.5585519128735561,0.4106119220597892
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,9,0,140,20,76,1260,100,760,17,0.7078947368421052,1.2303980588912964,2.1133108139038086,0.2340308000588961,0.5000337856326951,0.5008811076307036,0.37279240292270344
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,10,0,140,20,76,1400,100,760,16,0.6828947368421052,1.2206147909164429,2.1524879932403564,0.21983109455064387,0.5107045004333486,0.48691591746687435,0.36353047986872317
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,1,0,140,20,76,140,20,760,20,0.6868421052631579,1.2459020614624023,2.143824577331543,0.2229713040497452,0.47617351297230925,0.46768767457928884,0.3442348068395978
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,2,0,140,20,76,280,40,760,20,0.7447368421052631,1.1485953330993652,1.8522597551345825,0.32864878703297273,0.5777660432149787,0.5643997492332852,0.4268202874042546
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,3,0,140,20,76,420,60,760,16,0.6855263157894737,1.2378312349319458,2.13790225982666,0.22511770919260599,0.47910871265048627,0.47438483955316907,0.3388320183914426
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,4,0,140,20,76,560,80,760,17,0.6894736842105263,1.215104341506958,2.1342499256134033,0.22644145624495327,0.4809116825417732,0.4705419756596328,0.3434629799184328
